thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,blank_cross.started,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,task_break.started,task_break_text.started,task_break_resp.started,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,blank_cross.stopped,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,Alter,Geschlecht (optional),MRI,date,expName,psychopyVersion,frameRate,expStart,
7,0,7,,,,,,space,475.2156963000007,None,None,2,None,1.1391985000000204,0.3700588000001517,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,553.9655604999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaf,2.7357,553.9508254000002,553.9515025000001,553.9516119,553.9655604999998,556.7153076000004,556.6997283000001,556.7044146999997,556.7153076000004,556.7153076000004,556.7153076000004,556.7153076000004,558.7154069999997,558.7154069999997,558.7154069999997,558.7154069999997,558.6999408000001,2,None,1.1391985000000204,0.3700588000001517,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
8,0,8,,,,,,space,475.2156963000007,None,None,3,None,0.9860210000006191,0.43674969999938185,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,558.7154069999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aroma,2.1743,558.7004067999997,558.7010535999998,558.7011584000002,558.7154069999997,560.8984988000002,560.8830402000003,560.8871489000003,560.8984988000002,560.8984988000002,560.8984988000002,560.8984988000002,562.8985485000003,562.8985485000003,562.8985485000003,562.8985485000003,562.8829500000002,3,None,0.9860210000006191,0.43674969999938185,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
9,0,9,,,,,,space,475.2156963000007,None,None,2,None,0.8647424999999203,0.4407539000003453,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,562.8985485000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hai,3.6723,562.8834385,562.8839439000003,562.8840492999998,562.8985485000003,566.5821764000002,566.5660607,566.5720075999998,566.5821764000002,566.5821764000002,566.5821764000002,566.5821764000002,568.5813691000003,568.5813691000003,568.5813691000003,568.5813691000003,568.5659361999997,2,None,0.8647424999999203,0.4407539000003453,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
10,0,10,,,,,,space,475.2156963000007,None,None,3,None,1.4941675000000032,0.31615119999969465,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,568.5813691000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gelenk,3.6564,568.5664260000003,568.5669358000005,568.5670418999998,568.5813691000003,572.2477465000002,572.2322660999998,572.2362818000001,572.2477465000002,572.2477465000002,572.2477465000002,572.2477465000002,574.2478065000005,574.2478065000005,574.2478065000005,574.2478065000005,574.2321257000003,3,None,1.4941675000000032,0.31615119999969465,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
11,0,11,,,,,,space,475.2156963000007,None,None,2,None,0.8264825000005658,0.4280321999995067,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,574.2478065000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kind,5.3463,574.2326095999997,574.2331197000003,574.2332234000005,574.2478065000005,579.5973449000003,579.5816966000002,579.5853017999998,579.5973449000003,579.5973449000003,579.5973449000003,579.5973449000003,581.5974230000002,581.5974230000002,581.5974230000002,581.5974230000002,581.5819849,2,None,0.8264825000005658,0.4280321999995067,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
12,0,12,,,,,,space,475.2156963000007,None,None,3,None,0.7651621000004525,0.41979300000002695,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,581.5974230000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scheidung,2.9832,581.5824896000004,581.5830231,581.5831399999997,581.5974230000002,584.5800679000004,584.5648536999997,584.5684745999997,584.5800679000004,584.5800679000004,584.5800679000004,584.5800679000004,586.5802417000004,586.5802417000004,586.5802417000004,586.5802417000004,586.5649511000001,3,None,0.7651621000004525,0.41979300000002695,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
13,0,13,,,,,,space,475.2156963000007,None,None,3,None,1.147342899999785,0.3681175000001531,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,586.5802417000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pflege,3.039,586.5654463000001,586.5659533999997,586.5660549000004,586.5802417000004,589.6299147999998,589.6142093999997,589.6192372000005,589.6299147999998,589.6299147999998,589.6299147999998,589.6299147999998,591.6301092000003,591.6301092000003,591.6301092000003,591.6301092000003,591.6145402000002,3,None,1.147342899999785,0.3681175000001531,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
14,0,14,,,,,,space,475.2156963000007,None,None,3,None,1.4178186999997706,None,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,591.6301092000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schulter,2.0946,591.6150324,591.6155416000001,591.6156443,591.6301092000003,593.7299197000002,593.7141182000005,593.717584,593.7299197000002,593.7299197000002,593.7299197000002,593.7299197000002,595.7298521000002,595.7298521000002,595.7298521000002,595.7298521000002,595.7142860000004,3,None,1.4178186999997706,None,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
15,0,15,,,,,,space,475.2156963000007,None,None,3,None,1.0332141999997475,0.49952959999973245,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,595.7298521000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loch,2.4521,595.7147267,595.7152434999998,595.7153400999996,595.7298521000002,598.1972900000001,598.1806606,598.1844257000002,598.1972900000001,598.1972900000001,598.1972900000001,598.1972900000001,600.1962192000001,600.1962192000001,600.1962192000001,600.1962192000001,600.1809567,3,None,1.0332141999997475,0.49952959999973245,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
16,0,16,,,,,,space,475.2156963000007,None,None,3,None,1.165599399999337,0.5054907000003368,0,0,0,0,,,,,0,0,0,0,,,,,16,0,16,0,600.1962192000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nacht,2.6097,600.1814485000004,600.1819579000003,600.1820590999996,600.1962192000001,602.8125379000003,602.7970960000002,602.8009540000003,602.8125379000003,602.8125379000003,602.8125379000003,602.8125379000003,604.8127411000005,604.8127411000005,604.8127411000005,604.8127411000005,604.7969108999996,3,None,1.165599399999337,0.5054907000003368,,,,,,,,,,,,,Guess_3415,20,female,1,2025-05-07_19h02.04.177,sm,2024.2.4,59.99991600024196,2025-05-07 19h02.24.937421 +0200,
