thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome.stopped,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,task_break_text.started,task_break_resp.started,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
6,0,6,,,,,,space,2.796763300000748,None,None,3,None,1.090726800000084,0.2283458999991126,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,222.44320979999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afrika,2.5169,222.42828579999968,222.4289517999996,222.42906120000043,222.44320979999975,224.95955380000032,224.94457950000015,224.94869300000028,224.95955380000032,224.95955380000032,224.95955380000032,224.95955380000032,226.95978110000033,226.95978110000033,226.95978110000033,226.95978110000033,226.94424499999968,3,None,1.090726800000084,0.2283458999991126,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
7,0,7,,,,,,space,2.796763300000748,None,None,3,None,1.0080095000002984,0.23795820000032109,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,226.95978110000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medaille,2.3843,226.94474210000044,226.94526769999993,226.94537500000024,226.95978110000033,229.35945850000007,229.3437229000001,229.34715049999977,229.35945850000007,229.35945850000007,229.35945850000007,229.35945850000007,231.35938890000034,231.35938890000034,231.35938890000034,231.35938890000034,231.3436711000004,3,None,1.0080095000002984,0.23795820000032109,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
8,0,8,,,,,,space,2.796763300000748,None,None,2,None,0.8956160000007003,0.23994369999945775,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,231.35938890000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freund,4.3424,231.34414019999986,231.34462929999972,231.34473119999984,231.35938890000034,235.7089662999997,235.6936665000003,235.70051020000028,235.7089662999997,235.7089662999997,235.7089662999997,235.7089662999997,237.70913389999987,237.70913389999987,237.70913389999987,237.70913389999987,237.6934996,2,None,0.8956160000007003,0.23994369999945775,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
9,0,9,,,,,,space,2.796763300000748,None,None,3,None,1.0462873000005857,0.24034369999935734,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,237.70913389999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angriff,3.6005,237.69400250000035,237.69465089999994,237.6947565999999,237.70913389999987,241.30852680000044,241.2928380000003,241.2962918000003,241.30852680000044,241.30852680000044,241.30852680000044,241.30852680000044,243.30873059999976,243.30873059999976,243.30873059999976,243.30873059999976,243.29312289999962,3,None,1.0462873000005857,0.24034369999935734,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
10,0,10,,,,,,space,2.796763300000748,None,None,3,None,0.9507081000001563,0.25371889999951236,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,243.30873059999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schnorchel,2.1743,243.29362779999974,243.29415570000037,243.29426520000015,243.30873059999976,245.49217119999958,245.47665909999978,245.48154460000023,245.49217119999958,245.49217119999958,245.49217119999958,245.49217119999958,247.49231270000018,247.49231270000018,247.49231270000018,247.49231270000018,247.47633060000044,3,None,0.9507081000001563,0.25371889999951236,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
11,0,11,,,,,,space,2.796763300000748,None,None,3,None,0.9820749000000433,0.24304209999991144,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,247.49231270000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sauber,2.9036,247.47683169999982,247.4774269999998,247.47753509999984,247.49231270000018,250.40820840000015,250.39279069999975,250.39681240000027,250.40820840000015,250.40820840000015,250.40820840000015,250.40820840000015,252.40843239999958,252.40843239999958,252.40843239999958,252.40843239999958,252.39243069999975,3,None,0.9820749000000433,0.24304209999991144,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
12,0,12,,,,,,space,2.796763300000748,None,None,3,None,1.1098664999999528,0.2403229999999894,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,252.40843239999958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,2.9645,252.39283630000045,252.39329480000015,252.39338570000018,252.40843239999958,255.3744772,255.3589334999997,255.36242909999964,255.3744772,255.3744772,255.3744772,255.3744772,257.3744993,257.3744993,257.3744993,257.3744993,257.35912240000016,3,None,1.1098664999999528,0.2403229999999894,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
13,0,13,,,,,,space,2.796763300000748,None,None,3,None,0.9955475999995542,0.2297299000001658,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,257.3744993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zahnpasta,2.0934,257.35963809999976,257.36014109999996,257.3602492,257.3744993,259.47419309999987,259.4588641,259.46513219999997,259.47419309999987,259.47419309999987,259.47419309999987,259.47419309999987,261.4743977999997,261.4743977999997,261.4743977999997,261.4743977999997,261.45892300000014,3,None,0.9955475999995542,0.2297299000001658,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
14,0,14,,,,,,space,2.796763300000748,None,None,3,None,0.9865437999997084,0.24164470000050642,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,261.4743977999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Album,2.1961,261.4594264999996,261.4599301999997,261.4600373000003,261.4743977999997,263.6748556000002,263.6584101999997,263.6633955999996,263.6748556000002,263.6748556000002,263.6748556000002,263.6748556000002,265.6742457999999,265.6742457999999,265.6742457999999,265.6742457999999,265.6588332000001,3,None,0.9865437999997084,0.24164470000050642,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
15,0,15,,,,,,space,2.796763300000748,None,None,3,None,1.0611885999996957,0.2444788000002518,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,265.6742457999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tradition,2.0052,265.6593485000003,265.65987680000035,265.65998320000017,265.6742457999999,267.69107170000007,267.6751598999999,267.67960219999986,267.69107170000007,267.69107170000007,267.69107170000007,267.69107170000007,269.6908696999999,269.6908696999999,269.6908696999999,269.6908696999999,269.6749348000003,3,None,1.0611885999996957,0.2444788000002518,,,,,,,,,,,,,,,,,,,,4626,1,2025-05-21_18h49.54.569,sm,2024.2.4,59.904165316333255,2025-05-21 18h50.14.385115 +0200,
