thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
6,0,6,,,,,,space,2.602995200000805,None,None,3,0.9929634999998598,0.1966098000002603,None,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,196.73065150000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sumpf,4.3756,196.71569779999936,196.71635009999954,196.71645249999983,196.73065150000002,201.1138136999998,201.09816520000004,201.10148179999942,201.1138136999998,201.1138136999998,201.1138136999998,201.1138136999998,203.11384399999952,203.11384399999952,203.11384399999952,203.11384399999952,203.0983011999997,3,0.9929634999998598,0.1966098000002603,None,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
7,0,7,,,,,,space,2.602995200000805,None,None,2,1.306285100000423,0.10310779999963415,None,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,203.11384399999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gesicht,3.2825,203.09880729999986,203.0994542999997,203.0995587999996,203.11384399999952,206.39675459999944,206.3811980999999,206.38547689999996,206.39675459999944,206.39675459999944,206.39675459999944,206.39675459999944,208.3968163999998,208.3968163999998,208.3968163999998,208.3968163999998,208.3811971999994,2,1.306285100000423,0.10310779999963415,None,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
8,0,8,,,,,,space,2.602995200000805,None,None,3,1.4887001999995846,0.26196230000005016,None,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,208.3968163999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knie,2.9036,208.38170629999968,208.38222959999985,208.38233499999933,208.3968163999998,211.31292979999944,211.29746069999965,211.30147309999938,211.31292979999944,211.31292979999944,211.31292979999944,211.31292979999944,213.31320400000004,213.31320400000004,213.31320400000004,213.31320400000004,213.29774579999957,3,1.4887001999995846,0.26196230000005016,None,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
9,0,9,,,,,,space,2.602995200000805,None,None,3,1.230510499999582,0.20936489999985497,None,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,213.31320400000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerzen,2.3843,213.29825429999983,213.29885959999956,213.2989609999995,213.31320400000004,215.69636609999998,215.68096969999988,215.68474369999967,215.69636609999998,215.69636609999998,215.69636609999998,215.69636609999998,217.69625180000003,217.69625180000003,217.69625180000003,217.69625180000003,217.68063269999948,3,1.230510499999582,0.20936489999985497,None,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
10,0,10,,,,,,space,2.602995200000805,None,None,3,1.008972200000244,0.2390082000001712,None,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,217.69625180000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sauber,3.0127,217.68113709999943,217.6817130999998,217.68181539999932,217.69625180000003,220.7127888999994,220.6992924999995,220.70306559999972,220.7127888999994,220.7127888999994,220.7127888999994,220.7127888999994,222.71264470000006,222.71264470000006,222.71264470000006,222.71264470000006,222.69703909999953,3,1.008972200000244,0.2390082000001712,None,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
11,0,11,,,,,,space,2.602995200000805,None,None,3,1.1805360999996992,0.2732696000002761,None,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,222.71264470000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flut,2.0168,222.69755110000006,222.69807339999988,222.6981783000001,222.71264470000006,224.72899179999968,224.7136504,224.71946579999985,224.72899179999968,224.72899179999968,224.72899179999968,224.72899179999968,226.72894279999946,226.72894279999946,226.72894279999946,226.72894279999946,226.7137886999999,3,1.1805360999996992,0.2732696000002761,None,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
12,0,12,,,,,,space,2.602995200000805,None,None,3,0.8349632999997993,0.2793682000001354,None,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,226.72894279999946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zucker,2.4167,226.71426379999957,226.71473389999937,226.71482639999977,226.72894279999946,229.14569870000014,229.13025839999955,229.13629719999972,229.14569870000014,229.14569870000014,229.14569870000014,229.14569870000014,231.14552339999955,231.14552339999955,231.14552339999955,231.14552339999955,231.12986189999992,3,0.8349632999997993,0.2793682000001354,None,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
13,0,13,,,,,,space,2.602995200000805,None,None,3,0.940291700000671,0.25542379999933473,None,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,231.14552339999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kante,2.9109,231.1303754999999,231.1308809000002,231.1309855999998,231.14552339999955,234.0619283999995,234.04591600000003,234.05005619999974,234.0619283999995,234.0619283999995,234.0619283999995,234.0619283999995,236.06182949999948,236.06182949999948,236.06182949999948,236.06182949999948,236.0462555999993,3,0.940291700000671,0.25542379999933473,None,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
14,0,14,,,,,,space,2.602995200000805,None,None,None,,,None,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,236.06182949999948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urlaub,2.3006,236.0467619000001,236.04727679999996,236.04738550000002,236.06182949999948,238.36169789999985,238.34608329999992,238.3525714999996,238.36169789999985,238.36169789999985,238.36169789999985,238.36169789999985,240.3617819000001,240.3617819000001,240.3617819000001,240.3617819000001,240.3460845999998,None,,,None,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
15,0,15,,,,,,space,2.602995200000805,None,None,3,0.9639353000002302,0.22911389999990206,None,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,240.3617819000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anführer,2.0946,240.34655870000006,240.34707939999953,240.34718199999952,240.3617819000001,242.46135219999996,242.44565989999955,242.44928209999944,242.46135219999996,242.46135219999996,242.46135219999996,242.46135219999996,244.4614034999995,244.4614034999995,244.4614034999995,244.4614034999995,244.44595729999946,3,0.9639353000002302,0.22911389999990206,None,,,,,,,,,,,,,,,,,,,,,4110,1,2025-06-06_14h00.43.501,sm,2024.2.4,59.95480606735098,2025-06-06 14h00.57.307122 +0200,
