thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
6,0,6,,,,,,space,2.84786559999975,None,None,3,0.7111690000001545,0.23959259999992355,None,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,587.2234342000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moor,3.1534,587.2081868999994,587.2086988000001,587.2088094999999,587.2234342000002,590.3892808999999,590.3737989000001,590.3771557999999,590.3892808999999,590.3892808999999,590.3892808999999,590.3892808999999,592.3894966999997,592.3894966999997,592.3894966999997,592.3894966999997,592.3741009999994,3,0.7111690000001545,0.23959259999992355,None,,,,,,,,,,,,,,,,,,,,,2264,1,2025-10-21_14h07.16.214,sm,2024.2.4,59.908041156967684,2025-10-21 14h07.33.777054 +0200,
7,0,7,,,,,,space,2.84786559999975,None,None,2,0.8948878999999579,0.20556329999999434,None,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,592.3894966999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ehe,2.3394,592.3746087999998,592.3751231999995,592.3752290000002,592.3894966999997,594.7393769999999,594.7238769999994,594.7277376000002,594.7393769999999,594.7393769999999,594.7393769999999,594.7393769999999,596.7397179,596.7397179,596.7397179,596.7397179,596.7236708,2,0.8948878999999579,0.20556329999999434,None,,,,,,,,,,,,,,,,,,,,,2264,1,2025-10-21_14h07.16.214,sm,2024.2.4,59.908041156967684,2025-10-21 14h07.33.777054 +0200,
8,0,8,,,,,,space,2.84786559999975,None,None,3,0.5896192000000156,0.2583588999996209,None,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,596.7397179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zimt,2.304,596.7241711999995,596.724741,596.7248447000002,596.7397179,599.0565211000003,599.0401415999995,599.0465664000003,599.0565211000003,599.0565211000003,599.0565211000003,599.0565211000003,601.0557406999997,601.0557406999997,601.0557406999997,601.0557406999997,601.0403168000003,3,0.5896192000000156,0.2583588999996209,None,,,,,,,,,,,,,,,,,,,,,2264,1,2025-10-21_14h07.16.214,sm,2024.2.4,59.908041156967684,2025-10-21 14h07.33.777054 +0200,
9,0,9,,,,,,space,2.84786559999975,None,None,2,0.6301822999994329,0.21958979999999428,None,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,601.0557406999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arm,2.91,601.0408313999997,601.0413355000001,601.0414405000001,601.0557406999997,603.9723558999995,603.9565831,603.9603144000002,603.9723558999995,603.9723558999995,603.9723558999995,603.9723558999995,605.9726162999996,605.9726162999996,605.9726162999996,605.9726162999996,605.9566380999995,2,0.6301822999994329,0.21958979999999428,None,,,,,,,,,,,,,,,,,,,,,2264,1,2025-10-21_14h07.16.214,sm,2024.2.4,59.908041156967684,2025-10-21 14h07.33.777054 +0200,
10,0,10,,,,,,space,2.84786559999975,None,None,2,0.950180800000453,0.2069510999999693,None,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,605.9726162999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riechen,2.1788,605.9571428999998,605.9576581000001,605.9577643000002,605.9726162999996,608.1552977000001,608.1396226999996,608.1435635999997,608.1552977000001,608.1552977000001,608.1552977000001,608.1552977000001,610.1552302999999,610.1552302999999,610.1552302999999,610.1552302999999,610.1395839999996,2,0.950180800000453,0.2069510999999693,None,,,,,,,,,,,,,,,,,,,,,2264,1,2025-10-21_14h07.16.214,sm,2024.2.4,59.908041156967684,2025-10-21 14h07.33.777054 +0200,
11,0,11,,,,,,space,2.84786559999975,None,None,2,1.605692199999794,0.20863360000021203,None,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,610.1552302999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angriff,2.3109,610.1400974999997,610.1406050999994,610.1407159,610.1552302999999,612.4716845000003,612.4564579999997,612.4604548999996,612.4716845000003,612.4716845000003,612.4716845000003,612.4716845000003,614.4719533999996,614.4719533999996,614.4719533999996,614.4719533999996,614.4560475999997,2,1.605692199999794,0.20863360000021203,None,,,,,,,,,,,,,,,,,,,,,2264,1,2025-10-21_14h07.16.214,sm,2024.2.4,59.908041156967684,2025-10-21 14h07.33.777054 +0200,
12,0,12,,,,,,space,2.84786559999975,None,None,3,0.6585707000003822,0.22041469999930996,None,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,614.4719533999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schnorchel,2.3346,614.4565529000001,614.4571091999996,614.4572142999996,614.4719533999996,616.8214915999997,616.8059582999995,616.8105968,616.8214915999997,616.8214915999997,616.8214915999997,616.8214915999997,618.8215376999997,618.8215376999997,618.8215376999997,618.8215376999997,618.8057459000001,3,0.6585707000003822,0.22041469999930996,None,,,,,,,,,,,,,,,,,,,,,2264,1,2025-10-21_14h07.16.214,sm,2024.2.4,59.908041156967684,2025-10-21 14h07.33.777054 +0200,
13,0,13,,,,,,space,2.84786559999975,None,None,3,0.6221037999994223,0.2324707000007038,None,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,618.8215376999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geschirr,3.8984,618.8062500999995,618.8067703999996,618.8068751000001,618.8215376999997,622.7212481999995,622.7055424,622.7094147999996,622.7212481999995,622.7212481999995,622.7212481999995,622.7212481999995,624.7210304999999,624.7210304999999,624.7210304999999,624.7210304999999,624.7051227000002,3,0.6221037999994223,0.2324707000007038,None,,,,,,,,,,,,,,,,,,,,,2264,1,2025-10-21_14h07.16.214,sm,2024.2.4,59.908041156967684,2025-10-21 14h07.33.777054 +0200,
14,0,14,,,,,,space,2.84786559999975,None,None,3,0.7581598999995549,0.2493430000004082,None,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,624.7210304999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gel,2.3958,624.7055731,624.7061641999999,624.7063378000003,624.7210304999999,627.1208704000001,627.1050009,627.1084401999997,627.1208704000001,627.1208704000001,627.1208704000001,627.1208704000001,629.1207378999998,629.1207378999998,629.1207378999998,629.1207378999998,629.1048743000001,3,0.7581598999995549,0.2493430000004082,None,,,,,,,,,,,,,,,,,,,,,2264,1,2025-10-21_14h07.16.214,sm,2024.2.4,59.908041156967684,2025-10-21 14h07.33.777054 +0200,
15,0,15,,,,,,space,2.84786559999975,None,None,3,0.7433116000001974,0.24432449999949313,None,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,629.1207378999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Center,2.4418,629.1052651999998,629.1057878000001,629.1058671999999,629.1207378999998,631.5708290000002,631.5552768999996,631.5616325999999,631.5708290000002,631.5708290000002,631.5708290000002,631.5708290000002,633.5707118,633.5707118,633.5707118,633.5707118,633.5549012000001,3,0.7433116000001974,0.24432449999949313,None,,,,,,,,,,,,,,,,,,,,,2264,1,2025-10-21_14h07.16.214,sm,2024.2.4,59.908041156967684,2025-10-21 14h07.33.777054 +0200,
