this_button,correct_button,thisN,thisTrialN,thisRepN,button_practice_key.keys,button_practice_key.rt,button_practice_key.duration,button_practice_loop.thisRepN,button_practice_loop.thisTrialN,button_practice_loop.thisN,button_practice_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,hand_intro.started,hand_image.started,hand_intro_key.started,hand_intro_text.started,hand_intro.stopped,hand_intro_key.keys,hand_intro_key.rt,hand_intro_key.duration,button_practice.started,instruction.started,button_text.started,button_practice_key.started,button_practice.stopped,button_practice_loop.button_practice_key.keys,button_practice_loop.button_practice_key.rt,button_practice_loop.button_practice_key.duration,select_video.started,select_video_text.started,select_video_keys.started,select_video.stopped,select_video_keys.keys,select_video_keys.rt,select_video_keys.duration,play_video.started,video_text.started,end_video.started,movie.started,video_text.stopped,play_video.stopped,end_video.keys,end_video.rt,end_video.duration,end.started,end_text.started,key_resp_2.started,PID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.0031480000000101427,0.012579199999890989,0.012579199999890989,230.7588722999999,space,230.7336831,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7382,2025-06-21_10h09.22.488,part0,2024.2.4,59.969871136756964,2025-06-21 10h09.31.018319 +0200,
,,,,,,,,,,,,,,,,,,,,,230.75901629999998,230.77063240000007,230.77063240000007,230.77063240000007,235.1177454000001,2,4.344817400000011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,7382,2025-06-21_10h09.22.488,part0,2024.2.4,59.969871136756964,2025-06-21 10h09.31.018319 +0200,
4,5,0,0,0,5,0.933379400000149,None,0,0,0,3,235.14730129999998,,,,,,,,,,,,,,,,,235.13983839999992,235.14730129999998,235.14730129999998,235.14730129999998,236.08503429999996,5,0.933379400000149,None,,,,,,,,,,,,,,,,,,,,7382,2025-06-21_10h09.22.488,part0,2024.2.4,59.969871136756964,2025-06-21 10h09.31.018319 +0200,
1,2,1,1,0,2,0.6982514000001174,None,0,1,1,0,236.0976897999999,,,,,,,,,,,,,,,,,236.08874390000005,236.0976897999999,236.0976897999999,236.0976897999999,236.79989189999992,2,0.6982514000001174,None,,,,,,,,,,,,,,,,,,,,7382,2025-06-21_10h09.22.488,part0,2024.2.4,59.969871136756964,2025-06-21 10h09.31.018319 +0200,
3,4,2,2,0,4,0.6864203999998608,None,0,2,2,2,236.81622650000008,,,,,,,,,,,,,,,,,236.80349049999995,236.81622650000008,236.81622650000008,236.81622650000008,237.5180989999999,4,0.6864203999998608,None,,,,,,,,,,,,,,,,,,,,7382,2025-06-21_10h09.22.488,part0,2024.2.4,59.969871136756964,2025-06-21 10h09.31.018319 +0200,
2,3,3,3,0,3,0.6344423000000461,None,0,3,3,1,237.53279820000012,,,,,,,,,,,,,,,,,237.52205030000005,237.53279820000012,237.53279820000012,237.53279820000012,238.18431929999997,3,0.6344423000000461,None,,,,,,,,,,,,,,,,,,,,7382,2025-06-21_10h09.22.488,part0,2024.2.4,59.969871136756964,2025-06-21 10h09.31.018319 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.1845737000001,238.19950070000004,238.19950070000004,243.20094130000007,3,4.993635399999903,None,,,,,,,,,,,,,7382,2025-06-21_10h09.22.488,part0,2024.2.4,59.969871136756964,2025-06-21 10h09.31.018319 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.4743234,243.48059039999998,243.48059039999998,248.24976110000011,248.48235350000004,827.1178785000002,space,583.6329959000002,None,,,,7382,2025-06-21_10h09.22.488,part0,2024.2.4,59.969871136756964,2025-06-21 10h09.31.018319 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827.2444882,827.2556005000001,827.2556005000001,,,,,,,
