thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,blank_cross.started,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,task_break.started,task_break_text.started,task_break_resp.started,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,blank_cross.stopped,PID,Alter,Geschlecht (optional),MRI,date,expName,psychopyVersion,frameRate,expStart,
7,0,7,,,,,,space,10.401843800000279,None,None,3,0.9529752999997072,0.22432130000015604,None,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,76.4708187999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kino,3.8592,76.45549799999935,76.45601230000011,76.45611839999947,76.4708187999995,80.33692169999995,80.32107449999967,80.32438980000006,80.33692169999995,80.33692169999995,80.33692169999995,80.33692169999995,82.33678869999949,82.33678869999949,82.33678869999949,82.33678869999949,82.32127140000011,3,0.9529752999997072,0.22432130000015604,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
8,0,8,,,,,,space,10.401843800000279,None,None,3,0.9620918000000529,0.2080089000000953,None,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,82.33678869999949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tube,2.1831,82.32176900000013,82.32242369999949,82.32252809999954,82.33678869999949,84.51989400000002,84.50435500000003,84.50793019999946,84.51989400000002,84.51989400000002,84.51989400000002,84.51989400000002,86.51987259999987,86.51987259999987,86.51987259999987,86.51987259999987,86.50433019999946,3,0.9620918000000529,0.2080089000000953,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
9,0,9,,,,,,space,10.401843800000279,None,None,3,0.978743100000429,0.23039349999999104,None,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,86.51987259999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safari,4.3424,86.5048197999995,86.50548199999957,86.50558799999999,86.51987259999987,90.8701658,90.85385799999949,90.85759330000019,90.8701658,90.8701658,90.8701658,90.8701658,92.86961109999993,92.86961109999993,92.86961109999993,92.86961109999993,92.8539111,3,0.978743100000429,0.23039349999999104,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
10,0,10,,,,,,space,10.401843800000279,None,None,3,0.6876321999998254,0.2623332000002847,None,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,92.86961109999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kabine,4.7208,92.85441050000009,92.85493129999941,92.85503599999993,92.86961109999993,97.60247829999935,97.5867245999998,97.59038809999947,97.60247829999935,97.60247829999935,97.60247829999935,97.60247829999935,99.60268429999996,99.60268429999996,99.60268429999996,99.60268429999996,99.58703689999948,3,0.6876321999998254,0.2623332000002847,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
11,0,11,,,,,,space,10.401843800000279,None,None,3,0.9330908000001727,0.25546959999974206,None,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,99.60268429999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gegenwart,3.189,99.58753489999981,99.58806379999987,99.58817480000016,99.60268429999996,102.80224670000007,102.7865054999993,102.79130189999978,102.80224670000007,102.80224670000007,102.80224670000007,102.80224670000007,104.80214290000004,104.80214290000004,104.80214290000004,104.80214290000004,104.78668569999991,3,0.9330908000001727,0.25546959999974206,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
12,0,12,,,,,,space,10.401843800000279,None,None,3,0.8262200000008306,0.2676612999994177,None,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,104.80214290000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablett,3.6005,104.78719509999974,104.78780079999979,104.78790620000018,104.80214290000004,108.40169460000016,108.38620489999994,108.38964419999957,108.40169460000016,108.40169460000016,108.40169460000016,108.40169460000016,110.40189709999959,110.40189709999959,110.40189709999959,110.40189709999959,110.38625330000013,3,0.8262200000008306,0.2676612999994177,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
13,0,13,,,,,,space,10.401843800000279,None,None,3,0.7003680999996504,0.2502806000002238,None,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,110.40189709999959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stein,4.4429,110.38674850000007,110.38726159999987,110.38736479999989,110.40189709999959,114.85152179999932,114.83597060000011,114.83969549999983,114.85152179999932,114.85152179999932,114.85152179999932,114.85152179999932,116.85167910000018,116.85167910000018,116.85167910000018,116.85167910000018,116.83581969999977,3,0.7003680999996504,0.2502806000002238,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
14,0,14,,,,,,space,10.401843800000279,None,None,3,0.8126053000005413,0.2536080999998376,None,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,116.85167910000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gleis,2.0842,116.83631569999943,116.83683430000019,116.83693969999968,116.85167910000018,118.95138359999964,118.93586929999947,118.93978819999938,118.95138359999964,118.95138359999964,118.95138359999964,118.95138359999964,120.95131419999962,120.95131419999962,120.95131419999962,120.95131419999962,120.93564139999944,3,0.8126053000005413,0.2536080999998376,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
15,0,15,,,,,,space,10.401843800000279,None,None,3,1.1901444999994055,0.25867569999991247,None,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,120.95131419999962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universität,2.5519,120.93613980000009,120.93664939999962,120.9367543999997,120.95131419999962,123.51764259999982,123.50207520000004,123.50896039999952,123.51764259999982,123.51764259999982,123.51764259999982,123.51764259999982,125.51783829999931,125.51783829999931,125.51783829999931,125.51783829999931,125.5019956999995,3,1.1901444999994055,0.25867569999991247,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
16,0,16,,,,,,space,10.401843800000279,None,None,3,1.153838199999882,0.282281900000271,None,0,0,0,0,,,,,0,0,0,0,,,,,16,0,16,0,125.51783829999931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rot,2.2129,125.50253329999941,125.50305930000013,125.50316329999987,125.51783829999931,127.73417340000015,127.71908919999987,127.7231025000001,127.73417340000015,127.73417340000015,127.73417340000015,127.73417340000015,129.7341063999993,129.7341063999993,129.7341063999993,129.7341063999993,129.71861939999962,3,1.153838199999882,0.282281900000271,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
17,0,17,,,,,,space,10.401843800000279,None,None,2,0.6952280000004976,0.25437719999990804,None,0,0,0,0,,,,,0,0,0,0,,,,,17,0,17,0,129.7341063999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zwerg,2.5169,129.7191084999995,129.71975939999993,129.71986519999973,129.7341063999993,132.2506171999994,132.23502329999974,132.2417779999996,132.2506171999994,132.2506171999994,132.2506171999994,132.2506171999994,134.25096810000014,134.25096810000014,134.25096810000014,134.25096810000014,134.23487059999934,2,0.6952280000004976,0.25437719999990804,None,,,,,,,,,Guess_8294,22,female,1,2025-05-10_11h32.01.600,sm,2024.2.4,59.97015884895574,2025-05-10 11h32.28.212208 +0200,
