thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,begin_end_run_cross.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0035710000001927256,0.008990100000119128,0.008990100000119128,441.74242530000083,space,441.70903069999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9210,1,2025-07-05_13h22.03.154,sm,2024.2.4,59.98141775679449,2025-07-05 13h22.43.478004 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.7425763000001,441.75150640000084,441.75150640000084,549.160398,space,107.40598080000018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9210,1,2025-07-05_13h22.03.154,sm,2024.2.4,59.98141775679449,2025-07-05 13h22.43.478004 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.1605331000001,549.1754428000004,549.1754428000004,562.8263561000003,3,13.640130800000406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9210,1,2025-07-05_13h22.03.154,sm,2024.2.4,59.98141775679449,2025-07-05 13h22.43.478004 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.8264766000002,562.8412799000007,562.8412799000007,570.9427420000002,3,8.084308999999848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9210,1,2025-07-05_13h22.03.154,sm,2024.2.4,59.98141775679449,2025-07-05 13h22.43.478004 +0200,
0,0,0,Fakt,Wissen,Wahrheit,Fiktion,2.8906,space,2.547952400000213,None,None,3,1.667968299999302,0.2586897000001045,None,0,0,0,0,0,79,79,0,0,0,0,0,0,79,79,55,0,0,0,0,631.3556745000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.9437633000007,570.9445635000002,571.0134489000002,571.0136861000001,571.0181236000008,571.0184122000001,571.0473750000001,571.0475645000006,571.0542461000005,571.0576343000002,571.0576343000002,573.6107616000008,space,2.547952400000213,None,573.6109121000009,573.6256676000003,573.6256676000003,619.3395688,None,619.3484432000005,619.3560791,619.354785466667,620.5579127000001,629.3394001666668,630.3478727000002,631.3556745000005,631.3399926000002,Soße,2.8906,631.3413825000007,631.3420513000001,631.3454508000004,631.3556745000005,634.2553240000007,634.2400027000003,634.2434221000003,634.2553240000007,634.2553240000007,634.2553240000007,634.2553240000007,636.255967,636.255967,636.255967,636.255967,636.2400539,3,1.667968299999302,0.2586897000001045,None,,,,,,,,,,,,,,,,,,,,,9210,1,2025-07-05_13h22.03.154,sm,2024.2.4,59.98141775679449,2025-07-05 13h22.43.478004 +0200,
1,0,1,,,,,,space,2.547952400000213,None,None,3,1.6556252000000313,0.24140299999999115,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,636.255967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schmerz,2.7162,636.2405893000005,636.2411057000008,636.2412146000006,636.255967,638.9720356000007,638.9562037000005,638.9598609000004,638.9720356000007,638.9720356000007,638.9720356000007,638.9720356000007,640.9718887000008,640.9718887000008,640.9718887000008,640.9718887000008,640.9566386000006,3,1.6556252000000313,0.24140299999999115,None,,,,,,,,,,,,,,,,,,,,,9210,1,2025-07-05_13h22.03.154,sm,2024.2.4,59.98141775679449,2025-07-05 13h22.43.478004 +0200,
2,0,2,,,,,,space,2.547952400000213,None,None,3,0.7889038000002984,0.22693749999962165,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,640.9718887000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knöchel,3.7587,640.9571582000008,640.9577094000006,640.9578178000002,640.9718887000008,644.7380652000002,644.7228505000003,644.7300823000005,644.7380652000002,644.7380652000002,644.7380652000002,644.7380652000002,646.7385712000005,646.7385712000005,646.7385712000005,646.7385712000005,646.7229097000009,3,0.7889038000002984,0.22693749999962165,None,,,,,,,,,,,,,,,,,,,,,9210,1,2025-07-05_13h22.03.154,sm,2024.2.4,59.98141775679449,2025-07-05 13h22.43.478004 +0200,
3,0,3,,,,,,space,2.547952400000213,None,None,3,0.8164225999998962,0.24834090000058495,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,646.7385712000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Album,2.1335,646.7234326000007,646.7240747000005,646.7241827000007,646.7385712000005,648.8718743000009,648.8556758000004,648.8596455000006,648.8718743000009,648.8718743000009,648.8718743000009,648.8718743000009,650.8713657000008,650.8713657000008,650.8713657000008,650.8713657000008,650.855751,3,0.8164225999998962,0.24834090000058495,None,,,,,,,,,,,,,,,,,,,,,9210,1,2025-07-05_13h22.03.154,sm,2024.2.4,59.98141775679449,2025-07-05 13h22.43.478004 +0200,
4,0,4,,,,,,space,2.547952400000213,None,None,3,0.7346800000004805,0.24638450000020384,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,650.8713657000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brille,2.0819,650.8562749000002,650.8567930000008,650.8569019000006,650.8713657000008,652.9542977000001,652.9388054000001,652.9423849000004,652.9542977000001,652.9542977000001,652.9542977000001,652.9542977000001,654.9545397000002,654.9545397000002,654.9545397000002,654.9545397000002,654.9389583000002,3,0.7346800000004805,0.24638450000020384,None,,,,,,,,,,,,,,,,,,,,,9210,1,2025-07-05_13h22.03.154,sm,2024.2.4,59.98141775679449,2025-07-05 13h22.43.478004 +0200,
5,0,5,,,,,,space,2.547952400000213,None,None,3,0.7305605999999898,0.22340110000004643,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,654.9545397000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kino,2.8995,654.9394919000006,654.9400049000005,654.9401130000006,654.9545397000002,657.8541492000004,657.8386518000007,657.8423015000008,657.8541492000004,657.8541492000004,657.8541492000004,657.8541492000004,659.8544419,659.8544419,659.8544419,659.8544419,659.8387504000002,3,0.7305605999999898,0.22340110000004643,None,,,,,,,,,,,,,,,,,,,,,9210,1,2025-07-05_13h22.03.154,sm,2024.2.4,59.98141775679449,2025-07-05 13h22.43.478004 +0200,
