this_button,correct_button,thisN,thisTrialN,thisRepN,button_practice_key.keys,button_practice_key.rt,button_practice_key.duration,button_practice_loop.thisRepN,button_practice_loop.thisTrialN,button_practice_loop.thisN,button_practice_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,hand_intro.started,hand_image.started,hand_intro_key.started,hand_intro_text.started,hand_intro.stopped,hand_intro_key.keys,hand_intro_key.rt,hand_intro_key.duration,button_practice.started,instruction.started,button_text.started,button_practice_key.started,button_practice.stopped,button_practice_loop.button_practice_key.keys,button_practice_loop.button_practice_key.rt,button_practice_loop.button_practice_key.duration,select_video.started,select_video_text.started,select_video_keys.started,select_video.stopped,select_video_keys.keys,select_video_keys.rt,select_video_keys.duration,play_video.started,video_text.started,end_video.started,movie.started,video_text.stopped,play_video.stopped,end_video.keys,end_video.rt,end_video.duration,end.started,end_text.started,key_resp_2.started,PID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.00407430000086606,0.009433900000658468,0.009433900000658468,1161.3245767000008,space,1161.1990943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5613,2025-06-04_17h50.35.863,part0,2024.2.4,59.959874851602486,2025-06-04 17h52.23.195241 +0200,
,,,,,,,,,,,,,,,,,,,,,1161.3247310999996,1161.3368345,1161.3368345,1161.3368345,1165.4738355000009,2,4.133155199999237,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,5613,2025-06-04_17h50.35.863,part0,2024.2.4,59.959874851602486,2025-06-04 17h52.23.195241 +0200,
2,3,0,0,0,3,1.0087443000011262,None,0,0,0,1,1165.5002787000012,,,,,,,,,,,,,,,,,1165.4932661000003,1165.5002787000012,1165.5002787000012,1165.5002787000012,1166.5239342000004,3,1.0087443000011262,None,,,,,,,,,,,,,,,,,,,,5613,2025-06-04_17h50.35.863,part0,2024.2.4,59.959874851602486,2025-06-04 17h52.23.195241 +0200,
1,2,1,1,0,2,0.5318394000005355,None,0,1,1,0,1166.5387318000012,,,,,,,,,,,,,,,,,1166.5274136999997,1166.5387318000012,1166.5387318000012,1166.5387318000012,1167.074122600001,2,0.5318394000005355,None,,,,,,,,,,,,,,,,,,,,5613,2025-06-04_17h50.35.863,part0,2024.2.4,59.959874851602486,2025-06-04 17h52.23.195241 +0200,
3,4,2,2,0,4,0.5752268999985972,None,0,2,2,2,1167.0887249000007,,,,,,,,,,,,,,,,,1167.0777611000012,1167.0887249000007,1167.0887249000007,1167.0887249000007,1167.6739484999998,4,0.5752268999985972,None,,,,,,,,,,,,,,,,,,,,5613,2025-06-04_17h50.35.863,part0,2024.2.4,59.959874851602486,2025-06-04 17h52.23.195241 +0200,
4,5,3,3,0,5,0.5198158000002877,None,0,3,3,3,1167.6887287999998,,,,,,,,,,,,,,,,,1167.6779266000012,1167.6887287999998,1167.6887287999998,1167.6887287999998,1168.2241076999999,5,0.5198158000002877,None,,,,,,,,,,,,,,,,,,,,5613,2025-06-04_17h50.35.863,part0,2024.2.4,59.959874851602486,2025-06-04 17h52.23.195241 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1168.2243694999997,1168.2388499999997,1168.2388499999997,1175.1734336999998,4,6.923992300000464,None,,,,,,,,,,,,,5613,2025-06-04_17h50.35.863,part0,2024.2.4,59.959874851602486,2025-06-04 17h52.23.195241 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175.4520271000001,1175.4598231,1175.4598231,1180.2005104,1180.4700097000004,1638.8618858999998,space,463.3959734,None,,,,5613,2025-06-04_17h50.35.863,part0,2024.2.4,59.959874851602486,2025-06-04 17h52.23.195241 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638.9816038999998,1638.986492,1638.986492,,,,,,,
