thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004557599999316153,0.013426199999230448,0.013426199999230448,132.7721062999999,space,132.74689300000045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.7722423999994,132.78071029999955,132.78071029999955,232.9099301999995,space,100.12368559999959,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.9100413999995,232.92665299999953,232.92665299999953,238.7283110999997,3,5.797366199999487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.72842539999965,238.74309359999916,238.74309359999916,246.52776129999984,2,7.769986199999948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
0,0,0,Statue,Monument,Stein,Marmor,2.289,space,2.434613100000206,None,None,3,1.7999628999996276,None,None,0,0,0,0,0,79,79,53,0,0,0,0,0,79,79,26,0,0,0,0,308.3723760999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.5287013999996,246.52942099999927,246.59973899999932,246.60002989999975,246.60462689999986,246.60488899999928,246.6330307999997,246.63320169999952,246.6396453999996,246.64440789999935,246.64440789999935,249.09472099999948,space,2.434613100000206,None,249.09487619999982,249.10897739999928,249.10897739999928,296.3413168999996,None,296.35038559999975,296.3590553999993,296.35661276666656,297.5595432,306.3562479666664,307.35955879999983,308.3559891999994,Soße,2.289,308.3574738999996,308.3582099999994,308.3617336999996,308.3723760999992,310.6719809999995,310.6563062999994,310.6597548999998,310.6719809999995,310.6719809999995,310.6719809999995,310.6719809999995,312.67207509999935,312.67207509999935,312.67207509999935,312.67207509999935,312.6566146999994,3,1.7999628999996276,None,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
1,0,1,,,,,,space,2.434613100000206,None,None,3,1.1162510999993174,0.26920030000019324,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,312.67207509999935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hilfe,3.1542,312.65713249999953,312.6576651999994,312.6577729999999,312.67207509999935,315.8384765999999,315.8230330999995,315.8304355999999,315.8384765999999,315.8384765999999,315.8384765999999,315.8384765999999,317.8387077999996,317.8387077999996,317.8387077999996,317.8387077999996,317.82300119999945,3,1.1162510999993174,0.26920030000019324,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
2,0,2,,,,,,space,2.434613100000206,None,None,2,0.7495150999993712,0.20068300000002637,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,317.8387077999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ehe,4.8079,317.8235049999994,317.82411819999925,317.82422699999915,317.8387077999996,322.6548143,322.6393320999996,322.64341719999993,322.6548143,322.6548143,322.6548143,322.6548143,324.6547966999997,324.6547966999997,324.6547966999997,324.6547966999997,324.63925329999984,2,0.7495150999993712,0.20068300000002637,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
3,0,3,,,,,,space,2.434613100000206,None,None,3,1.0382496000001993,0.2185050999996747,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,324.6547966999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haare,2.3884,324.63976489999914,324.6402720999995,324.6403797999992,324.6547966999997,327.0544312999991,327.03885379999974,327.0426037999996,327.0544312999991,327.0544312999991,327.0544312999991,327.0544312999991,329.05433059999996,329.05433059999996,329.05433059999996,329.05433059999996,329.0389718999995,3,1.0382496000001993,0.2185050999996747,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
4,0,4,,,,,,space,2.434613100000206,None,None,2,1.3337760000003982,0.1956798000001072,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,329.05433059999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safari,2.2568,329.03946649999943,329.0401011999993,329.04020859999946,329.05433059999996,331.32078639999963,331.3052528999997,331.30877019999934,331.32078639999963,331.32078639999963,331.32078639999963,331.32078639999963,333.3207593999996,333.3207593999996,333.3207593999996,333.3207593999996,333.30540089999977,2,1.3337760000003982,0.1956798000001072,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
5,0,5,,,,,,space,2.434613100000206,None,None,2,1.2396327999995265,0.18755920000057813,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,333.3207593999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lokomotive,2.6027,333.30589989999953,333.3065383999992,333.30664459999934,333.3207593999996,335.9374840999999,335.9218592999996,335.92628289999993,335.9374840999999,335.9374840999999,335.9374840999999,335.9374840999999,337.93727339999987,337.93727339999987,337.93727339999987,337.93727339999987,337.92177229999925,2,1.2396327999995265,0.18755920000057813,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
6,0,6,,,,,,space,2.434613100000206,None,None,3,1.0495333999997456,0.2173387000002549,None,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,337.93727339999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerzen,2.1907,337.92227449999973,337.9229282999995,337.92303339999944,337.93727339999987,340.1378952999994,340.12129319999985,340.12727279999945,340.1378952999994,340.1378952999994,340.1378952999994,340.1378952999994,342.13708619999943,342.13708619999943,342.13708619999943,342.13708619999943,342.1221459999997,3,1.0495333999997456,0.2173387000002549,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
7,0,7,,,,,,space,2.434613100000206,None,None,3,0.6814748000006148,0.2319352999993498,None,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,342.13708619999943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bürste,2.3028,342.12265709999974,342.12317229999917,342.1232803999992,342.13708619999943,344.4539944999997,344.43796199999997,344.44299819999924,344.4539944999997,344.4539944999997,344.4539944999997,344.4539944999997,346.4536677999995,346.4536677999995,346.4536677999995,346.4536677999995,346.4383814999992,3,0.6814748000006148,0.2319352999993498,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
8,0,8,,,,,,space,2.434613100000206,None,None,3,0.6806730000007519,0.25145399999928486,None,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,346.4536677999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zigarette,4.0401,346.4389016999994,346.43943279999985,346.4395453999996,346.4536677999995,350.50294569999915,350.4873066,350.4930568,350.50294569999915,350.50294569999915,350.50294569999915,350.50294569999915,352.5030748999998,352.5030748999998,352.5030748999998,352.5030748999998,352.48749019999923,3,0.6806730000007519,0.25145399999928486,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
9,0,9,,,,,,space,2.434613100000206,None,None,3,0.9505629000004774,0.2164389999998093,None,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,352.5030748999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zapfen,3.7874,352.48799099999997,352.48851319999994,352.4886246999995,352.5030748999998,356.30244239999956,356.2871222999993,356.29023459999917,356.30244239999956,356.30244239999956,356.30244239999956,356.30244239999956,358.30267449999974,358.30267449999974,358.30267449999974,358.30267449999974,358.2873445999994,3,0.9505629000004774,0.2164389999998093,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
10,0,10,,,,,,space,2.434613100000206,None,None,2,0.8480201000002126,0.19248239999978978,None,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,358.30267449999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ei,3.8444,358.2878498,358.28835549999985,358.28846389999944,358.30267449999974,362.15260019999914,362.1370352999993,362.1407320999997,362.15260019999914,362.15260019999914,362.15260019999914,362.15260019999914,364.1526596999993,364.1526596999993,364.1526596999993,364.1526596999993,364.13695149999967,2,0.8480201000002126,0.19248239999978978,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
11,0,11,,,,,,space,2.434613100000206,None,None,3,0.6153070999998818,0.24661579999974492,None,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,364.1526596999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Album,3.017,364.1374614999995,364.13800209999954,364.1381158999993,364.1526596999993,367.16920409999966,367.1535701999992,367.1568893999993,367.16920409999966,367.16920409999966,367.16920409999966,367.16920409999966,369.16889159999937,369.16889159999937,369.16889159999937,369.16889159999937,369.15329909999946,3,0.6153070999998818,0.24661579999974492,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
12,0,12,,,,,,space,2.434613100000206,None,None,2,0.8507134999999835,0.2201331999995091,None,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,369.16889159999937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schwimmen,4.2193,369.15380409999943,369.15433829999984,369.1544452999997,369.16889159999937,373.40156939999997,373.3860360999997,373.38976879999973,373.40156939999997,373.40156939999997,373.40156939999997,373.40156939999997,375.401879,375.401879,375.401879,375.401879,375.3865163999999,2,0.8507134999999835,0.2201331999995091,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
13,0,13,,,,,,space,2.434613100000206,None,None,2,1.0894989999997051,0.2054877000000488,None,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,375.401879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humor,3.4659,375.3870107999992,375.38767299999927,375.3877823999992,375.401879,378.86830519999967,378.85261829999945,378.85700669999915,378.86830519999967,378.86830519999967,378.86830519999967,378.86830519999967,380.8680154999993,380.8680154999993,380.8680154999993,380.8680154999993,380.8525737,2,1.0894989999997051,0.2054877000000488,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
14,0,14,,,,,,space,2.434613100000206,None,None,2,0.8590539000006174,0.19549039999947126,None,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,380.8680154999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gruppe,2.1456,380.85307209999974,380.8535847999992,380.85368859999926,380.8680154999993,383.0180739999996,383.00235239999984,383.0066107999992,383.0180739999996,383.0180739999996,383.0180739999996,383.0180739999996,385.01803669999936,385.01803669999936,385.01803669999936,385.01803669999936,385.0023033999996,2,0.8590539000006174,0.19549039999947126,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
15,0,15,,,,,,space,2.434613100000206,None,None,3,0.8100358000001506,0.3833910000003016,None,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,385.01803669999936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waschbecken,3.1202,385.0027956999993,385.0035109999999,385.0036216999997,385.01803669999936,388.15165569999954,388.1353247999996,388.13972059999924,388.15165569999954,388.15165569999954,388.15165569999954,388.15165569999954,390.15106259999993,390.15106259999993,390.15106259999993,390.15106259999993,390.1354488999996,3,0.8100358000001506,0.3833910000003016,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
16,0,16,,,,,,space,2.434613100000206,None,None,2,0.9906114000004891,0.20951160000004165,None,0,0,0,0,,,,,0,0,0,0,,,,,16,0,16,0,390.15106259999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atem,2.2824,390.135953,390.1365057999992,390.13661030000003,390.15106259999993,392.4339655999993,392.41843059999974,392.4221738999995,392.4339655999993,392.4339655999993,392.4339655999993,392.4339655999993,394.4339627999998,394.4339627999998,394.4339627999998,394.4339627999998,394.41848799999934,2,0.9906114000004891,0.20951160000004165,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
17,0,17,,,,,,space,2.434613100000206,None,None,3,1.0354322000002867,0.32154799999989336,None,0,0,0,0,,,,,0,0,0,0,,,,,17,0,17,0,394.4339627999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Himmel,3.6509,394.4189749999996,394.41962479999984,394.41973979999966,394.4339627999998,398.1004262999995,398.08462099999997,398.0879903999994,398.1004262999995,398.1004262999995,398.1004262999995,398.1004262999995,400.1003076999996,400.1003076999996,400.1003076999996,400.1003076999996,400.0849875999993,3,1.0354322000002867,0.32154799999989336,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
18,0,18,,,,,,space,2.434613100000206,None,None,3,1.5880833000001076,0.20944299999973737,None,0,0,0,0,,,,,0,0,0,0,,,,,18,0,18,0,400.1003076999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sendung,2.6012,400.08548989999963,400.0859946999999,400.08609979999983,400.1003076999996,402.71672189999936,402.70145049999974,402.7052248,402.71672189999936,402.71672189999936,402.71672189999936,402.71672189999936,404.71678899999915,404.71678899999915,404.71678899999915,404.71678899999915,404.70132319999993,3,1.5880833000001076,0.20944299999973737,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
19,0,19,,,,,,space,2.434613100000206,None,None,3,0.877434799999719,0.22544569999990927,None,0,0,0,0,,,,,0,0,0,0,,,,,19,0,19,0,404.71678899999915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hügel,4.0429,404.7018226,404.70237729999917,404.70249519999925,404.71678899999915,408.76653519999945,408.75092529999984,408.75506959999984,408.76653519999945,408.76653519999945,408.76653519999945,408.76653519999945,410.7667720999998,410.7667720999998,410.7667720999998,410.7667720999998,410.7509367999992,3,0.877434799999719,0.22544569999990927,None,,,,,,,,,,,,,,,,,,,,,,1029,1,2025-09-22_12h58.39.487,sm,2024.2.4,59.97130972535801,2025-09-22 12h58.49.613032 +0200,
