this_button,correct_button,thisN,thisTrialN,thisRepN,button_practice_key.keys,button_practice_key.rt,button_practice_key.duration,button_practice_loop.thisRepN,button_practice_loop.thisTrialN,button_practice_loop.thisN,button_practice_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,hand_intro.started,hand_image.started,hand_intro_key.started,hand_intro_text.started,hand_intro.stopped,hand_intro_key.keys,hand_intro_key.rt,hand_intro_key.duration,button_practice.started,instruction.started,button_text.started,button_practice_key.started,button_practice.stopped,button_practice_loop.button_practice_key.keys,button_practice_loop.button_practice_key.rt,button_practice_loop.button_practice_key.duration,select_video.started,select_video_text.started,select_video_keys.started,select_video.stopped,select_video_keys.keys,select_video_keys.rt,select_video_keys.duration,play_video.started,video_text.started,end_video.started,movie.started,video_text.stopped,play_video.stopped,end_video.keys,end_video.rt,end_video.duration,end.started,end_text.started,key_resp_2.started,PID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.003138099999887345,0.016716699999960838,0.016716699999960838,746.5682825000004,space,746.4495915999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6039,2025-06-02_14h52.57.729,part0,2024.2.4,60.03806413265956,2025-06-02 14h53.25.179686 +0200,
,,,,,,,,,,,,,,,,,,,,,746.5683593000003,746.5749409999999,746.5749409999999,746.5749409999999,755.1912450999998,2,8.609711699999934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,6039,2025-06-02_14h52.57.729,part0,2024.2.4,60.03806413265956,2025-06-02 14h53.25.179686 +0200,
1,2,0,0,0,2,2.3175837999997384,None,0,0,0,0,755.2176958999999,,,,,,,,,,,,,,,,,755.2111796999998,755.2176958999999,755.2176958999999,755.2176958999999,757.5409464000004,2,2.3175837999997384,None,,,,,,,,,,,,,,,,,,,,6039,2025-06-02_14h52.57.729,part0,2024.2.4,60.03806413265956,2025-06-02 14h53.25.179686 +0200,
3,4,1,1,0,4,1.4575066999996125,None,0,1,1,2,757.5575618000003,,,,,,,,,,,,,,,,,757.5444902999998,757.5575618000003,757.5575618000003,757.5575618000003,759.0256937000004,4,1.4575066999996125,None,,,,,,,,,,,,,,,,,,,,6039,2025-06-02_14h52.57.729,part0,2024.2.4,60.03806413265956,2025-06-02 14h53.25.179686 +0200,
2,3,2,2,0,3,1.0078088000000207,None,0,2,2,1,759.0389114,,,,,,,,,,,,,,,,,759.0291820000002,759.0389114,759.0389114,759.0389114,760.0590442000002,3,1.0078088000000207,None,,,,,,,,,,,,,,,,,,,,6039,2025-06-02_14h52.57.729,part0,2024.2.4,60.03806413265956,2025-06-02 14h53.25.179686 +0200,
4,5,3,3,0,5,1.056479699999727,None,0,3,3,3,760.0739739,,,,,,,,,,,,,,,,,760.0630301000001,760.0739739,760.0739739,760.0739739,761.1404266999998,5,1.056479699999727,None,,,,,,,,,,,,,,,,,,,,6039,2025-06-02_14h52.57.729,part0,2024.2.4,60.03806413265956,2025-06-02 14h53.25.179686 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.1406766999999,761.1572014000003,761.1572014000003,774.657843,4,13.481587799999943,None,,,,,,,,,,,,,6039,2025-06-02_14h52.57.729,part0,2024.2.4,60.03806413265956,2025-06-02 14h53.25.179686 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.9287377999999,774.9330571,774.9330571,779.7067540999997,779.9397196,1175.3520355,space,400.4140690999993,None,,,,6039,2025-06-02_14h52.57.729,part0,2024.2.4,60.03806413265956,2025-06-02 14h53.25.179686 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175.4544508,1175.4658562000004,1175.4658562000004,,,,,,,
