this_button,correct_button,thisN,thisTrialN,thisRepN,button_practice_key.keys,button_practice_key.rt,button_practice_key.duration,button_practice_loop.thisRepN,button_practice_loop.thisTrialN,button_practice_loop.thisN,button_practice_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,hand_intro.started,hand_image.started,hand_intro_key.started,hand_intro_text.started,hand_intro.stopped,hand_intro_key.keys,hand_intro_key.rt,hand_intro_key.duration,button_practice.started,instruction.started,button_text.started,button_practice_key.started,button_practice.stopped,button_practice_loop.button_practice_key.keys,button_practice_loop.button_practice_key.rt,button_practice_loop.button_practice_key.duration,select_video.started,select_video_text.started,select_video_keys.started,select_video.stopped,select_video_keys.keys,select_video_keys.rt,select_video_keys.duration,play_video.started,video_text.started,end_video.started,movie.started,video_text.stopped,play_video.stopped,end_video.keys,end_video.rt,end_video.duration,end.started,end_text.started,key_resp_2.started,PID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.003029699999387958,0.013807499999529682,0.013807499999529682,6.186638399999538,space,6.158084200000303,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5720,2025-10-17_15h19.47.816,part0,2024.2.4,60.00988962990611,2025-10-17 15h19.54.927938 +0200,
,,,,,,,,,,,,,,,,,,,,,6.186758899999404,6.1954249999998865,6.1954249999998865,6.1954249999998865,17.080119099999138,2,10.878445100000135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,5720,2025-10-17_15h19.47.816,part0,2024.2.4,60.00988962990611,2025-10-17 15h19.54.927938 +0200,
4,5,0,0,0,5,1.9866169000006266,None,0,0,0,3,17.1237459999993,,,,,,,,,,,,,,,,,17.11525999999958,17.1237459999993,17.1237459999993,17.1237459999993,19.115090899999814,5,1.9866169000006266,None,,,,,,,,,,,,,,,,,,,,5720,2025-10-17_15h19.47.816,part0,2024.2.4,60.00988962990611,2025-10-17 15h19.54.927938 +0200,
1,2,1,1,0,2,1.2490064000003258,None,0,1,1,0,19.13006259999929,,,,,,,,,,,,,,,,,19.118753699999615,19.13006259999929,19.13006259999929,19.13006259999929,20.381843499999377,2,1.2490064000003258,None,,,,,,,,,,,,,,,,,,,,5720,2025-10-17_15h19.47.816,part0,2024.2.4,60.00988962990611,2025-10-17 15h19.54.927938 +0200,
2,3,2,2,0,3,2.124351899999965,None,0,2,2,1,20.39475979999952,,,,,,,,,,,,,,,,,20.38526169999932,20.39475979999952,20.39475979999952,20.39475979999952,22.53161109999928,3,2.124351899999965,None,,,,,,,,,,,,,,,,,,,,5720,2025-10-17_15h19.47.816,part0,2024.2.4,60.00988962990611,2025-10-17 15h19.54.927938 +0200,
3,4,3,3,0,4,0.662683399999878,None,0,3,3,2,22.544672600000013,,,,,,,,,,,,,,,,,22.535607899999377,22.544672600000013,22.544672600000013,22.544672600000013,23.21478979999938,4,0.662683399999878,None,,,,,,,,,,,,,,,,,,,,5720,2025-10-17_15h19.47.816,part0,2024.2.4,60.00988962990611,2025-10-17 15h19.54.927938 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.21503979999943,23.22976479999943,23.22976479999943,32.66426239999964,4,9.429930600000262,None,,,,,,,,,,,,,5720,2025-10-17_15h19.47.816,part0,2024.2.4,60.00988962990611,2025-10-17 15h19.54.927938 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.93575999999939,32.94565379999949,32.94565379999949,37.71325199999956,37.96248849999938,631.2132809999994,space,598.2657359000004,None,,,,5720,2025-10-17_15h19.47.816,part0,2024.2.4,60.00988962990611,2025-10-17 15h19.54.927938 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631.3237872999998,631.3352365999999,631.3352365999999,,,,,,,
