thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,begin_end_run_cross.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036704000012832694,0.013706500001717359,0.013706500001717359,106.38163200000054,space,106.35963009999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7465,1,2025-07-21_18h55.53.232,sm,2024.2.4,59.91629693318451,2025-07-21 18h56.05.154897 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.38175000000047,106.3899315000017,106.3899315000017,205.86924920000092,space,99.47246300000188,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7465,1,2025-07-21_18h55.53.232,sm,2024.2.4,59.91629693318451,2025-07-21 18h56.05.154897 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.86936530000094,205.88603920000241,205.88603920000241,213.83755799999926,2,7.948866999999154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7465,1,2025-07-21_18h55.53.232,sm,2024.2.4,59.91629693318451,2025-07-21 18h56.05.154897 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.8376687000018,213.8519793000014,213.8519793000014,223.66760480000084,2,9.800501199999417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7465,1,2025-07-21_18h55.53.232,sm,2024.2.4,59.91629693318451,2025-07-21 18h56.05.154897 +0200,
0,0,0,Journalistin,Brille,Zeitung,Autorin,2.7521,space,24.639959899999667,None,None,2,1.7778445000003558,0.19909170000028098,None,0,0,0,0,0,79,79,72,0,0,0,0,0,79,79,29,0,0,0,0,307.46288090000235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.66838220000136,223.6691494000006,223.7612063000015,223.7615012999995,223.7669827000027,223.76743899999929,223.80177829999957,223.80198540000129,223.8088048000027,223.8127088000001,223.8127088000001,248.4682739000018,space,24.639959899999667,None,248.46843889999946,248.48322929999995,248.48322929999995,295.44692209999994,None,295.4546917000007,295.4638092000023,295.4621461666686,296.6719071000007,305.44661506666694,306.4515339000027,307.46288090000235,307.44775030000164,Harmonie,2.7521,307.4492323000013,307.45002530000056,307.4534504000003,307.46288090000235,310.23188500000106,310.2141369000019,310.2215477000027,310.23188500000106,310.23188500000106,310.23188500000106,310.23188500000106,312.2302918000023,2,1.7778445000003558,0.19909170000028098,None,,,,,,,,,,,,,,,,,,,,,,,,,7465,1,2025-07-21_18h55.53.232,sm,2024.2.4,59.91629693318451,2025-07-21 18h56.05.154897 +0200,
1,0,1,,,,,,space,24.639959899999667,None,None,3,1.3323515000010957,0.29420350000145845,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,312.24623900000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erbe,2.663,312.2309454999995,312.2316997000016,312.23181470000054,312.24623900000006,314.91284930000256,314.89692090000244,314.9008266000019,314.91284930000256,314.91284930000256,314.91284930000256,314.91284930000256,316.89722750000146,3,1.3323515000010957,0.29420350000145845,None,316.9127346999994,316.9127346999994,316.9127346999994,316.9127346999994,,,,,,,,,,,,,,,,,,,,,7465,1,2025-07-21_18h55.53.232,sm,2024.2.4,59.91629693318451,2025-07-21 18h56.05.154897 +0200,
2,0,2,,,,,,space,24.639959899999667,None,None,3,1.1746812999990652,0.2304148000002897,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,316.9127346999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bus,2.6527,316.8977349000015,316.898247000001,316.89835270000185,316.9127346999994,319.5792466999992,319.56357370000114,319.5671628000018,319.5792466999992,319.5792466999992,319.5792466999992,319.5792466999992,321.5639291000007,3,1.1746812999990652,0.2304148000002897,None,321.5792336000013,321.5792336000013,321.5792336000013,321.5792336000013,,,,,,,,,,,,,,,,,,,,,7465,1,2025-07-21_18h55.53.232,sm,2024.2.4,59.91629693318451,2025-07-21 18h56.05.154897 +0200,
3,0,3,,,,,,space,24.639959899999667,None,None,3,1.5330904999973427,0.20982260000164388,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,321.5792336000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hemd,3.0567,321.5644400000019,321.5649630000007,321.5650690000002,321.5792336000013,324.64582620000147,324.6298005000026,324.6326848000026,324.64582620000147,324.64582620000147,324.64582620000147,324.64582620000147,326.62979180000184,3,1.5330904999973427,0.20982260000164388,None,326.6456063000005,326.6456063000005,326.6456063000005,326.6456063000005,,,,,,,,,,,,,,,,,,,,,7465,1,2025-07-21_18h55.53.232,sm,2024.2.4,59.91629693318451,2025-07-21 18h56.05.154897 +0200,
4,0,4,,,,,,space,24.639959899999667,None,None,3,1.5511487000003399,0.21350819999861415,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,326.6456063000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gewürz,3.0539,326.63020010000037,326.6306622000011,326.6307454000016,326.6456063000005,329.71199759999945,329.69636209999953,329.7006086000001,329.71199759999945,329.71199759999945,329.71199759999945,329.71199759999945,331.69676529999924,3,1.5511487000003399,0.21350819999861415,None,331.7118596,331.7118596,331.7118596,331.7118596,,,,,,,,,,,,,,,,,,,,,7465,1,2025-07-21_18h55.53.232,sm,2024.2.4,59.91629693318451,2025-07-21 18h56.05.154897 +0200,
5,0,5,,,,,,space,24.639959899999667,None,None,2,1.781974599998648,None,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,331.7118596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nebel,2.0367,331.6972706000015,331.6977923000013,331.6978987000002,331.7118596,333.7616111000025,333.7458785000017,333.749251600002,333.7616111000025,333.7616111000025,333.7616111000025,333.7616111000025,335.74619280000115,2,1.781974599998648,None,None,335.76164150000113,335.76164150000113,335.76164150000113,335.76164150000113,,,,,,,,,,,,,,,,,,,,,7465,1,2025-07-21_18h55.53.232,sm,2024.2.4,59.91629693318451,2025-07-21 18h56.05.154897 +0200,
