thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,begin_end_run_cross.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003470099998594378,0.01145369999903778,3.0110139999997045,2.995932799998627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9959879999987606,3.0110139999997045,3.0110139999997045,352.7812049999993,space,349.76051430000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.78129479999916,352.79049829999894,352.79049829999894,367.17408199999954,3,14.370431100000133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.17412739999963,367.1900029999997,367.1900029999997,372.7411541999991,3,5.5389954000002035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
0,0,0,Schuh,Stiefel,Fuß,Schnürsenkel,4.5524,space,3.2489609999993263,None,None,2,1.2688226999998733,0.23138449999896693,None,0,0,0,0,0,79,79,50,0,0,0,0,0,79,79,10,0,0,0,0,434.2025857999997,,,,,,,,,,,,,,,,,,,,,,,,,,,372.7420177999993,372.74239449999914,372.8051698999989,372.8053326999998,372.8119508999989,372.8121339999998,372.83783479999875,372.8380467999996,372.84700220000013,372.850925499999,372.850925499999,376.10676649999914,space,3.2489609999993263,None,376.1069066,376.12348629999906,376.12348629999906,422.18762009999955,None,422.1926134999994,422.20285049999984,422.2035798666659,423.4203617999992,432.20269416666656,433.2034592,434.2025857999997,434.1861209999988,Garten,4.5524,434.1867302999999,434.18693339999845,434.18833149999955,434.2025857999997,438.7689759999994,438.7527207999992,438.75502830000005,438.7689759999994,438.7689759999994,438.7689759999994,438.7689759999994,440.7685781,440.7685781,440.7685781,440.7685781,440.75234719999935,2,1.2688226999998733,0.23138449999896693,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
1,0,1,,,,,,space,3.2489609999993263,None,None,3,0.8041245000003983,0.2272726999999577,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,440.7685781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weltraum,2.1697,440.75253519999933,440.7526980999992,440.752736299999,440.7685781,442.95179519999874,442.9357072999992,442.93729209999947,442.95179519999874,442.95179519999874,442.95179519999874,442.95179519999874,444.95160699999906,444.95160699999906,444.95160699999906,444.95160699999906,444.93552420000015,3,0.8041245000003983,0.2272726999999577,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
2,0,2,,,,,,space,3.2489609999993263,None,None,3,0.7522740000003978,0.24233490000005986,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,444.95160699999906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maske,2.83,444.93571669999983,444.9359341999989,444.93598219999876,444.95160699999906,447.7847865999993,447.7684974999993,447.7703215999991,447.7847865999993,447.7847865999993,447.7847865999993,447.7847865999993,,,,,449.7691049999994,3,0.7522740000003978,0.24233490000005986,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
3,0,3,,,,,,space,3.2489609999993263,None,None,3,0.9632585999988805,0.28729850000127044,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,449.78581379999923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ostern,3.6564,449.7696406999985,449.77006280000023,449.77015989999927,449.78581379999923,453.4526533999997,453.43608010000025,453.4429154999998,453.4526533999997,453.4526533999997,453.4526533999997,453.4526533999997,455.45196119999855,455.45196119999855,455.45196119999855,455.45196119999855,455.43631300000015,3,0.9632585999988805,0.28729850000127044,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
4,0,4,,,,,,space,3.2489609999993263,None,None,3,1.0322400000004563,0.2473840000002383,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,455.45196119999855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foto,2.0842,455.4367893999988,455.4371476999986,455.4372442999993,455.45196119999855,457.5509425,457.5348428999987,457.53720219999923,457.5509425,457.5509425,457.5509425,457.5509425,,,,,459.5351297999987,3,1.0322400000004563,0.2473840000002383,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
5,0,5,,,,,,space,3.2489609999993263,None,None,3,0.9079500999996526,0.25215320000097563,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,459.55144299999847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geheimnis,2.3419,459.5356649999994,459.5362925999998,459.5363935999994,459.55144299999847,461.90108019999934,461.8852737999987,461.8891004999987,461.90108019999934,461.90108019999934,461.90108019999934,461.90108019999934,463.9020514999993,463.9020514999993,463.9020514999993,463.9020514999993,463.8856390000001,3,0.9079500999996526,0.25215320000097563,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
6,0,6,,,,,,space,3.2489609999993263,None,None,3,0.8749521999998251,0.25031549999948766,None,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,463.9020514999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lernen,2.7378,463.88595689999966,463.88642789999903,463.8864959000002,463.9020514999993,466.6503593999987,466.6341126999996,466.6357011,466.6503593999987,466.6503593999987,466.6503593999987,466.6503593999987,,,,,468.6350539999985,3,0.8749521999998251,0.25031549999948766,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
7,0,7,,,,,,space,3.2489609999993263,None,None,3,1.0300989000006666,0.23140190000049188,None,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,468.651490799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dunkelheit,3.2825,468.6357387999997,468.63626589999876,468.636366499999,468.651490799999,471.9336452999996,471.91823639999893,471.9222957999991,471.9336452999996,471.9336452999996,471.9336452999996,471.9336452999996,473.93427939999856,473.93427939999856,473.93427939999856,473.93427939999856,473.91846069999883,3,1.0300989000006666,0.23140190000049188,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
8,0,8,,,,,,space,3.2489609999993263,None,None,2,0.7503338999995322,0.21344320000025618,None,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,473.93427939999856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaf,4.4429,473.9189824999994,473.9193188999998,473.91942500000005,473.93427939999856,478.3830263999989,478.3670239999992,478.36886479999885,478.3830263999989,478.3830263999989,478.3830263999989,478.3830263999989,,,,,480.3673891999988,2,0.7503338999995322,0.21344320000025618,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
9,0,9,,,,,,space,3.2489609999993263,None,None,2,1.1250166000008903,0.22041729999909876,None,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,480.38386589999936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vampir,3.8592,480.36785880000025,480.36826909999945,480.3683726999989,480.38386589999936,484.2503765999991,484.2345250999988,484.2406093999998,484.2503765999991,484.2503765999991,484.2503765999991,484.2503765999991,486.2498448999995,486.2498448999995,486.2498448999995,486.2498448999995,486.2335707000002,2,1.1250166000008903,0.22041729999909876,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
10,0,10,,,,,,space,3.2489609999993263,None,None,2,1.1835399999999936,0.19049570000061067,None,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,486.2498448999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weinen,2.9109,486.2339592999997,486.2342074999997,486.2342592999994,486.2498448999995,489.16657339999983,489.1509111999985,489.15475890000016,489.16657339999983,489.16657339999983,489.16657339999983,489.16657339999983,491.1657424999994,491.1657424999994,491.1657424999994,491.1657424999994,491.14972169999965,2,1.1835399999999936,0.19049570000061067,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
11,0,11,,,,,,space,3.2489609999993263,None,None,3,1.6888779000000795,0.20055820000015956,None,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,491.1657424999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Büro,4.5959,491.14990359999865,491.1500656999997,491.15010540000003,491.1657424999994,495.76545709999846,495.7491355000002,495.75051969999913,495.76545709999846,495.76545709999846,495.76545709999846,495.76545709999846,497.76569310000014,497.76569310000014,497.76569310000014,497.76569310000014,497.74935959999857,3,1.6888779000000795,0.20055820000015956,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
12,0,12,,,,,,space,3.2489609999993263,None,None,3,1.2113016999992396,0.21934980000150972,None,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,497.76569310000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaffee,2.4167,497.7496222999998,497.7498464,497.74990199999957,497.76569310000014,500.1832376000002,500.1672483000002,500.17353339999863,500.1832376000002,500.1832376000002,500.1832376000002,500.1832376000002,,,,,502.18215149999924,3,1.2113016999992396,0.21934980000150972,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
13,0,13,,,,,,space,3.2489609999993263,None,None,2,0.9326925999994273,0.19856890000119165,None,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,502.1985578999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorn,2.1413,502.182337799999,502.18261600000005,502.1826607999992,502.1985578999993,504.3493063999995,504.3336825999995,504.3371279999992,504.3493063999995,504.3493063999995,504.3493063999995,504.3493063999995,506.3492499999993,506.3492499999993,506.3492499999993,506.3492499999993,506.3333595999993,2,0.9326925999994273,0.19856890000119165,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
14,0,14,,,,,,space,3.2489609999993263,None,None,3,0.9607160999985354,0.2523608999999851,None,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,506.3492499999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fahrrad,2.7992,506.33385819999967,506.3342868999989,506.33438659999956,506.3492499999993,509.148554899999,509.1319703999998,509.1338664999985,509.148554899999,509.148554899999,509.148554899999,509.148554899999,,,,,511.132445199999,3,0.9607160999985354,0.2523608999999851,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
15,0,15,,,,,,space,3.2489609999993263,None,None,3,1.0864214000011998,0.2034334999989369,None,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,511.14859179999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atem,2.7584,511.1329268999998,511.13331579999976,511.13341690000016,511.14859179999985,513.9149197999996,513.8986585000002,513.9000102999998,513.9149197999996,513.9149197999996,513.9149197999996,513.9149197999996,,,,,515.8993463999996,3,1.0864214000011998,0.2034334999989369,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
16,0,16,,,,,,space,3.2489609999993263,None,None,2,0.7589213000010204,0.21151060000011057,None,0,0,0,0,,,,,0,0,0,0,,,,,16,0,16,0,515.9147481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handwerker,5.1698,515.8998089999986,515.9002178999999,515.9003182999986,515.9147481,521.0978822999987,521.081271699999,521.0837514999985,521.0978822999987,521.0978822999987,521.0978822999987,521.0978822999987,523.0982054999986,523.0982054999986,523.0982054999986,523.0982054999986,523.0815516999992,2,0.7589213000010204,0.21151060000011057,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
17,0,17,,,,,,space,3.2489609999993263,None,None,2,0.7169254000000365,0.19336219999968307,None,0,0,0,0,,,,,0,0,0,0,,,,,17,0,17,0,523.0982054999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fuß,2.9036,523.0817396999992,523.0819536999988,523.0820151999997,523.0982054999986,526.0141893999989,525.9986853999999,526.0000947999997,526.0141893999989,526.0141893999989,526.0141893999989,526.0141893999989,528.0147585999985,528.0147585999985,528.0147585999985,528.0147585999985,527.9981539,2,0.7169254000000365,0.19336219999968307,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
18,0,18,,,,,,space,3.2489609999993263,None,None,2,0.6871395999987726,0.1695454000000609,None,0,0,0,0,,,,,0,0,0,0,,,,,18,0,18,0,528.0147585999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hai,2.5519,527.9986486999987,527.9990839000002,527.9991931999994,528.0147585999985,530.5806225999986,530.5647835999989,530.5679676999989,530.5806225999986,530.5806225999986,530.5806225999986,530.5806225999986,532.5810692999985,532.5810692999985,532.5810692999985,532.5810692999985,532.5651861999995,2,0.6871395999987726,0.1695454000000609,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
19,0,19,,,,,,space,3.2489609999993263,None,None,3,0.7655933999994886,0.21251160000065283,None,0,0,0,0,,,,,0,0,0,0,,,,,19,0,19,0,532.5810692999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mäher,2.3229,532.5656732999996,532.5662025000001,532.5663083999989,532.5810692999985,534.9134085999995,534.8971744999999,534.8995849999992,534.9134085999995,534.9134085999995,534.9134085999995,534.9134085999995,,,,,536.8973183999988,3,0.7655933999994886,0.21251160000065283,None,,,,,,,,,,,,,,,,,,,,,5613,1,2025-06-04_19h01.43.631,sm,2024.2.4,60.03172076080684,2025-06-04 19h01.58.366524 +0200,
