thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_text.stopped,welcome.stopped,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,blank_cross.started,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,task_break.started,task_break_text.started,task_break_resp.started,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,blank_cross.stopped,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,Alter,Geschlecht (optional),MRI,date,expName,psychopyVersion,frameRate,expStart,
7,0,7,,,,,,space,266.17012200000136,None,None,3,None,1.1525677000008727,0.1699004000001878,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,459.16785300000083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brief,2.9443,459.1532008000013,459.15372879999995,459.1538339000017,459.16785300000083,462.117532100001,462.10198149999997,462.10592330000145,462.117532100001,462.117532100001,462.117532100001,462.117532100001,464.1177125000013,464.1177125000013,464.1177125000013,464.1177125000013,464.1022818000001,3,None,1.1525677000008727,0.1699004000001878,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
8,0,8,,,,,,space,266.17012200000136,None,None,3,None,1.543402799999967,0.1814923000001727,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,464.1177125000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kapitel,3.6438,464.10278090000065,464.1032937,464.1034025000008,464.1177125000013,467.7672599000016,467.75164310000036,467.75737819999995,467.7672599000016,467.7672599000016,467.7672599000016,467.7672599000016,469.76727350000147,469.76727350000147,469.76727350000147,469.76727350000147,469.7520142000012,3,None,1.543402799999967,0.1814923000001727,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
9,0,9,,,,,,space,266.17012200000136,None,None,3,None,1.2066859999995359,0.19451699999990524,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,469.76727350000147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sterne,2.0842,469.7525216000013,469.75302980000015,469.75314230000004,469.76727350000147,471.8506344000016,471.83495180000136,471.83863100000053,471.8506344000016,471.8506344000016,471.8506344000016,471.8506344000016,473.8506789000003,473.8506789000003,473.8506789000003,473.8506789000003,473.8351520000015,3,None,1.2066859999995359,0.19451699999990524,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
10,0,10,,,,,,space,266.17012200000136,None,None,3,None,0.9074393999999302,0.2304037000012613,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,473.8506789000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teller,2.8516,473.8356425000002,473.8361700000005,473.8362762000015,473.8506789000003,476.7166356000016,476.70125820000067,476.7051674000013,476.7166356000016,476.7166356000016,476.7166356000016,476.7166356000016,478.7169010000016,478.7169010000016,478.7169010000016,478.7169010000016,478.70136130000174,3,None,0.9074393999999302,0.2304037000012613,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
11,0,11,,,,,,space,266.17012200000136,None,None,3,None,1.4898562999987917,0.21157070000117528,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,478.7169010000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schnee,5.3655,478.7018603000015,478.70238540000173,478.70249090000107,478.7169010000016,484.0831881000013,484.0675630000005,484.0717491000014,484.0831881000013,484.0831881000013,484.0831881000013,484.0831881000013,486.0831080000007,486.0831080000007,486.0831080000007,486.0831080000007,486.0677875000001,3,None,1.4898562999987917,0.21157070000117528,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
12,0,12,,,,,,space,266.17012200000136,None,None,3,None,1.1658435000008467,0.24123340000005555,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,486.0831080000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spiele,2.83,486.0682843000013,486.06879819999995,486.0689037000011,486.0831080000007,488.9158881000003,488.90052670000114,488.90406450000046,488.9158881000003,488.9158881000003,488.9158881000003,488.9158881000003,490.91645400000016,490.91645400000016,490.91645400000016,490.91645400000016,490.90055610000127,3,None,1.1658435000008467,0.24123340000005555,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
13,0,13,,,,,,space,266.17012200000136,None,None,3,None,1.3224327999996603,0.20285510000030627,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,490.91645400000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shampoo,4.0852,490.90105930000027,490.90157440000075,490.90168240000094,490.91645400000016,495.01578080000036,495.0002621000003,495.0048121,495.01578080000036,495.01578080000036,495.01578080000036,495.01578080000036,497.01576449999993,497.01576449999993,497.01576449999993,497.01576449999993,497.00001730000076,3,None,1.3224327999996603,0.20285510000030627,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
14,0,14,,,,,,space,266.17012200000136,None,None,3,None,1.2985654000003706,0.21474139999918407,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,497.01576449999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamera,2.8863,497.0004824000007,497.00110889999996,497.0012097000017,497.01576449999993,499.91570150000007,499.89977,499.90326170000117,499.91570150000007,499.91570150000007,499.91570150000007,499.91570150000007,501.9155346000007,501.9155346000007,501.9155346000007,501.9155346000007,501.8999892000011,3,None,1.2985654000003706,0.21474139999918407,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
15,0,15,,,,,,space,266.17012200000136,None,None,2,None,1.2452661999996053,0.20505550000052608,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,501.9155346000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Party,2.1413,501.9004825000011,501.90112780000163,501.9012348000015,501.9155346000007,504.06530790000033,504.0496843000001,504.05619470000056,504.06530790000033,504.06530790000033,504.06530790000033,504.06530790000033,506.0654047000007,506.0654047000007,506.0654047000007,506.0654047000007,506.0497434000008,2,None,1.2452661999996053,0.20505550000052608,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
16,0,16,,,,,,space,266.17012200000136,None,None,3,None,1.3190618000007817,0.2008635999991384,0,0,0,0,,,,,0,0,0,0,,,,,16,0,16,0,506.0654047000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zahnpasta,2.4521,506.0502353000011,506.0508815000012,506.0509850000017,506.0654047000007,508.5319002000015,508.5161457000013,508.52261630000066,508.5319002000015,508.5319002000015,508.5319002000015,508.5319002000015,510.53213529999994,510.53213529999994,510.53213529999994,510.53213529999994,510.51643310000145,3,None,1.3190618000007817,0.2008635999991384,,,,,,,,,,,,,Guess_5579,25,male,1,2025-05-10_13h11.39.088,sm,2024.2.4,59.899644136060594,2025-05-10 13h12.04.125290 +0200,
