thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
6,0,6,,,,,,space,3.4770108000011533,None,None,3,1.2781387000013638,0.28626269999949727,None,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,256.18101249999927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecke,3.6689,256.1658781999995,256.16667419999976,256.1667785000009,256.18101249999927,259.8636917999993,259.84823119999965,259.85149959999944,259.8636917999993,259.8636917999993,259.8636917999993,259.8636917999993,261.8643174000008,261.8643174000008,261.8643174000008,261.8643174000008,261.84845700000005,3,1.2781387000013638,0.28626269999949727,None,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
7,0,7,,,,,,space,3.4770108000011533,None,None,3,1.235658900000999,0.25030250000054366,None,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,261.8643174000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Himmel,2.5121,261.84896540000045,261.84948020000047,261.84958969999934,261.8643174000008,264.3805861000001,264.36457300000075,264.36848350000037,264.3805861000001,264.3805861000001,264.3805861000001,264.3805861000001,266.3803699,266.3803699,266.3803699,266.3803699,266.3648642999997,3,1.235658900000999,0.25030250000054366,None,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
8,0,8,,,,,,space,3.4770108000011533,None,None,3,1.1046281999988423,0.2727223000001686,None,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,266.3803699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schnürsenkel,2.7918,266.365366,266.3659097,266.36602400000083,266.3803699,269.1799652999998,269.16429889999927,269.1679949999998,269.1799652999998,269.1799652999998,269.1799652999998,269.1799652999998,271.1802783000003,271.1802783000003,271.1802783000003,271.1802783000003,271.16446429999996,3,1.1046281999988423,0.2727223000001686,None,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
9,0,9,,,,,,space,3.4770108000011533,None,None,2,1.02301240000088,0.26425319999907515,None,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,271.1802783000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ostern,2.4876,271.1649223000004,271.16539750000084,271.1654892000006,271.1802783000003,273.6797533000008,273.66414050000094,273.66969059999974,273.6797533000008,273.6797533000008,273.6797533000008,273.6797533000008,275.6797743999996,275.6797743999996,275.6797743999996,275.6797743999996,275.6643743000004,2,1.02301240000088,0.26425319999907515,None,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
10,0,10,,,,,,space,3.4770108000011533,None,None,2,0.9877126999999746,0.22482200000013108,None,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,275.6797743999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geschichte,2.7056,275.6648798999995,275.6653970999996,275.6655004999993,275.6797743999996,278.3962984000009,278.38036529999954,278.38370869999926,278.3962984000009,278.3962984000009,278.3962984000009,278.3962984000009,280.39626150000004,280.39626150000004,280.39626150000004,280.39626150000004,280.38062360000004,2,0.9877126999999746,0.22482200000013108,None,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
11,0,11,,,,,,space,3.4770108000011533,None,None,2,1.0038285000009637,0.2782662999998138,None,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,280.39626150000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olympia,2.348,280.3811234999994,280.38166959999944,280.38178230000085,280.39626150000004,282.74587579999934,282.73019080000086,282.7357585000009,282.74587579999934,282.74587579999934,282.74587579999934,282.74587579999934,284.7458858000009,284.7458858000009,284.7458858000009,284.7458858000009,284.7305274999999,2,1.0038285000009637,0.2782662999998138,None,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
12,0,12,,,,,,space,3.4770108000011533,None,None,2,1.4629900999989331,0.2656711000017822,None,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,284.7458858000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feuer,2.8902,284.7310319999997,284.73167339999964,284.7317758999998,284.7458858000009,287.6457396000005,287.63032589999966,287.6374218000001,287.6457396000005,287.6457396000005,287.6457396000005,287.6457396000005,289.64571869999963,289.64571869999963,289.64571869999963,289.64571869999963,289.6302878000006,2,1.4629900999989331,0.2656711000017822,None,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
13,0,13,,,,,,space,3.4770108000011533,None,None,2,0.9749573999997665,0.26790409999921394,None,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,289.64571869999963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afrika,2.2104,289.63079199999993,289.6312923000005,289.63139460000093,289.64571869999963,291.86223699999937,291.8467648000005,291.8515404000009,291.86223699999937,291.86223699999937,291.86223699999937,291.86223699999937,293.86209810000037,293.86209810000037,293.86209810000037,293.86209810000037,293.8467077000005,2,0.9749573999997665,0.26790409999921394,None,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
14,0,14,,,,,,space,3.4770108000011533,None,None,2,1.0654957000006107,0.2749862000000576,None,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,293.86209810000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brief,3.5964,293.84720899999957,293.8477290999999,293.8478333000003,293.86209810000037,297.4619000999992,297.4463257999996,297.4503442999994,297.4619000999992,297.4619000999992,297.4619000999992,297.4619000999992,299.46181050000087,299.46181050000087,299.46181050000087,299.46181050000087,299.44627460000083,2,1.0654957000006107,0.2749862000000576,None,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
15,0,15,,,,,,space,3.4770108000011533,None,None,2,1.0353694999994332,0.23933559999932186,None,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,299.46181050000087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hand,3.0501,299.4467805000004,299.4474295,299.4475352999998,299.46181050000087,302.5114408999998,302.49578140000085,302.49869580000086,302.5114408999998,302.5114408999998,302.5114408999998,302.5114408999998,304.51152059999913,304.51152059999913,304.51152059999913,304.51152059999913,304.4961239999993,2,1.0353694999994332,0.23933559999932186,None,,,,,,,,,,,,,,,,2389,1,2025-10-28_16h31.09.017,sm,2024.2.4,59.97947502359374,2025-10-28 16h31.18.476048 +0100,
