thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome.stopped,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,begin_end_run_cross.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
6,0,6,,,,,,space,121.72490990000006,None,None,3,0.9190727999994124,0.29294669999944745,None,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,234.9951407999979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dachboden,2.5593,234.9800224999999,234.98054499999853,234.98065399999905,234.9951407999979,237.56140269999742,237.54627289999917,237.55059189999884,237.56140269999742,237.56140269999742,237.56140269999742,237.56140269999742,239.56140349999987,239.56140349999987,239.56140349999987,239.56140349999987,239.54587449999963,3,0.9190727999994124,0.29294669999944745,None,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
7,0,7,,,,,,space,121.72490990000006,None,None,2,0.7938955000026908,0.27390799999921,None,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,239.56140349999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tischler,4.1554,239.54637909999656,239.5468869999968,239.54699609999807,239.56140349999987,243.72772049999912,243.712091399997,243.7161589999996,243.72772049999912,243.72772049999912,243.72772049999912,243.72772049999912,245.72799049999958,245.72799049999958,245.72799049999958,245.72799049999958,245.71249739999985,2,0.7938955000026908,0.27390799999921,None,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
8,0,8,,,,,,space,121.72490990000006,None,None,3,0.8285864999998012,0.24094870000044466,None,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,245.72799049999958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herbst,3.5248,245.71302679999644,245.71371799999906,245.7138305999979,245.72799049999958,249.26085319999765,249.24507619999713,249.24910079999972,249.26085319999765,249.26085319999765,249.26085319999765,249.26085319999765,251.26073689999976,251.26073689999976,251.26073689999976,251.26073689999976,251.24531709999792,3,0.8285864999998012,0.24094870000044466,None,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
9,0,9,,,,,,space,121.72490990000006,None,None,2,0.8609074999985751,0.35146630000235746,None,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,251.26073689999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weinen,2.2697,251.2458270999996,251.2463418999978,251.24644629999966,251.26073689999976,253.54386309999973,253.52829309999652,253.53202519999832,253.54386309999973,253.54386309999973,253.54386309999973,253.54386309999973,255.54386049999812,255.54386049999812,255.54386049999812,255.54386049999812,255.52868409999792,2,0.8609074999985751,0.35146630000235746,None,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
10,0,10,,,,,,space,121.72490990000006,None,None,3,1.0145616000008886,0.27033120000123745,None,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,255.54386049999812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geschmack,2.5036,255.52922049999688,255.52988889999688,255.5300408999974,255.54386049999812,258.060371399999,258.0449430999979,258.0492860999984,258.060371399999,258.060371399999,258.060371399999,258.060371399999,260.0604078999968,260.0604078999968,260.0604078999968,260.0604078999968,260.0445867999988,3,1.0145616000008886,0.27033120000123745,None,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
11,0,11,,,,,,space,121.72490990000006,None,None,2,0.6024722999973164,0.25211470000067493,None,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,260.0604078999968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Familie,2.6954,260.04507869999725,260.0455918999978,260.04569309999715,260.0604078999968,262.7599991999996,262.7443804999966,262.75017899999875,262.7599991999996,262.7599991999996,262.7599991999996,262.7599991999996,264.7599840999974,264.7599840999974,264.7599840999974,264.7599840999974,264.74446649999663,2,0.6024722999973164,0.25211470000067493,None,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
12,0,12,,,,,,space,121.72490990000006,None,None,3,0.9331373000022722,0.2973404999975173,None,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,264.7599840999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chips,2.5335,264.74497189999965,264.74562199999855,264.74572759999865,264.7599840999974,267.29318809999677,267.2775516999973,267.28291649999665,267.29318809999677,267.29318809999677,267.29318809999677,267.29318809999677,269.2930575999999,269.2930575999999,269.2930575999999,269.2930575999999,269.27741289999904,3,0.9331373000022722,0.2973404999975173,None,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
13,0,13,,,,,,space,121.72490990000006,None,None,3,0.8786532999984047,0.2866615999992064,None,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,269.2930575999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bürste,2.5116,269.27792569999656,269.2784402999969,269.27854789999765,269.2930575999999,271.8095057999999,271.7941355999974,271.79816359999677,271.8095057999999,271.8095057999999,271.8095057999999,271.8095057999999,273.80946799999947,273.80946799999947,273.80946799999947,273.80946799999947,273.79396899999847,3,0.8786532999984047,0.2866615999992064,None,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
14,0,14,,,,,,space,121.72490990000006,None,None,2,0.7909816999999748,0.2667117999990296,None,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,273.80946799999947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anführer,2.2595,273.79447199999777,273.79503049999767,273.7951383999971,273.80946799999947,276.0760190999972,276.0602687999999,276.064752899998,276.0760190999972,276.0760190999972,276.0760190999972,276.0760190999972,278.07603369999924,278.07603369999924,278.07603369999924,278.07603369999924,278.060531799998,2,0.7909816999999748,0.2667117999990296,None,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
15,0,15,,,,,,space,121.72490990000006,None,None,3,0.7469127999975171,0.3015417000024172,None,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,278.07603369999924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ringe,2.771,278.0610289999968,278.0616904999988,278.06179439999687,278.07603369999924,280.8590424999966,280.84348469999895,280.84754969999995,280.8590424999966,280.8590424999966,280.8590424999966,280.8590424999966,282.8591267999982,282.8591267999982,282.8591267999982,282.8591267999982,282.84355519999735,3,0.7469127999975171,0.3015417000024172,None,,,,,,,,,,,,,,,,,,,,2405,1,2025-06-18_19h52.42.236,sm,2024.2.4,59.96584345508702,2025-06-18 19h52.52.563907 +0200,
