this_button,correct_button,thisN,thisTrialN,thisRepN,button_practice_key.keys,button_practice_key.rt,button_practice_key.duration,button_practice_loop.thisRepN,button_practice_loop.thisTrialN,button_practice_loop.thisN,button_practice_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,hand_intro.started,hand_image.started,hand_intro_key.started,hand_intro_text.started,hand_intro.stopped,hand_intro_key.keys,hand_intro_key.rt,hand_intro_key.duration,button_practice.started,instruction.started,button_text.started,button_practice_key.started,button_practice.stopped,button_practice_loop.button_practice_key.keys,button_practice_loop.button_practice_key.rt,button_practice_loop.button_practice_key.duration,select_video.started,select_video_text.started,select_video_keys.started,select_video.stopped,select_video_keys.keys,select_video_keys.rt,select_video_keys.duration,play_video.started,video_text.started,end_video.started,movie.started,video_text.stopped,play_video.stopped,end_video.keys,end_video.rt,end_video.duration,end.started,end_text.started,key_resp_2.started,PID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.003661799997644266,0.008784199999354314,0.008784199999354314,231.36050899999827,space,231.34126880000258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2405,2025-06-18_18h53.06.633,part0,2024.2.4,59.964836619507885,2025-06-18 18h53.28.649059 +0200,
,,,,,,,,,,,,,,,,,,,,,231.36064319999787,231.3751916000001,231.3751916000001,231.3751916000001,240.36010660000102,2,8.965789400001086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,2405,2025-06-18_18h53.06.633,part0,2024.2.4,59.964836619507885,2025-06-18 18h53.28.649059 +0200,
3,4,0,0,0,4,0.9278517000020656,None,0,0,0,2,240.38786189999882,,,,,,,,,,,,,,,,,240.3807940000006,240.38786189999882,240.38786189999882,240.38786189999882,241.32654750000074,4,0.9278517000020656,None,,,,,,,,,,,,,,,,,,,,2405,2025-06-18_18h53.06.633,part0,2024.2.4,59.964836619507885,2025-06-18 18h53.28.649059 +0200,
1,2,1,1,0,2,0.8568860000013956,None,0,1,1,0,241.33986309999818,,,,,,,,,,,,,,,,,241.33007999999973,241.33986309999818,241.33986309999818,241.33986309999818,242.20978990000003,2,0.8568860000013956,None,,,,,,,,,,,,,,,,,,,,2405,2025-06-18_18h53.06.633,part0,2024.2.4,59.964836619507885,2025-06-18 18h53.28.649059 +0200,
2,3,2,2,0,3,0.4173024000010628,None,0,2,2,1,242.22483980000106,,,,,,,,,,,,,,,,,242.2132120999995,242.22483980000106,242.22483980000106,242.22483980000106,242.66002630000003,3,0.4173024000010628,None,,,,,,,,,,,,,,,,,,,,2405,2025-06-18_18h53.06.633,part0,2024.2.4,59.964836619507885,2025-06-18 18h53.28.649059 +0200,
4,5,3,3,0,5,0.4144013000004634,None,0,3,3,3,242.67481059999773,,,,,,,,,,,,,,,,,242.66345069999807,242.67481059999773,242.67481059999773,242.67481059999773,243.09164579999924,5,0.4144013000004634,None,,,,,,,,,,,,,,,,,,,,2405,2025-06-18_18h53.06.633,part0,2024.2.4,59.964836619507885,2025-06-18 18h53.28.649059 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.0919126000008,243.10846319999837,243.10846319999837,250.3409881999978,4,7.220452099998511,None,,,,,,,,,,,,,2405,2025-06-18_18h53.06.633,part0,2024.2.4,59.964836619507885,2025-06-18 18h53.28.649059 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.60747189999893,250.6121314000011,250.6121314000011,255.35210709999956,255.6243117999984,648.4539490999996,space,397.82603649999874,None,,,,2405,2025-06-18_18h53.06.633,part0,2024.2.4,59.964836619507885,2025-06-18 18h53.28.649059 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.5598677999988,648.5702762000001,648.5702762000001,,,,,,,
