thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
6,0,6,,,,,,space,3.513588200000413,None,None,3,None,0.9789848999998867,0.300112299999455,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,235.45517969999946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anruf,2.3731,235.43989949999923,235.44040389999918,235.44051069999932,235.45517969999946,237.8382933999992,237.82232979999935,237.8257778999996,237.8382933999992,237.8382933999992,237.8382933999992,237.8382933999992,239.83817779999936,239.83817779999936,239.83817779999936,239.83817779999936,239.82259840000006,3,None,0.9789848999998867,0.300112299999455,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
7,0,7,,,,,,space,3.513588200000413,None,None,2,None,1.0989369999997507,0.2293870000003153,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,239.83817779999936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anwalt,5.5338,239.8230825999999,239.82372379999924,239.82382199999938,239.83817779999936,245.37091299999975,245.35570139999982,245.36052449999988,245.37091299999975,245.37091299999975,245.37091299999975,245.37091299999975,247.3709192999995,247.3709192999995,247.3709192999995,247.3709192999995,247.35530239999935,2,None,1.0989369999997507,0.2293870000003153,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
8,0,8,,,,,,space,3.513588200000413,None,None,3,None,0.9836977999993906,0.29399130000001605,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,247.3709192999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skizze,2.5115,247.35573010000007,247.35643639999944,247.35652539999955,247.3709192999995,249.8874610999992,249.8721071,249.87625909999952,249.8874610999992,249.8874610999992,249.8874610999992,249.8874610999992,251.88741739999932,251.88741739999932,251.88741739999932,251.88741739999932,251.87174139999934,3,None,0.9836977999993906,0.29399130000001605,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
9,0,9,,,,,,space,3.513588200000413,None,None,3,None,1.2469756999998935,0.2782500000002983,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,251.88741739999932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brief,5.4182,251.87222649999967,251.87278059999971,251.8728812999998,251.88741739999932,257.32049169999937,257.30487939999966,257.3079466999998,257.32049169999937,257.32049169999937,257.32049169999937,257.32049169999937,259.3204802,259.3204802,259.3204802,259.3204802,259.3048953999996,3,None,1.2469756999998935,0.2782500000002983,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
10,0,10,,,,,,space,3.513588200000413,None,None,2,None,0.953283900000315,0.26687549999951443,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,259.3204802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Professor,4.5325,259.3054048999993,259.3061514000001,259.3062554999997,259.3204802,263.85407289999966,263.8379847999995,263.84328060000007,263.85407289999966,263.85407289999966,263.85407289999966,263.85407289999966,265.8531908999994,265.8531908999994,265.8531908999994,265.8531908999994,265.8379277999993,2,None,0.953283900000315,0.26687549999951443,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
11,0,11,,,,,,space,3.513588200000413,None,None,3,None,1.1202737999992678,0.675605600000381,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,265.8531908999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bücher,3.2643,265.83844169999975,265.83923549999963,265.83934109999973,265.8531908999994,269.11995059999936,269.10436109999955,269.10838650000005,269.11995059999936,269.11995059999936,269.11995059999936,269.11995059999936,271.1197543999997,271.1197543999997,271.1197543999997,271.1197543999997,271.1040104999993,3,None,1.1202737999992678,0.675605600000381,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
12,0,12,,,,,,space,3.513588200000413,None,None,3,None,1.0378804000001765,0.24617249999937485,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,271.1197543999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chips,3.5341,271.1045469999999,271.1050679,271.1051754,271.1197543999997,274.66949769999974,274.65403759999936,274.65785890000006,274.66949769999974,274.66949769999974,274.66949769999974,274.66949769999974,276.66927529999975,276.66927529999975,276.66927529999975,276.66927529999975,276.65366839999933,3,None,1.0378804000001765,0.24617249999937485,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
13,0,13,,,,,,space,3.513588200000413,None,None,3,None,1.2441834000001109,0.24337969999942288,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,276.66927529999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kapitel,2.248,276.65420619999986,276.6548251999993,276.65494059999946,276.66927529999975,278.9189990999994,278.90387219999957,278.9086230999992,278.9189990999994,278.9189990999994,278.9189990999994,278.9189990999994,280.9188856999999,280.9188856999999,280.9188856999999,280.9188856999999,280.9033872,3,None,1.2441834000001109,0.24337969999942288,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
14,0,14,,,,,,space,3.513588200000413,None,None,3,None,1.395745299999362,0.298217300000033,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,280.9188856999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rauch,3.4102,280.90381459999935,280.90429349999977,280.9043836999999,280.9188856999999,284.33538189999945,284.3197470999994,284.32305689999976,284.33538189999945,284.33538189999945,284.33538189999945,284.33538189999945,286.3355216,286.3355216,286.3355216,286.3355216,286.31996249999975,3,None,1.395745299999362,0.298217300000033,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
15,0,15,,,,,,space,3.513588200000413,None,None,2,None,1.1474324999999226,0.24999360000037996,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,286.3355216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spion,2.8567,286.3204692999998,286.32107709999946,286.32118249999985,286.3355216,289.20166999999947,289.1862607999992,289.1898541999999,289.20166999999947,289.20166999999947,289.20166999999947,289.20166999999947,291.2018002999994,291.2018002999994,291.2018002999994,291.2018002999994,291.186369,2,None,1.1474324999999226,0.24999360000037996,,,,,,,,,,,,,,,,,,1269,1,2025-09-20_11h21.11.455,sm,2024.2.4,59.96253540771553,2025-09-20 11h21.25.241563 +0200,
