this_button,correct_button,thisN,thisTrialN,thisRepN,button_practice_key.keys,button_practice_key.rt,button_practice_key.duration,button_practice_loop.thisRepN,button_practice_loop.thisTrialN,button_practice_loop.thisN,button_practice_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,hand_intro.started,hand_image.started,hand_intro_key.started,hand_intro_text.started,hand_intro.stopped,hand_intro_key.keys,hand_intro_key.rt,hand_intro_key.duration,button_practice.started,instruction.started,button_text.started,button_practice_key.started,button_practice.stopped,button_practice_loop.button_practice_key.keys,button_practice_loop.button_practice_key.rt,button_practice_loop.button_practice_key.duration,select_video.started,select_video_text.started,select_video_keys.started,select_video.stopped,select_video_keys.keys,select_video_keys.rt,select_video_keys.duration,play_video.started,video_text.started,end_video.started,movie.started,video_text.stopped,movie.stopped,play_video.stopped,end_video.keys,end_video.rt,end_video.duration,end.started,end_text.started,key_resp_2.started,PID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.0040713000000778266,0.011145400000032168,0.011145400000032168,1901.3747796000002,space,1901.2246701,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9210,2025-07-05_11h58.33.215,part0,2024.2.4,59.95286505746496,2025-07-05 11h58.47.943885 +0200,
,,,,,,,,,,,,,,,,,,,,,1901.3748946,1901.3853218,1901.3853218,1901.3853218,1913.2558634000002,2,11.866081399999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9210,2025-07-05_11h58.33.215,part0,2024.2.4,59.95286505746496,2025-07-05 11h58.47.943885 +0200,
1,2,0,0,0,2,0.9207076000002417,None,0,0,0,0,1913.2868379000001,,,,,,,,,,,,,,,,,1913.2782401,1913.2868379000001,1913.2868379000001,1913.2868379000001,1914.2220513000002,2,0.9207076000002417,None,,,,,,,,,,,,,,,,,,,,,9210,2025-07-05_11h58.33.215,part0,2024.2.4,59.95286505746496,2025-07-05 11h58.47.943885 +0200,
2,3,1,1,0,3,0.5772424000001593,None,0,1,1,1,1914.2370855,,,,,,,,,,,,,,,,,1914.2258139,1914.2370855,1914.2370855,1914.2370855,1914.8224057000002,3,0.5772424000001593,None,,,,,,,,,,,,,,,,,,,,,9210,2025-07-05_11h58.33.215,part0,2024.2.4,59.95286505746496,2025-07-05 11h58.47.943885 +0200,
4,5,2,2,0,5,0.7320279999999002,None,0,2,2,3,1914.8368609,,,,,,,,,,,,,,,,,1914.8260307,1914.8368609,1914.8368609,1914.8368609,1915.5717326,5,0.7320279999999002,None,,,,,,,,,,,,,,,,,,,,,9210,2025-07-05_11h58.33.215,part0,2024.2.4,59.95286505746496,2025-07-05 11h58.47.943885 +0200,
3,4,3,3,0,4,0.469524999999976,None,0,3,3,2,1915.5867475999999,,,,,,,,,,,,,,,,,1915.5749816000002,1915.5867475999999,1915.5867475999999,1915.5867475999999,1916.071774,4,0.469524999999976,None,,,,,,,,,,,,,,,,,,,,,9210,2025-07-05_11h58.33.215,part0,2024.2.4,59.95286505746496,2025-07-05 11h58.47.943885 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916.0720259,1916.0867835,1916.0867835,1939.9872322,3,23.898037100000238,None,,,,,,,,,,,,,,9210,2025-07-05_11h58.33.215,part0,2024.2.4,59.95286505746496,2025-07-05 11h58.47.943885 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940.2602157000001,1940.2663981,1940.2663981,1945.0344696000002,1945.2682863999999,2545.2661708,2545.1216476,space,604.7943896000002,None,,,,9210,2025-07-05_11h58.33.215,part0,2024.2.4,59.95286505746496,2025-07-05 11h58.47.943885 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2545.2546106,2545.2661708,2545.2661708,,,,,,,
