thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,fm_key.keys,fm_key.rt,fm_key.duration,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
6,0,6,,,,,,space,1.9258371000005354,None,None,3,None,0.9560423000002629,0.20858620000035444,0,0,0,0,,,,,0,0,0,0,,,,,,,,6,0,6,0,187.0602501000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tube,2.4045,187.04535040000064,187.04586410000047,187.04597250000006,187.0602501000003,189.4769021000002,189.4610315,189.4640345000007,189.4769021000002,189.4769021000002,189.4769021000002,189.4769021000002,191.46132639999996,3,None,191.47695230000045,191.47695230000045,191.47695230000045,191.47695230000045,0.9560423000002629,0.20858620000035444,,,,,,,,,,,,,,,,,,6113,1,2025-10-17_12h29.34.696,sm,2024.2.4,59.95078040919703,2025-10-17 12h29.43.791669 +0200,
7,0,7,,,,,,space,1.9258371000005354,None,None,3,None,0.715999400000328,0.1795142000000851,0,0,0,0,,,,,0,0,0,0,,,,,,,,7,0,7,0,191.47695230000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schreibtisch,2.7971,191.46182580000004,191.46232920000057,191.4624375000003,191.47695230000045,194.27641760000006,194.26095570000052,194.2654934000002,194.27641760000006,194.27641760000006,194.27641760000006,194.27641760000006,196.26099700000032,3,None,196.27657240000008,196.27657240000008,196.27657240000008,196.27657240000008,0.715999400000328,0.1795142000000851,,,,,,,,,,,,,,,,,,6113,1,2025-10-17_12h29.34.696,sm,2024.2.4,59.95078040919703,2025-10-17 12h29.43.791669 +0200,
8,0,8,,,,,,space,1.9258371000005354,None,None,3,None,0.6670203999992736,0.15951430000041,0,0,0,0,,,,,0,0,0,0,,,,,,,,8,0,8,0,196.27657240000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nummer,2.0888,196.26150400000006,196.2620325000007,196.26214040000013,196.27657240000008,198.37631820000024,198.36063570000078,198.3654219,198.37631820000024,198.37631820000024,198.37631820000024,198.37631820000024,200.36054700000022,3,None,200.37641630000053,200.37641630000053,200.37641630000053,200.37641630000053,0.6670203999992736,0.15951430000041,,,,,,,,,,,,,,,,,,6113,1,2025-10-17_12h29.34.696,sm,2024.2.4,59.95078040919703,2025-10-17 12h29.43.791669 +0200,
9,0,9,,,,,,space,1.9258371000005354,None,None,2,None,1.0248228000000381,0.19605440000032104,0,0,0,0,,,,,0,0,0,0,,,,,,,,9,0,9,0,200.37641630000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anwalt,3.8382,200.36104760000035,200.3615604000006,200.36166709999998,200.37641630000053,204.22606480000013,204.21070390000023,204.21477950000008,204.22606480000013,204.22606480000013,204.22606480000013,204.22606480000013,206.21069979999993,2,None,206.22609980000016,206.22609980000016,206.22609980000016,206.22609980000016,1.0248228000000381,0.19605440000032104,,,,,,,,,,,,,,,,,,6113,1,2025-10-17_12h29.34.696,sm,2024.2.4,59.95078040919703,2025-10-17 12h29.43.791669 +0200,
10,0,10,,,,,,space,1.9258371000005354,None,None,2,None,0.9988769000001412,0.1654817999997249,0,0,0,0,,,,,0,0,0,0,,,,,,,,10,0,10,0,206.22609980000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fliegen,4.0479,206.21120020000035,206.2117261000003,206.21183330000076,206.22609980000016,210.27529630000026,210.2599192000007,210.26333610000074,210.27529630000026,210.27529630000026,210.27529630000026,210.27529630000026,212.26013370000055,2,None,212.27555699999994,212.27555699999994,212.27555699999994,212.27555699999994,0.9988769000001412,0.1654817999997249,,,,,,,,,,,,,,,,,,6113,1,2025-10-17_12h29.34.696,sm,2024.2.4,59.95078040919703,2025-10-17 12h29.43.791669 +0200,
11,0,11,,,,,,space,1.9258371000005354,None,None,3,None,0.7300633999993806,0.19689390000075946,0,0,0,0,,,,,0,0,0,0,,,,,,,,11,0,11,0,212.27555699999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spaghetti,2.6073,212.26063740000063,212.26114230000076,212.26125480000064,212.27555699999994,214.89189570000053,214.87634740000067,214.87991640000018,214.89189570000053,214.89189570000053,214.89189570000053,214.89189570000053,216.8766110000006,3,None,216.89192830000047,216.89192830000047,216.89192830000047,216.89192830000047,0.7300633999993806,0.19689390000075946,,,,,,,,,,,,,,,,,,6113,1,2025-10-17_12h29.34.696,sm,2024.2.4,59.95078040919703,2025-10-17 12h29.43.791669 +0200,
12,0,12,,,,,,space,1.9258371000005354,None,None,3,None,1.2883905000007871,0.17128599999978178,0,0,0,0,,,,,0,0,0,0,,,,,,,,12,0,12,0,216.89192830000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netz,2.1453,216.87712850000025,216.87764050000078,216.87774770000033,216.89192830000047,219.0418920000002,219.0261655000004,219.02971380000054,219.0418920000002,219.0418920000002,219.0418920000002,219.0418920000002,221.02614690000064,3,None,221.04160180000054,221.04160180000054,221.04160180000054,221.04160180000054,1.2883905000007871,0.17128599999978178,,,,,,,,,,,,,,,,,,6113,1,2025-10-17_12h29.34.696,sm,2024.2.4,59.95078040919703,2025-10-17 12h29.43.791669 +0200,
13,0,13,,,,,,space,1.9258371000005354,None,None,2,None,0.6634317999996711,0.18744799999967654,0,0,0,0,,,,,0,0,0,0,,,,,,,,13,0,13,0,221.04160180000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Känguru,2.8034,221.02664330000061,221.02716349999992,221.0272743000005,221.04160180000054,223.8580348000005,223.84230710000065,223.84820209999998,223.8580348000005,223.8580348000005,223.8580348000005,223.8580348000005,225.8425283000006,2,None,225.8582292000001,225.8582292000001,225.8582292000001,225.8582292000001,0.6634317999996711,0.18744799999967654,,,,,,,,,,,,,,,,,,6113,1,2025-10-17_12h29.34.696,sm,2024.2.4,59.95078040919703,2025-10-17 12h29.43.791669 +0200,
14,0,14,,,,,,space,1.9258371000005354,None,None,2,None,1.33022660000006,0.1532852999998795,0,0,0,0,,,,,0,0,0,0,,,,,,,,14,0,14,0,225.8582292000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schule,2.6809,225.84303590000036,225.8435352000006,225.84364150000056,225.8582292000001,228.54125360000035,228.5252870000004,228.52916340000047,228.54125360000035,228.54125360000035,228.54125360000035,228.54125360000035,230.5256698000003,2,None,230.54107120000026,230.54107120000026,230.54107120000026,230.54107120000026,1.33022660000006,0.1532852999998795,,,,,,,,,,,,,,,,,,6113,1,2025-10-17_12h29.34.696,sm,2024.2.4,59.95078040919703,2025-10-17 12h29.43.791669 +0200,
15,0,15,,,,,,space,1.9258371000005354,None,None,2,None,0.7522184000008565,0.17237909999948897,0,0,0,0,,,,,0,0,0,0,,,,,,,,15,0,15,0,230.54107120000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kunde,2.1316,230.52616930000022,230.52668080000058,230.52678760000072,230.54107120000026,232.67432840000038,232.65896150000026,232.66311190000033,232.67432840000038,232.67432840000038,232.67432840000038,232.67432840000038,234.6587371000005,2,None,234.67429640000046,234.67429640000046,234.67429640000046,234.67429640000046,0.7522184000008565,0.17237909999948897,,,,,,,,,,,,,,,,,,6113,1,2025-10-17_12h29.34.696,sm,2024.2.4,59.95078040919703,2025-10-17 12h29.43.791669 +0200,
