thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0037741000014648307,0.008956400000897702,0.008956400000897702,9.445555700000114,space,9.427268299999923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172,1,2025-06-23_16h27.15.471,sm,2024.2.4,59.94959438107896,2025-06-23 16h27.25.882717 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.44568050000089,9.455653400000301,9.455653400000301,104.91590470000119,space,95.4526537999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172,1,2025-06-23_16h27.15.471,sm,2024.2.4,59.94959438107896,2025-06-23 16h27.25.882717 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.91603120000036,104.93040660000042,104.93040660000042,109.16549160000068,2,4.233434899999338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172,1,2025-06-23_16h27.15.471,sm,2024.2.4,59.94959438107896,2025-06-23 16h27.25.882717 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.16561180000099,109.18033760000071,109.18033760000071,116.73389610000049,2,7.544882000000143,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172,1,2025-06-23_16h27.15.471,sm,2024.2.4,59.94959438107896,2025-06-23 16h27.25.882717 +0200,
0,0,0,Ziege,Bart,Käse,Schaf,4.4253,space,2.709397300001001,None,None,None,None,,,0,0,0,0,0,79,79,19,0,0,0,0,0,79,79,37,0,0,0,0,177.16158480000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.73481080000056,116.73565790000066,116.80976620000001,116.81002910000097,116.8145241000002,116.81480460000057,116.84521070000119,116.84539940000104,116.85195170000043,116.85585800000081,116.85585800000081,119.56698140000117,space,2.709397300001001,None,119.56713590000072,119.58141590000014,119.58141590000014,165.13061300000118,None,165.1389151000003,165.1475057000007,165.1459924666672,166.35534630000075,175.14505626666713,176.155459900001,177.14490730000034,Nachricht,4.4253,177.14620020000075,177.14693270000134,177.15000529999998,177.16158480000013,181.59431030000087,181.57911820000118,181.5837775,181.59431030000087,181.59431030000087,181.59431030000087,181.59431030000087,183.5945294000012,183.5945294000012,183.5945294000012,183.5945294000012,183.57898080000086,None,None,,,,,,,,,,,,,,,,,,,,,,,,2172,1,2025-06-23_16h27.15.471,sm,2024.2.4,59.94959438107896,2025-06-23 16h27.25.882717 +0200,
1,0,1,,,,,,space,2.709397300001001,None,None,2,None,0.9095927999987907,0.22039680000125372,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,183.5945294000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent,3.6156,183.57943870000054,183.57993429999988,183.58003840000129,183.5945294000012,187.21072820000154,187.1949607000006,187.1985306000006,187.21072820000154,187.21072820000154,187.21072820000154,187.21072820000154,189.2106899999999,189.2106899999999,189.2106899999999,189.2106899999999,189.19521429999986,2,None,0.9095927999987907,0.22039680000125372,,,,,,,,,,,,,,,,,,,,,,2172,1,2025-06-23_16h27.15.471,sm,2024.2.4,59.94959438107896,2025-06-23 16h27.25.882717 +0200,
2,0,2,,,,,,space,2.709397300001001,None,None,2,None,1.1101844000004348,0.22837129999970784,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,189.2106899999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anhänger,3.3883,189.19569300000148,189.1961910000009,189.1962949000008,189.2106899999999,192.61140150000028,192.59489070000018,192.59975420000046,192.61140150000028,192.61140150000028,192.61140150000028,192.61140150000028,194.61052449999988,194.61052449999988,194.61052449999988,194.61052449999988,194.595016700001,2,None,1.1101844000004348,0.22837129999970784,,,,,,,,,,,,,,,,,,,,,,2172,1,2025-06-23_16h27.15.471,sm,2024.2.4,59.94959438107896,2025-06-23 16h27.25.882717 +0200,
3,0,3,,,,,,space,2.709397300001001,None,None,3,None,1.2150559000001522,0.23931660000016564,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,194.61052449999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vampir,2.0718,194.59552860000076,194.59611890000087,194.59622889999991,194.61052449999988,196.69390050000038,196.67826390000118,196.68246160000126,196.69390050000038,196.69390050000038,196.69390050000038,196.69390050000038,198.69368080000095,198.69368080000095,198.69368080000095,198.69368080000095,198.67795420000039,3,None,1.2150559000001522,0.23931660000016564,,,,,,,,,,,,,,,,,,,,,,2172,1,2025-06-23_16h27.15.471,sm,2024.2.4,59.94959438107896,2025-06-23 16h27.25.882717 +0200,
4,0,4,,,,,,space,2.709397300001001,None,None,3,None,0.8127617000009195,0.2411852999994153,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,198.69368080000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tal,2.4476,198.67846230000032,198.67897500000072,198.6790785000012,198.69368080000095,201.14347439999983,201.12833769999997,201.13228000000163,201.14347439999983,201.14347439999983,201.14347439999983,201.14347439999983,203.14332470000045,203.14332470000045,203.14332470000045,203.14332470000045,203.12785240000085,3,None,0.8127617000009195,0.2411852999994153,,,,,,,,,,,,,,,,,,,,,,2172,1,2025-06-23_16h27.15.471,sm,2024.2.4,59.94959438107896,2025-06-23 16h27.25.882717 +0200,
5,0,5,,,,,,space,2.709397300001001,None,None,3,None,0.648292500000025,0.2336955000009766,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,203.14332470000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tasche,2.1079,203.12835890000133,203.12886160000016,203.12896929999988,203.14332470000045,205.25980700000036,205.24414960000104,205.2474861999999,205.25980700000036,205.25980700000036,205.25980700000036,205.25980700000036,207.25967889999993,207.25967889999993,207.25967889999993,207.25967889999993,207.24415930000032,3,None,0.648292500000025,0.2336955000009766,,,,,,,,,,,,,,,,,,,,,,2172,1,2025-06-23_16h27.15.471,sm,2024.2.4,59.94959438107896,2025-06-23 16h27.25.882717 +0200,
