thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00427049999962037,0.013602600000012899,0.013602600000012899,110.71570200000042,space,110.68801209999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8452,1,2025-06-20_12h01.46.987,sm,2024.2.4,59.97782020219568,2025-06-20 12h01.58.469366 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.71583829999963,110.72503620000043,110.72503620000043,231.46876580000026,space,120.72849380000025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8452,1,2025-06-20_12h01.46.987,sm,2024.2.4,59.97782020219568,2025-06-20 12h01.58.469366 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.4688960000003,231.48354459999973,231.48354459999973,237.76847410000028,2,6.2665131000003385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8452,1,2025-06-20_12h01.46.987,sm,2024.2.4,59.97782020219568,2025-06-20 12h01.58.469366 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.76859140000033,237.78348920000008,237.78348920000008,246.96808799999963,2,9.182922299999518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8452,1,2025-06-20_12h01.46.987,sm,2024.2.4,59.97782020219568,2025-06-20 12h01.58.469366 +0200,
0,0,0,Schulter,Schmerz,Arm,Weinen,2.3955,space,6.356830700000501,None,None,None,None,,,0,0,0,0,0,79,79,23,0,0,0,0,0,79,79,69,0,0,0,0,311.9121261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.9690854999999,246.9698982,247.06375529999968,247.06407070000023,247.06926699999985,247.06964340000013,247.1022235999999,247.10242930000004,247.10871899999984,247.1135376000002,247.1135376000002,253.48416240000006,space,6.356830700000501,None,253.4843148,253.49897859999965,253.49897859999965,299.8814097000004,None,299.89076769999974,299.8995283000004,299.89675616666705,301.10393170000043,309.8958018666665,310.90367179999976,311.8961626,Kapitel,2.3955,311.89768300000014,311.89855700000044,311.9021260999998,311.9121261,314.31252419999964,314.2964562999996,314.3030859999999,314.31252419999964,314.31252419999964,314.31252419999964,314.31252419999964,316.3122593999997,316.3122593999997,316.3122593999997,316.3122593999997,316.29665120000027,None,None,,,,,,,,,,,,,,,,,,,,,,,,8452,1,2025-06-20_12h01.46.987,sm,2024.2.4,59.97782020219568,2025-06-20 12h01.58.469366 +0200,
1,0,1,,,,,,space,6.356830700000501,None,None,3,None,1.4240190999998958,0.1920150999994803,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,316.3122593999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nachricht,2.0418,316.2971598000004,316.29793489999975,316.2980736999998,316.3122593999997,318.3619607999999,318.3463426999997,318.35091079999984,318.3619607999999,318.3619607999999,318.3619607999999,318.3619607999999,320.36190970000007,320.36190970000007,320.36190970000007,320.36190970000007,320.3464481000001,3,None,1.4240190999998958,0.1920150999994803,,,,,,,,,,,,,,,,,,,,,,8452,1,2025-06-20_12h01.46.987,sm,2024.2.4,59.97782020219568,2025-06-20 12h01.58.469366 +0200,
2,0,2,,,,,,space,6.356830700000501,None,None,2,None,0.9756164000000354,0.2173681000003853,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,320.36190970000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeichnung,2.3771,320.34696470000017,320.3474890999996,320.34760259999985,320.36190970000007,322.7460277,322.72976329999983,322.7375785000004,322.7460277,322.7460277,322.7460277,322.7460277,324.7454361,324.7454361,324.7454361,324.7454361,324.7294437999999,2,None,0.9756164000000354,0.2173681000003853,,,,,,,,,,,,,,,,,,,,,,8452,1,2025-06-20_12h01.46.987,sm,2024.2.4,59.97782020219568,2025-06-20 12h01.58.469366 +0200,
3,0,3,,,,,,space,6.356830700000501,None,None,2,None,0.7599302999997235,0.24528819999977713,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,324.7454361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freund,2.7305,324.72994759999983,324.73049600000013,324.73060540000006,324.7454361,327.47809549999965,327.4622804999999,327.4679070000002,327.47809549999965,327.47809549999965,327.47809549999965,327.47809549999965,329.4785191000001,329.4785191000001,329.4785191000001,329.4785191000001,329.4625272000003,2,None,0.7599302999997235,0.24528819999977713,,,,,,,,,,,,,,,,,,,,,,8452,1,2025-06-20_12h01.46.987,sm,2024.2.4,59.97782020219568,2025-06-20 12h01.58.469366 +0200,
4,0,4,,,,,,space,6.356830700000501,None,None,2,None,1.9248932999998942,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,329.4785191000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moor,5.1086,329.46303439999974,329.4636137999996,329.4637192,329.4785191000001,334.5941358,334.5786185999996,334.5823223999996,334.5941358,334.5941358,334.5941358,334.5941358,336.5942514999997,336.5942514999997,336.5942514999997,336.5942514999997,336.57881329999964,2,None,1.9248932999998942,None,,,,,,,,,,,,,,,,,,,,,,8452,1,2025-06-20_12h01.46.987,sm,2024.2.4,59.97782020219568,2025-06-20 12h01.58.469366 +0200,
5,0,5,,,,,,space,6.356830700000501,None,None,2,None,0.8179345999997167,0.21794510000017908,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,336.5942514999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schule,2.0118,336.57932230000006,336.58004340000025,336.58014879999973,336.5942514999997,338.6107855,338.5951740999999,338.59936219999963,338.6107855,338.6107855,338.6107855,338.6107855,340.61294890000045,340.61294890000045,340.61294890000045,340.61294890000045,340.5953419999996,2,None,0.8179345999997167,0.21794510000017908,,,,,,,,,,,,,,,,,,,,,,8452,1,2025-06-20_12h01.46.987,sm,2024.2.4,59.97782020219568,2025-06-20 12h01.58.469366 +0200,
