thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,begin_end_run_cross.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
6,0,6,,,,,,space,9.332158199998958,None,None,2,1.2428985000005923,0.19883389999995416,None,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,296.9331290000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gelenk,2.9651,296.9181191000007,296.9186339000007,296.9187395000008,296.9331290000009,299.89951960000144,299.883997500001,299.8878741000008,299.89951960000144,299.89951960000144,299.89951960000144,299.89951960000144,301.89973439999994,301.89973439999994,301.89973439999994,301.89973439999994,301.8838398000007,2,1.2428985000005923,0.19883389999995416,None,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
7,0,7,,,,,,space,9.332158199998958,None,None,3,1.2259580999998434,0.34646600000087346,None,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,301.89973439999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netz,2.0338,301.88431649999984,301.8848189,301.8849248000006,301.89973439999994,303.9326798000002,303.91711899999973,303.92064420000133,303.9326798000002,303.9326798000002,303.9326798000002,303.9326798000002,305.93256459999975,305.93256459999975,305.93256459999975,305.93256459999975,305.91728310000144,3,1.2259580999998434,0.34646600000087346,None,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
8,0,8,,,,,,space,9.332158199998958,None,None,2,1.1093983000009757,0.18690309999874444,None,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,305.93256459999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zwerg,2.5462,305.9177872,305.91837300000043,305.9184786000005,305.93256459999975,308.48195810000107,308.4685023000002,308.4724532,308.48195810000107,308.48195810000107,308.48195810000107,308.48195810000107,310.4829243000004,310.4829243000004,310.4829243000004,310.4829243000004,310.46717720000015,2,1.1093983000009757,0.18690309999874444,None,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
9,0,9,,,,,,space,9.332158199998958,None,None,3,1.2302943000013329,0.23287529999834078,None,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,310.4829243000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tasche,2.1702,310.4676964999999,310.4682102000006,310.46831829999974,310.4829243000004,312.6662300000007,312.65008600000147,312.65429920000133,312.6662300000007,312.6662300000007,312.6662300000007,312.6662300000007,314.6655288000002,314.6655288000002,314.6655288000002,314.6655288000002,314.649613900001,3,1.2302943000013329,0.23287529999834078,None,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
10,0,10,,,,,,space,9.332158199998958,None,None,3,0.8692484000002878,0.24383470000066154,None,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,314.6655288000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weihnachten,2.712,314.6500973000002,314.6505966000004,314.6506958000009,314.6655288000002,317.3819418000003,317.3662156999999,317.3704088000013,317.3819418000003,317.3819418000003,317.3819418000003,317.3819418000003,319.3820262999998,319.3820262999998,319.3820262999998,319.3820262999998,319.3663391000009,3,0.8692484000002878,0.24383470000066154,None,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
11,0,11,,,,,,space,9.332158199998958,None,None,2,0.920598599999721,0.20092440000007628,None,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,319.3820262999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ziege,2.5997,319.36685410000064,319.3674418999999,319.36754870000004,319.3820262999998,321.9815120000003,321.9658092999998,321.96914880000077,321.9815120000003,321.9815120000003,321.9815120000003,321.9815120000003,323.98207710000133,323.98207710000133,323.98207710000133,323.98207710000133,323.96577700000125,2,0.920598599999721,0.20092440000007628,None,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
12,0,12,,,,,,space,9.332158199998958,None,None,3,0.9656195000006846,0.2432610999985627,None,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,323.98207710000133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urlaub,4.5296,323.96628539999983,323.96693589999995,323.96704169999975,323.98207710000133,328.51458210000055,328.4990790000011,328.50502750000123,328.51458210000055,328.51458210000055,328.51458210000055,328.51458210000055,330.5145487000009,330.5145487000009,330.5145487000009,330.5145487000009,330.4989258000005,3,0.9656195000006846,0.2432610999985627,None,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
13,0,13,,,,,,space,9.332158199998958,None,None,3,1.1001152000008005,0.2293283999988489,None,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,330.5145487000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kante,2.416,330.4994303000003,330.5000906000005,330.50019710000015,330.5145487000009,332.93077620000076,332.9152446999997,332.9209609999998,332.93077620000076,332.93077620000076,332.93077620000076,332.93077620000076,334.9310064000001,334.9310064000001,334.9310064000001,334.9310064000001,334.9159311000003,3,1.1001152000008005,0.2293283999988489,None,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
14,0,14,,,,,,space,9.332158199998958,None,None,3,1.4480421999996906,0.22192329999961657,None,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,334.9310064000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kino,2.0293,334.9164371000006,334.9170850999999,334.9171896000007,334.9310064000001,336.96417290000136,336.9482731999997,336.9523543000014,336.96417290000136,336.96417290000136,336.96417290000136,336.96417290000136,338.96410060000017,338.96410060000017,338.96410060000017,338.96410060000017,338.94855930000085,3,1.4480421999996906,0.22192329999961657,None,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
15,0,15,,,,,,space,9.332158199998958,None,None,3,1.0064168000008067,0.2317483999995602,None,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,338.96410060000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geburtstag,4.1527,338.94907930000045,338.9496135999998,338.9497191999999,338.96410060000017,343.1303359000012,343.1147464000005,343.1184494000008,343.1303359000012,343.1303359000012,343.1303359000012,343.1303359000012,345.13042140000107,345.13042140000107,345.13042140000107,345.13042140000107,345.1148728999997,3,1.0064168000008067,0.2317483999995602,None,,,,,,,,,,,,,,,,,,,,6532,1,2025-07-29_16h28.40.266,sm,2024.2.4,59.98220927655392,2025-07-29 16h29.02.192553 +0200,
