guess_condition,thisN,thisTrialN,thisRepN,iti,cue,target,end_guess.keys,guess_reached.keys,end_encoding.keys,task_break_resp.keys,scanner_ready_press.keys,skip_trigger.keys,end_cued_recall.keys,recall_reached.keys,recall_reached.rt,recall_reached.duration,recall_selection.keys,end_feedback.keys,recall_selection.rt,recall_selection.duration,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,iti_learning.thisRepN,iti_learning.thisTrialN,iti_learning.thisN,iti_learning.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,recall_practice.thisRepN,recall_practice.thisTrialN,recall_practice.thisN,recall_practice.thisIndex,iti_recall.thisRepN,iti_recall.thisTrialN,iti_recall.thisN,iti_recall.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome.stopped,load_guess_conditions.started,load_guess_conditions.stopped,load_iti.started,load_iti.stopped,instructions1.started,instructions1_text.started,instruction1_key.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2_text.started,instruction2_key.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3_text.started,instruction3_key.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4_text.started,instruction4_key.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,instructions5.started,instructions5_text.started,instruction5_key.started,instructions5.stopped,instruction5_key.keys,instruction5_key.rt,instruction5_key.duration,iti_learning_practice.started,iti_practice_blank.started,iti_practice_blank.stopped,iti_learning_practice.stopped,guess.started,guess.stopped,practice_trials.end_guess.keys,guess_response.started,guess_response.stopped,practice_trials.guess_reached.keys,feedback_guess.started,no_response_feedback.started,no_response_feedback.stopped,feedback_guess.stopped,guess_delay.started,guess_delay.stopped,trial_type,encode.started,dash_stim_learning.started,cue_stim_learning.started,target_stim.started,end_encoding.started,encode.stopped,practice_trials.end_encoding.keys,dash_stim_guessing.started,cue_stim_guessing.started,guess_stim.started,end_guess.started,dash_stim_guessing.stopped,cue_stim_guessing.stopped,guess_stim.stopped,end_guess.stopped,dash_stim_guessing_resp.started,cue_stim_guessing_resp.started,guess_stim_resp.started,guess_question.started,guess_reached.started,dash_stim_guessing_resp.stopped,cue_stim_guessing_resp.stopped,guess_stim_resp.stopped,guess_question.stopped,guess_reached.stopped,guess_delay_cross.started,guess_delay_cross.stopped,dash_stim_learning.stopped,cue_stim_learning.stopped,target_stim.stopped,end_encoding.stopped,start_task.started,start_task_text.started,start_key.started,start_task.stopped,start_key.keys,start_key.rt,start_key.duration,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,scanner_ready_press.rt,scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,skip_trigger.rt,skip_trigger.duration,begin_run.started,begin_run_cross.started,begin_run.stopped,setup_learning_trial.started,setup_learning_trial.stopped,learning_trials.end_guess.keys,learning_trials.guess_reached.keys,learning_trials.end_encoding.keys,iti_task.started,iti_cross.started,iti_cross.stopped,iti_task.stopped,task_break.started,task_break.stopped,learning_trials.task_break_resp.keys,learning_trials.scanner_ready_press.keys,learning_trials.skip_trigger.keys,end_part1.started,end_part1_key.started,end_part1_text.started,end_part1.stopped,end_part1_key.keys,end_part1_key.rt,end_part1_key.duration,instructions_recall1.started,recall_instructions1_text.started,recall_instructions1_key.started,instructions_recall1.stopped,recall_instructions1_key.keys,recall_instructions1_key.rt,recall_instructions1_key.duration,instructions_recall2.started,recall_instructions1_text_2.started,recall_instructions1_key_2.started,instructions_recall2.stopped,recall_instructions1_key_2.keys,recall_instructions1_key_2.rt,recall_instructions1_key_2.duration,iti_recall_practice.started,iti_recall_practice_cross.started,iti_recall_practice_cross.stopped,iti_recall_practice.stopped,cued_recall.started,cue_stim_recall.started,dash_stim_recall.started,qmark_target.started,end_cued_recall.started,cue_stim_recall.stopped,dash_stim_recall.stopped,qmark_target.stopped,end_cued_recall.stopped,cued_recall.stopped,recall_practice.end_cued_recall.keys,recall_response.started,dash_stim_recall_resp.started,cue_stim_recall_resp.started,recall_stim_resp.started,recall_question.started,recall_reached.started,dash_stim_recall_resp.stopped,cue_stim_recall_resp.stopped,recall_stim_resp.stopped,recall_question.stopped,recall_reached.stopped,recall_response.stopped,recall_practice.recall_reached.keys,recall_practice.recall_reached.rt,recall_practice.recall_reached.duration,recall_select.started,recall_select.stopped,recall_practice.recall_selection.keys,recall_feedback.started,dash_stim_feedback.started,cue_stim_feedback.started,target_stim_feedback.started,end_feedback.started,recall_feedback1.started,recall_feedback2.started,recall_feedback.stopped,recall_practice.end_feedback.keys,dash_stim_feedback.stopped,cue_stim_feedback.stopped,target_stim_feedback.stopped,end_feedback.stopped,recall_feedback1.stopped,recall_feedback2.stopped,dash_stim_recall_select.started,cue_stim_recall_select.started,recall_stim_select.started,recall_question_select.started,recall_selection.started,dash_stim_recall_select.stopped,cue_stim_recall_select.stopped,recall_stim_select.stopped,recall_question_select.stopped,recall_selection.stopped,recall_practice.recall_selection.rt,recall_practice.recall_selection.duration,begin_run_cross.stopped,setup_recall_trial.started,setup_recall_trial.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.175710699986666,59.19098059996031,59.19098059996031,61.9925167998299,1,2.7965712998993695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,,,,,,,,,,,space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.992549899965525,62.007204100023955,62.007204100023955,63.70881529990584,1.701046200003475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.708846299909055,63.72401440003887,63.72401440003887,65.55822649993934,1.8235737001523376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55825520004146,65.57378119998612,74.55861689988524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,0,0,0,,Chips,Salz,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,74.57382329995744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.56704049999826,74.56706149992533,,74.56778269982897,74.56780219986103,,,,,,74.56781689985655,74.56782589992508,Read,74.56905789999291,74.57382329995744,74.57382329995744,74.57382329995744,74.57382329995744,77.56129909981973,,,,,,,,,,,,,,,,,,,,,,77.57426050002687,77.57426050002687,77.57426050002687,77.57426050002687,,,,,,,,82.05848370003514,,,82.05849369987845,,,82.05850569996983,,,82.05851490003988,,,,,,74.56592609989457,74.56610359996557,None,None,None,77.56137389992364,77.57426050002687,82.07403719983995,82.05842469981872,82.0584480999969,82.05846460000612,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,1,1,0,,Experiment,Versuch,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,82.07403719983995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0596702999901,82.05969040002674,,82.06041309982538,82.06043269997463,,,,,,82.06044769985601,82.06045680004172,Read,82.0617938998621,82.07403719983995,82.07403719983995,82.07403719983995,82.07403719983995,85.05837899981998,,,,,,,,,,,,,,,,,,,,,,85.07354280003347,85.07354280003347,85.07354280003347,85.07354280003347,,,,,,,,91.0608051000163,,,91.06083519989625,,,91.06087129982188,,,91.06089830002747,,,,,,82.05858789989725,82.05868320004083,None,None,None,85.05840569990687,85.07354280003347,91.07390009984374,91.06065459991805,91.06070869998075,91.06075409986079,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,2,2,0,,Definition,Begriff,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,91.07390009984374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.06377999996766,94.0581504998263,,94.0593389000278,95.55803829990327,,,,,,95.55806529987603,98.56139789987355,Guess,98.56443080003373,98.57367599988356,98.57367599988356,98.57367599988356,98.57367599988356,101.56010649981909,,91.07390009984374,91.07390009984374,91.07390009984374,91.07390009984374,94.07346350001171,94.07346350001171,94.07346350001171,94.07346350001171,94.07346350001171,94.07346350001171,94.07346350001171,94.07346350001171,94.07346350001171,95.57389839994721,95.57389839994721,95.57389839994721,95.57389839994721,95.57389839994721,95.57389839994721,98.57367599988356,101.57387720001861,101.57387720001861,101.57387720001861,101.57387720001861,,,,,,,,109.06217069993727,,,109.062200400047,,,109.06223379983567,,,109.0622616999317,,,,,,91.06110749999061,91.06140440003946,None,None,None,101.56015379983,101.57387720001861,109.07362289982848,109.06201649992727,109.0620714998804,109.06211979989894,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,3,3,0,,Akrobatin,Seil,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,109.07362289982848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.06498799985275,109.06502639991231,,109.06634250003844,109.06637809984386,,,,,,109.06640789983794,109.0664232999552,Read,109.06809539999813,109.07362289982848,109.07362289982848,109.07362289982848,109.07362289982848,112.05840649991296,,,,,,,,,,,,,,,,,,,,,,112.07377859996632,112.07377859996632,112.07377859996632,112.07377859996632,,,,,,,,121.06128799985163,,,121.06130900001153,,,121.06133289984427,,,121.06135059986264,,,,,,109.06246529985219,109.06279630004428,None,None,None,112.05843469989486,112.07377859996632,121.07411859999411,121.06116629997268,121.06120849982835,121.06124860001728,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.06143540004268,121.07411859999411,121.07411859999411,136.0112022999674,1,14.92199459997937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.01125649991445,136.02398419985548,136.02398419985548,143.84443059982732,1,7.811412200098857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.84448600001633,143.85757059999742,143.85757059999742,145.2446683999151,1,1.369909399887547,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,0,0,0,,Frühstück,Brot,,,,,,,None,1,1.466929400106892,0.2871465999633074,None,None,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,145.2569446999114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.2497274999041,145.2569446999114,147.25722069991753,147.2451325999573,147.24711230001412,147.25722069991753,147.25722069991753,147.25722069991753,147.25722069991753,150.25697769992985,150.25697769992985,150.25697769992985,150.25697769992985,150.24411249998957,None,150.24577959999442,150.25697769992985,150.25697769992985,150.25697769992985,150.25697769992985,150.25697769992985,152.27356999996118,152.27356999996118,152.27356999996118,152.27356999996118,152.27356999996118,152.2446623998694,1,1.466929400106892,0.2871465999633074,152.25280799996108,152.25285020004958,None,152.25524009997025,152.27356999996118,152.27356999996118,152.27356999996118,152.27356999996118,152.27356999996118,152.27356999996118,155.25959889986552,None,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,1,1,0,,Wand,Fenster,,,,,,,None,1,0.5209717000834644,0.2967328999657184,None,None,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,155.27442309982143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.2598102998454,155.27442309982143,,157.2600511999335,157.26225199992768,157.2742557998281,157.2742557998281,157.2742557998281,157.2742557998281,,,,,160.25985060003586,None,160.2617183998227,160.27398709999397,160.27398709999397,160.27398709999397,160.27398709999397,160.27398709999397,,,,,,162.2597331998404,1,0.5209717000834644,0.2967328999657184,162.26355989999138,162.2635812999215,None,162.2654148999136,162.27373739983886,162.27373739983886,162.27373739983886,162.27373739983886,162.27373739983886,162.27373739983886,165.26067489990965,None,165.27410559984855,165.27410559984855,165.27410559984855,165.27410559984855,165.27410559984855,165.27410559984855,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,2,2,0,,Hund,Pfote,,,,,,,None,2,1.2888338998891413,0.24864600016735494,4,None,2.281661899993196,0.16773279989138246,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,165.27410559984855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.26085560000502,165.27410559984855,167.27384849986993,167.26022269995883,167.2617091999855,167.27384849986993,167.27384849986993,167.27384849986993,167.27384849986993,170.2741266998928,170.2741266998928,170.2741266998928,170.2741266998928,170.26064240001142,None,170.2622237999458,170.2741266998928,170.2741266998928,170.2741266998928,170.2741266998928,170.2741266998928,172.27354989992455,172.27354989992455,172.27354989992455,172.27354989992455,172.27354989992455,172.25967409997247,2,1.2888338998891413,0.24864600016735494,172.26336680003442,175.26109039993025,4,175.264641799964,175.27366709988564,175.27366709988564,175.27366709988564,175.27366709988564,175.27366709988564,175.27366709988564,178.25979419983923,None,178.27416639984585,178.27416639984585,178.27416639984585,178.27416639984585,178.27416639984585,178.27416639984585,172.27354989992455,172.27354989992455,172.27354989992455,172.27354989992455,172.27354989992455,175.27366709988564,175.27366709988564,175.27366709988564,175.27366709988564,175.27366709988564,2.281661899993196,0.16773279989138246,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,3,3,0,,Park,Spielplatz,,,,,,,None,None,,,None,None,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,178.27416639984585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.2599577999208,178.27416639984585,180.2741167000495,180.26149219996296,180.26330560003407,180.2741167000495,180.2741167000495,180.2741167000495,180.2741167000495,,,,,183.2614022998605,None,183.263176899869,183.27400449989364,183.27400449989364,183.27400449989364,183.27400449989364,183.27400449989364,185.2738775999751,185.2738775999751,185.2738775999751,185.2738775999751,185.2738775999751,185.26089329994284,None,,,185.26524350000545,185.26526909996755,None,185.26723179989494,185.2738775999751,185.2738775999751,185.2738775999751,185.2738775999751,185.2738775999751,185.2738775999751,188.25869169994257,None,188.27379909995943,188.27379909995943,188.27379909995943,188.27379909995943,188.27379909995943,188.27379909995943,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,188.27379909995943,,,,,,,188.25889589986764,188.25920880003832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.2592286998406,188.27379909995943,188.27379909995943,230.52606599987485,1,42.24924399983138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,,,,,,,,,,,space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.5261273998767,230.5413034998346,230.5413034998346,242.11029240000062,11.558301999932155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.1103376999963,242.1240876999218,242.1240876999218,242.91122030001134,0.7755410000681877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.9112829999067,242.92462629987858,251.91074139997363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,i,p,2025-04-02_11h39.07.665,guess,2024.2.4,60.08279407717408,2025-04-02 11h39.15.569654 +0200,
,0,0,0,,Shampoo,Seife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.9181099999696,251.91824719985016,,,,,,,,,
