guess_condition,thisN,thisTrialN,thisRepN,iti,cue,target,end_guess.keys,guess_reached.keys,end_encoding.keys,guess_reached.rt,guess_reached.duration,task_break_resp.keys,scanner_ready_press.keys,skip_trigger.keys,end_cued_recall.keys,recall_reached.keys,recall_reached.rt,recall_reached.duration,recall_selection.keys,end_feedback.keys,recall_selection.rt,recall_selection.duration,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,trial_iti.thisRepN,trial_iti.thisTrialN,trial_iti.thisN,trial_iti.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,recall_practice.thisRepN,recall_practice.thisTrialN,recall_practice.thisN,recall_practice.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome.stopped,load_guess_conditions.started,load_guess_conditions.stopped,load_iti.started,load_iti.stopped,instructions1.started,instructions1_text.started,instruction1_key.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2_text.started,instruction2_key.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3_text.started,instruction3_key.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4_text.started,instruction4_key.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration,instructions5.started,instructions5_text.started,instruction5_key.started,instructions5.stopped,instruction5_key.keys,instruction5_key.rt,instruction5_key.duration,iti_learning_practice.started,iti_practice_blank.started,iti_learning_practice.stopped,guess.started,guess.stopped,practice_trials.end_guess.keys,guess_response.started,guess_response.stopped,practice_trials.guess_reached.keys,feedback_guess.started,no_response_feedback.started,no_response_feedback.stopped,feedback_guess.stopped,guess_delay.started,guess_delay.stopped,trial_type,encode.started,dash_stim_learning.started,cue_stim_learning.started,target_stim.started,end_encoding.started,encode.stopped,practice_trials.end_encoding.keys,dash_stim_guessing.started,cue_stim_guessing.started,guess_stim.started,end_guess.started,dash_stim_guessing.stopped,cue_stim_guessing.stopped,guess_stim.stopped,end_guess.stopped,dash_stim_guessing_resp.started,cue_stim_guessing_resp.started,guess_stim_resp.started,guess_question.started,guess_reached.started,dash_stim_guessing_resp.stopped,cue_stim_guessing_resp.stopped,guess_stim_resp.stopped,guess_question.stopped,guess_reached.stopped,practice_trials.guess_reached.rt,practice_trials.guess_reached.duration,guess_delay_cross.started,guess_delay_cross.stopped,start_task.started,start_task_text.started,start_key.started,start_task.stopped,start_key.keys,start_key.rt,start_key.duration,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,scanner_ready_press.rt,scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,skip_trigger.rt,skip_trigger.duration,begin_run.started,begin_run_cross.started,begin_run.stopped,setup_trial.started,setup_trial.stopped,learning_trials.end_guess.keys,learning_trials.guess_reached.keys,learning_trials.end_encoding.keys,iti_learning.started,iti_learning_cross.started,iti_learning_cross.stopped,iti_learning.stopped,task_break.started,task_break.stopped,learning_trials.task_break_resp.keys,learning_trials.scanner_ready_press.keys,learning_trials.skip_trigger.keys,end_part1.started,end_part1_key.started,end_part1_text.started,end_part1.stopped,end_part1_key.keys,end_part1_key.rt,end_part1_key.duration,instructions_recall1.started,recall_instructions1_text.started,recall_instructions1_key.started,instructions_recall1.stopped,recall_instructions1_key.keys,recall_instructions1_key.rt,recall_instructions1_key.duration,instructions_recall2.started,recall_instructions1_text_2.started,recall_instructions1_key_2.started,instructions_recall2.stopped,recall_instructions1_key_2.keys,recall_instructions1_key_2.rt,recall_instructions1_key_2.duration,iti_recall_practice.started,iti_recall_practice_cross.started,iti_recall_practice.stopped,cued_recall.started,cue_stim_recall.started,dash_stim_recall.started,qmark_target.started,end_cued_recall.started,cued_recall.stopped,recall_practice.end_cued_recall.keys,recall_response.started,dash_stim_recall_resp.started,cue_stim_recall_resp.started,recall_stim_resp.started,recall_question.started,recall_reached.started,recall_response.stopped,recall_practice.recall_reached.keys,recall_practice.recall_reached.rt,recall_practice.recall_reached.duration,recall_select.started,recall_select.stopped,recall_practice.recall_selection.keys,recall_feedback.started,dash_stim_feedback.started,cue_stim_feedback.started,target_stim_feedback.started,end_feedback.started,recall_feedback1.started,recall_feedback2.started,recall_feedback.stopped,recall_practice.end_feedback.keys,dash_stim_recall_select.started,cue_stim_recall_select.started,recall_stim_select.started,recall_question_select.started,recall_selection.started,dash_stim_recall_select.stopped,cue_stim_recall_select.stopped,recall_stim_select.stopped,recall_question_select.stopped,recall_selection.stopped,recall_practice.recall_selection.rt,recall_practice.recall_selection.duration,cue_stim_recall.stopped,dash_stim_recall.stopped,qmark_target.stopped,end_cued_recall.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.40477340000507,46.41238789999625,46.41238789999625,50.473047899999074,space,4.055311399992206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,,,,,,,,,,,,,space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.47312100000272,50.47929600000498,50.47929600000498,52.98447130000568,2.503233600000385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.98454760000459,52.99024420000205,52.99024420000205,57.16155170000275,4.161127599989413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.16162510000868,57.16840290000255,66.1618654000049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,0,0,0,,Chips,Salz,None,None,None,,,None,None,None,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,66.20165190000262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.18557270000747,66.18562950000342,,66.18831140000839,66.18840640000417,,,,,,66.18847649999952,66.18852520000655,Read,66.19320130000415,66.20165190000262,66.20165190000262,66.20165190000262,66.20165190000262,69.19491230000858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.19617660000222,,,75.1962152000051,,,75.19625770000857,,,75.19629239999631,,,,,,66.18231750000268,66.18292550000479,None,None,None,69.1949997000047,69.2017971000023,75.21285540000827,75.19598970000516,75.19605240000237,75.19611530000111,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,1,1,0,,Definition,Begriff,None,None,None,,,None,None,None,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,75.21285540000827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.19970670000475,75.19975840000552,,75.2019949000096,75.20205120000173,,,,,,75.20209150000301,75.20211810000183,Read,75.20640399999684,75.21285540000827,75.21285540000827,75.21285540000827,75.21285540000827,78.20555230000173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.70587960000557,,,82.70593910000753,,,82.70598579999933,,,82.70601720000559,,,,,,75.1965962999966,75.19707979999657,None,None,None,78.20562310000241,78.21287909999955,82.7238045999984,82.70570210000733,82.70575500000268,82.70580280000286,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,2,2,0,,Experiment,Versuch,None,None,None,,,None,None,None,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,82.7238045999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.7096801000007,82.70973280000908,,82.71250740000687,82.71256420000282,,,,,,82.71260410000104,82.71264510000765,Read,82.71700590000546,82.7238045999984,82.7238045999984,82.7238045999984,82.7238045999984,85.71627950000402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.21712070000649,,,90.21715009999753,,,90.21718849999888,,,90.21722040000896,,,,,,82.7062991999992,82.70669510000153,None,None,None,85.7163647999987,85.72380750000593,90.2349552000087,90.21696790000715,90.21702310000546,90.2170710000064,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,3,3,0,,Akrobatin,Seil,None,None,None,,,None,None,None,,,,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,90.2349552000087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.22062079999887,90.22068910000962,,90.2232367000106,90.2232948000019,,,,,,90.22333639999852,90.22336350000114,Read,90.22710630000802,90.2349552000087,90.2349552000087,90.2349552000087,90.2349552000087,93.2284018000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2279772000038,,,99.2280124000099,,,99.22805309999967,,,99.228085499999,,,,,,90.21749609999824,90.21789250000438,None,None,None,93.22849470000074,93.23508900000888,99.23497220000718,99.22780039999634,99.2278634999966,99.22792010000558,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.22822750000341,99.23497220000718,99.23497220000718,105.25129110000853,space,6.015043000006699,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.25146090000635,105.2575014000031,105.2575014000031,106.72921020000649,1,1.4602383999881567,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.72928719999618,106.7353773000068,106.7353773000068,109.94007070000225,1,3.194108600000618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608586,1,1,2025-03-24_11h13.43.594,guess,2024.2.4,89.859208585646,2025-03-24 11h13.54.577971 +0100,
