this_button,correct_button,thisN,thisTrialN,thisRepN,button_practice_key.keys,button_practice_key.rt,button_practice_key.duration,button_practice_loop.thisRepN,button_practice_loop.thisTrialN,button_practice_loop.thisN,button_practice_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,hand_intro.started,hand_image.started,hand_intro_key.started,hand_intro_text.started,hand_intro.stopped,hand_intro_key.keys,hand_intro_key.rt,hand_intro_key.duration,button_practice.started,instruction.started,button_text.started,button_practice_key.started,button_practice.stopped,button_practice_loop.button_practice_key.keys,button_practice_loop.button_practice_key.rt,button_practice_loop.button_practice_key.duration,select_video.started,select_video_text.started,select_video_keys.started,select_video.stopped,select_video_keys.keys,select_video_keys.rt,select_video_keys.duration,play_video.started,video_text.started,end_video.started,movie.started,video_text.stopped,play_video.stopped,end_video.keys,end_video.rt,end_video.duration,end.started,end_text.started,key_resp_2.started,PID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.002858600000763545,0.00689799999963725,0.00689799999963725,432.6839928999998,space,432.56142290000025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8823,2025-10-08_18h47.44.296,part0,2024.2.4,60.09142309117297,2025-10-08 18h47.57.647357 +0200,
,,,,,,,,,,,,,,,,,,,,,432.68414699999994,432.6955302999995,432.6955302999995,432.6955302999995,436.98389529999986,2,4.2711650999990525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,8823,2025-10-08_18h47.44.296,part0,2024.2.4,60.09142309117297,2025-10-08 18h47.57.647357 +0200,
3,4,0,0,0,4,1.0311248999987583,None,0,0,0,2,437.01106210000034,,,,,,,,,,,,,,,,,437.00368530000014,437.01106210000034,437.01106210000034,437.01106210000034,438.0502257999997,4,1.0311248999987583,None,,,,,,,,,,,,,,,,,,,,8823,2025-10-08_18h47.44.296,part0,2024.2.4,60.09142309117297,2025-10-08 18h47.57.647357 +0200,
1,2,1,1,0,2,0.6824297999992268,None,0,1,1,0,438.0634535999998,,,,,,,,,,,,,,,,,438.0538073000007,438.0634535999998,438.0634535999998,438.0634535999998,438.7501489999995,2,0.6824297999992268,None,,,,,,,,,,,,,,,,,,,,8823,2025-10-08_18h47.44.296,part0,2024.2.4,60.09142309117297,2025-10-08 18h47.57.647357 +0200,
4,5,2,2,0,5,0.5470258999994257,None,0,2,2,3,438.7633372,,,,,,,,,,,,,,,,,438.7536830000008,438.7633372,438.7633372,438.7633372,439.3153148000001,5,0.5470258999994257,None,,,,,,,,,,,,,,,,,,,,8823,2025-10-08_18h47.44.296,part0,2024.2.4,60.09142309117297,2025-10-08 18h47.57.647357 +0200,
2,3,3,3,0,3,0.6601129000009678,None,0,3,3,1,439.3321164000008,,,,,,,,,,,,,,,,,439.31886699999995,439.3321164000008,439.3321164000008,439.3321164000008,439.9999826000003,3,0.6601129000009678,None,,,,,,,,,,,,,,,,,,,,8823,2025-10-08_18h47.44.296,part0,2024.2.4,60.09142309117297,2025-10-08 18h47.57.647357 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.00022490000083,440.0151253999993,440.0151253999993,446.78122070000063,4,6.762783800000761,None,,,,,,,,,,,,,8823,2025-10-08_18h47.44.296,part0,2024.2.4,60.09142309117297,2025-10-08 18h47.57.647357 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.96820560000015,446.97563190000074,446.97563190000074,451.7858211999992,451.9810785999998,1027.7671169000005,space,580.7774681999999,None,,,,8823,2025-10-08_18h47.44.296,part0,2024.2.4,60.09142309117297,2025-10-08 18h47.57.647357 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027.8793774000005,1027.8907978000007,1027.8907978000007,,,,,,,
