this_button,correct_button,thisN,thisTrialN,thisRepN,button_practice_key.keys,button_practice_key.rt,button_practice_key.duration,button_practice_loop.thisRepN,button_practice_loop.thisTrialN,button_practice_loop.thisN,button_practice_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,hand_intro.started,hand_image.started,hand_intro_key.started,hand_intro_text.started,hand_intro.stopped,hand_intro_key.keys,hand_intro_key.rt,hand_intro_key.duration,button_practice.started,instruction.started,button_text.started,button_practice_key.started,button_practice.stopped,button_practice_loop.button_practice_key.keys,button_practice_loop.button_practice_key.rt,button_practice_loop.button_practice_key.duration,select_video.started,select_video_text.started,select_video_keys.started,select_video.stopped,select_video_keys.keys,select_video_keys.rt,select_video_keys.duration,play_video.started,video_text.started,end_video.started,movie.started,video_text.stopped,play_video.stopped,end_video.keys,end_video.rt,end_video.duration,end.started,end_text.started,key_resp_2.started,PID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.0032357000000047265,0.017883399999846006,0.017883399999846006,749.5588723000001,space,749.5350887000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4660,2025-07-28_17h56.51.830,part0,2024.2.4,60.059663269326094,2025-07-28 17h57.15.668856 +0200,
,,,,,,,,,,,,,,,,,,,,,749.559029,749.5740016,749.5740016,749.5740016,754.4585885000015,2,4.86995829999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,4660,2025-07-28_17h56.51.830,part0,2024.2.4,60.059663269326094,2025-07-28 17h57.15.668856 +0200,
1,2,0,0,0,2,0.9029176999993069,None,0,0,0,0,754.4875076000008,,,,,,,,,,,,,,,,,754.4819590000006,754.4875076000008,754.4875076000008,754.4875076000008,755.3934394000007,2,0.9029176999993069,None,,,,,,,,,,,,,,,,,,,,4660,2025-07-28_17h56.51.830,part0,2024.2.4,60.059663269326094,2025-07-28 17h57.15.668856 +0200,
2,3,1,1,0,3,0.9430522999991808,None,0,1,1,1,755.4067767000015,,,,,,,,,,,,,,,,,755.3970397000012,755.4067767000015,755.4067767000015,755.4067767000015,756.3578461000016,3,0.9430522999991808,None,,,,,,,,,,,,,,,,,,,,4660,2025-07-28_17h56.51.830,part0,2024.2.4,60.059663269326094,2025-07-28 17h57.15.668856 +0200,
3,4,2,2,0,4,0.8577062000003934,None,0,2,2,2,756.3747069000001,,,,,,,,,,,,,,,,,756.360119500001,756.3747069000001,756.3747069000001,756.3747069000001,757.2431233000007,4,0.8577062000003934,None,,,,,,,,,,,,,,,,,,,,4660,2025-07-28_17h56.51.830,part0,2024.2.4,60.059663269326094,2025-07-28 17h57.15.668856 +0200,
4,5,3,3,0,5,1.7667243000014423,None,0,3,3,3,757.2569073000013,,,,,,,,,,,,,,,,,757.2470848000012,757.2569073000013,757.2569073000013,757.2569073000013,759.0262923999999,5,1.7667243000014423,None,,,,,,,,,,,,,,,,,,,,4660,2025-07-28_17h56.51.830,part0,2024.2.4,60.059663269326094,2025-07-28 17h57.15.668856 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.0265076000014,759.041259900001,759.041259900001,764.4078311000012,2,5.357026400000905,None,,,,,,,,,,,,,4660,2025-07-28_17h56.51.830,part0,2024.2.4,60.059663269326094,2025-07-28 17h57.15.668856 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.6046342000009,764.6090595000005,764.6090595000005,769.4570689000011,769.6238940000003,1335.7763077,space,571.1515577999999,None,,,,4660,2025-07-28_17h56.51.830,part0,2024.2.4,60.059663269326094,2025-07-28 17h57.15.668856 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335.9104050000005,1335.9199294999999,1335.9199294999999,,,,,,,
