thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,fm_key.keys,thisRow.t,notes,welcome.started,welcome_text.started,welcome.stopped,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,task_break_text.started,task_break_resp.started,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
6,0,6,,,,,,space,2.646128200000021,None,None,3,None,0.9994237999999314,0.2955885000001217,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,,202.89312040000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trennung,2.6446,202.87850760000038,202.8790796000003,202.8791916,202.89312040000004,205.5429376000002,205.5273001000005,205.53162760000032,205.5429376000002,205.5429376000002,205.5429376000002,205.5429376000002,207.54327310000008,207.54327310000008,207.54327310000008,207.54327310000008,207.52705620000052,3,None,0.9994237999999314,0.2955885000001217,,,,,,,,,,,,,,,,3084,1,2025-05-30_14h00.35.729,sm,2024.2.4,59.93252796016145,2025-05-30 14h00.59.324602 +0200,
7,0,7,,,,,,space,2.646128200000021,None,None,2,None,1.0529460999996445,0.23331619999953546,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,,207.54327310000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kunst,2.8863,207.5274798999999,207.52794450000056,207.52803490000042,207.54327310000008,210.44254929999988,210.42702850000023,210.43298529999993,210.44254929999988,210.44254929999988,210.44254929999988,210.44254929999988,212.44257040000048,212.44257040000048,212.44257040000048,212.44257040000048,212.42701949999991,2,None,1.0529460999996445,0.23331619999953546,,,,,,,,,,,,,,,,3084,1,2025-05-30_14h00.35.729,sm,2024.2.4,59.93252796016145,2025-05-30 14h00.59.324602 +0200,
8,0,8,,,,,,space,2.646128200000021,None,None,3,None,1.2166477000000668,0.26428219999979774,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,,212.44257040000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dip,2.2074,212.4275348000001,212.4280505000006,212.42815960000007,212.44257040000048,214.65891190000002,214.64347940000061,214.6477792000005,214.65891190000002,214.65891190000002,214.65891190000002,214.65891190000002,216.65903479999997,216.65903479999997,216.65903479999997,216.65903479999997,216.6433530000004,3,None,1.2166477000000668,0.26428219999979774,,,,,,,,,,,,,,,,3084,1,2025-05-30_14h00.35.729,sm,2024.2.4,59.93252796016145,2025-05-30 14h00.59.324602 +0200,
9,0,9,,,,,,space,2.646128200000021,None,None,3,None,1.3668268000001262,0.26926580000053946,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,,216.65903479999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,3.6564,216.64388980000058,216.64475350000066,216.6448844000006,216.65903479999997,220.3249246000005,220.31149000000005,220.31474310000067,220.3249246000005,220.3249246000005,220.3249246000005,220.3249246000005,222.32556320000003,222.32556320000003,222.32556320000003,222.32556320000003,222.30987200000072,3,None,1.3668268000001262,0.26926580000053946,,,,,,,,,,,,,,,,3084,1,2025-05-30_14h00.35.729,sm,2024.2.4,59.93252796016145,2025-05-30 14h00.59.324602 +0200,
10,0,10,,,,,,space,2.646128200000021,None,None,2,None,1.3140887999998085,0.23290689999976166,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,,222.32556320000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vampir,2.0589,222.3103759000005,222.31098199999997,222.3110929000004,222.32556320000003,224.3918334,224.3761151000008,224.38031390000015,224.3918334,224.3918334,224.3918334,224.3918334,226.39161349999995,226.39161349999995,226.39161349999995,226.39161349999995,226.3763187000004,2,None,1.3140887999998085,0.23290689999976166,,,,,,,,,,,,,,,,3084,1,2025-05-30_14h00.35.729,sm,2024.2.4,59.93252796016145,2025-05-30 14h00.59.324602 +0200,
11,0,11,,,,,,space,2.646128200000021,None,None,3,None,0.8142286000002059,0.26645189999999275,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,,226.39161349999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bluse,2.3599,226.37683199999992,226.37736060000043,226.3774656000005,226.39161349999995,228.75910680000015,228.7425387000003,228.74651470000026,228.75910680000015,228.75910680000015,228.75910680000015,228.75910680000015,230.7580785,230.7580785,230.7580785,230.7580785,230.74257020000005,3,None,0.8142286000002059,0.26645189999999275,,,,,,,,,,,,,,,,3084,1,2025-05-30_14h00.35.729,sm,2024.2.4,59.93252796016145,2025-05-30 14h00.59.324602 +0200,
12,0,12,,,,,,space,2.646128200000021,None,None,3,None,1.1148775999999998,0.3153937000006408,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,,230.7580785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wanne,2.6312,230.74307040000076,230.74371650000012,230.74383130000024,230.7580785,233.39123240000026,233.37544460000026,233.3787538000006,233.39123240000026,233.39123240000026,233.39123240000026,233.39123240000026,235.39119430000028,235.39119430000028,235.39119430000028,235.39119430000028,235.37559050000073,3,None,1.1148775999999998,0.3153937000006408,,,,,,,,,,,,,,,,3084,1,2025-05-30_14h00.35.729,sm,2024.2.4,59.93252796016145,2025-05-30 14h00.59.324602 +0200,
13,0,13,,,,,,space,2.646128200000021,None,None,3,None,0.979107500000282,0.26466509999954724,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,,235.39119430000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernseher,2.5377,235.3761065000008,235.37663340000017,235.37674270000025,235.39119430000028,237.94104169999991,237.92563370000062,237.92983380000078,237.94104169999991,237.94104169999991,237.94104169999991,237.94104169999991,239.94085020000057,239.94085020000057,239.94085020000057,239.94085020000057,239.92552909999995,3,None,0.979107500000282,0.26466509999954724,,,,,,,,,,,,,,,,3084,1,2025-05-30_14h00.35.729,sm,2024.2.4,59.93252796016145,2025-05-30 14h00.59.324602 +0200,
14,0,14,,,,,,space,2.646128200000021,None,None,2,None,0.9221613999998226,0.2244884000001548,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,,239.94085020000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent,2.3006,239.92603340000005,239.92672690000018,239.92683390000002,239.94085020000057,242.2413847000007,242.22511759999998,242.22875079999994,242.2413847000007,242.2413847000007,242.2413847000007,242.2413847000007,244.2405413000006,244.2405413000006,244.2405413000006,244.2405413000006,244.2250683000002,2,None,0.9221613999998226,0.2244884000001548,,,,,,,,,,,,,,,,3084,1,2025-05-30_14h00.35.729,sm,2024.2.4,59.93252796016145,2025-05-30 14h00.59.324602 +0200,
15,0,15,,,,,,space,2.646128200000021,None,None,None,None,,,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,,244.2405413000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riechen,2.8516,244.22556690000056,244.22608870000022,244.22619680000025,244.2405413000006,247.1070749999999,247.0915672000001,247.09637120000025,247.1070749999999,247.1070749999999,247.1070749999999,247.1070749999999,249.10728110000036,249.10728110000036,249.10728110000036,249.10728110000036,249.09186380000028,None,None,,,,,,,,,,,,,,,,,,3084,1,2025-05-30_14h00.35.729,sm,2024.2.4,59.93252796016145,2025-05-30 14h00.59.324602 +0200,
