thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,begin_end_run_cross.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003741200000149547,0.019893500000762288,0.019893500000762288,15.160513700000593,space,15.124896799999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.160621600000013,15.168865100000403,15.168865100000403,99.56673310000042,space,84.3923651999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.56686710000031,99.5810945000012,99.5810945000012,116.44669550000071,3,16.854924799999935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.44688120000137,116.46174539999993,116.46174539999993,148.47813730000053,3,32.007825599999705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
0,0,0,Rasen,Pflege,Mäher,Gras,2.928,space,2.7430131000000983,None,None,3,1.3523669000005611,0.2793898999989324,None,0,0,0,0,0,79,79,77,0,0,0,0,0,79,79,3,0,0,0,0,209.89092320000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.47900670000126,148.4797161000006,148.54817600000024,148.5484352000003,148.5529778,148.5532512000009,148.58279940000102,148.5829837000001,148.58962480000082,148.59413649999988,148.59413649999988,151.34634460000052,space,2.7430131000000983,None,151.34649650000028,151.36131039999964,151.36131039999964,197.87474440000005,None,197.88309409999965,197.891673600001,197.89020906666727,199.0979552000008,207.87466666666685,208.87685260000035,209.89092320000054,209.87548349999997,Afrika,2.928,209.87686500000018,209.87765440000112,209.88063440000042,209.89092320000054,212.84116580000045,212.80860440000106,212.8131073000004,212.84116580000045,212.84116580000045,212.84116580000045,212.84116580000045,214.8243309999998,3,1.3523669000005611,0.2793898999989324,None,,,,,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
1,0,1,,,,,,space,2.7430131000000983,None,None,None,,,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,214.84080940000058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trauben,5.5187,214.82479240000066,214.825517700001,214.82561370000076,214.84080940000058,220.37380420000045,220.35835770000085,220.36263490000056,220.37380420000045,220.37380420000045,220.37380420000045,220.37380420000045,222.35829060000106,None,,,None,222.37379859999965,222.37379859999965,222.37379859999965,222.37379859999965,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
2,0,2,,,,,,space,2.7430131000000983,None,None,None,,,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,222.37379859999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ziege,5.9447,222.35876740000094,222.35928419999982,222.35939040000085,222.37379859999965,228.3232294999998,228.30761780000103,228.31359510000038,228.3232294999998,228.3232294999998,228.3232294999998,228.3232294999998,230.30832790000022,None,,,None,230.32352569999966,230.32352569999966,230.32352569999966,230.32352569999966,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
3,0,3,,,,,,space,2.7430131000000983,None,None,3,0.8435993000002782,0.26386969999839494,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,230.32352569999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kunst,3.488,230.30881000000045,230.30945299999985,230.30955950000134,230.32352569999966,233.82314709999991,233.80748640000093,233.81365949999963,233.82314709999991,233.82314709999991,233.82314709999991,233.82314709999991,235.80740739999965,3,0.8435993000002782,0.26386969999839494,None,235.8231083999999,235.8231083999999,235.8231083999999,235.8231083999999,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
4,0,4,,,,,,space,2.7430131000000983,None,None,3,1.065029699999286,0.2223561000009795,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,235.8231083999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geschmack,5.5483,235.80791800000043,235.8084357000007,235.80854340000042,235.8231083999999,241.3733095000007,241.3572103000006,241.36176630000045,241.3733095000007,241.3733095000007,241.3733095000007,241.3733095000007,243.35705290000078,3,1.065029699999286,0.2223561000009795,None,243.37261190000027,243.37261190000027,243.37261190000027,243.37261190000027,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
5,0,5,,,,,,space,2.7430131000000983,None,None,3,1.2730467000001227,0.2513392999990174,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,243.37261190000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vulkan,2.1899,243.3575649000013,243.35807580000073,243.3581806000002,243.37261190000027,245.57218490000014,245.55692830000044,245.56057320000036,245.57218490000014,245.57218490000014,245.57218490000014,245.57218490000014,247.55679190000046,3,1.2730467000001227,0.2513392999990174,None,247.57235680000122,247.57235680000122,247.57235680000122,247.57235680000122,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
6,0,6,,,,,,space,2.7430131000000983,None,None,3,0.9030968999995821,0.21933200000057695,None,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,247.57235680000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Küche,2.9377,247.55730120000044,247.55791520000093,247.55802539999968,247.57235680000122,250.5220115000011,250.50632860000042,250.50947710000037,250.5220115000011,250.5220115000011,250.5220115000011,250.5220115000011,252.50644629999988,3,0.9030968999995821,0.21933200000057695,None,252.52202240000042,252.52202240000042,252.52202240000042,252.52202240000042,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
7,0,7,,,,,,space,2.7430131000000983,None,None,3,0.9003503999992972,0.21611599999960163,None,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,252.52202240000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vers,3.027,252.50696080000125,252.5074753000008,252.5075809000009,252.52202240000042,255.5552821000001,255.53959100000066,255.54356019999977,255.5552821000001,255.5552821000001,255.5552821000001,255.5552821000001,257.5397066000005,3,0.9003503999992972,0.21611599999960163,None,257.55513900000005,257.55513900000005,257.55513900000005,257.55513900000005,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
8,0,8,,,,,,space,2.7430131000000983,None,None,3,1.0151066000016726,0.20024649999868416,None,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,257.55513900000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Popcorn,2.8652,257.5402210000011,257.54073470000003,257.5408408000003,257.55513900000005,260.42124140000124,260.40600749999976,260.4133827000005,260.42124140000124,260.42124140000124,260.42124140000124,260.42124140000124,262.4056074,3,1.0151066000016726,0.20024649999868416,None,262.4215851000008,262.4215851000008,262.4215851000008,262.4215851000008,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
9,0,9,,,,,,space,2.7430131000000983,None,None,3,0.9258979999995063,0.2244159000001673,None,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,262.4215851000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Statue,3.2772,262.4060578999997,262.4065473999999,262.4066393000012,262.4215851000008,265.7045443999996,265.6890457999998,265.6931662999996,265.7045443999996,265.7045443999996,265.7045443999996,265.7045443999996,267.6888772000002,3,0.9258979999995063,0.2244159000001673,None,267.70457739999983,267.70457739999983,267.70457739999983,267.70457739999983,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
10,0,10,,,,,,space,2.7430131000000983,None,None,3,1.3149981999995362,0.250150300000314,None,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,267.70457739999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zucker,2.1785,267.6893517999997,267.69009970000116,267.6902002000006,267.70457739999983,269.8876971000009,269.87208029999965,269.87632140000096,269.8876971000009,269.8876971000009,269.8876971000009,269.8876971000009,271.87234530000023,3,1.3149981999995362,0.250150300000314,None,271.88787349999984,271.88787349999984,271.88787349999984,271.88787349999984,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
11,0,11,,,,,,space,2.7430131000000983,None,None,3,1.5460665000009612,0.24774609999985842,None,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,271.88787349999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Essen,4.1805,271.8727675000009,271.87338120000095,271.8734725000013,271.88787349999984,276.07065090000106,276.05520100000103,276.05909630000133,276.07065090000106,276.07065090000106,276.07065090000106,276.07065090000106,278.0551852000008,3,1.5460665000009612,0.24774609999985842,None,278.0708102000008,278.0708102000008,278.0708102000008,278.0708102000008,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
12,0,12,,,,,,space,2.7430131000000983,None,None,3,1.6122334000010596,0.23277729999972507,None,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,278.0708102000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rock,2.0485,278.05569099999957,278.05628810000053,278.05639560000054,278.0708102000008,280.1203643000008,280.1047596999997,280.1081157999997,280.1203643000008,280.1203643000008,280.1203643000008,280.1203643000008,282.10478130000047,3,1.6122334000010596,0.23277729999972507,None,282.1207075000002,282.1207075000002,282.1207075000002,282.1207075000002,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
13,0,13,,,,,,space,2.7430131000000983,None,None,3,1.2770077000004676,0.21041599999989558,None,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,282.1207075000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ring,2.0075,282.1052923999996,282.1058095999997,282.1059151999998,282.1207075000002,284.1367740000005,284.1211980999997,284.12407189999976,284.1367740000005,284.1367740000005,284.1367740000005,284.1367740000005,286.1212680999997,3,1.2770077000004676,0.21041599999989558,None,286.1368257000013,286.1368257000013,286.1368257000013,286.1368257000013,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
14,0,14,,,,,,space,2.7430131000000983,None,None,3,0.8798969999988913,0.23135910000019067,None,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,286.1368257000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radio,3.2951,286.12176999999974,286.12234660000104,286.12245059999987,286.1368257000013,289.4371224000006,289.4212679000011,289.4247238000007,289.4371224000006,289.4371224000006,289.4371224000006,289.4371224000006,291.42099530000087,3,0.8798969999988913,0.23135910000019067,None,291.43642050000017,291.43642050000017,291.43642050000017,291.43642050000017,,,,,,,,,,,,,,,,,,,,,5900,1,2025-09-18_16h39.54.272,sm,2024.2.4,60.038496684088585,2025-09-18 16h40.37.984109 +0200,
