thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
6,0,6,,,,,,space,2.3383916999991925,None,None,3,1.1511863000014273,0.27459559999988414,None,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,305.88261910000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teleskop,2.1788,305.8675827999996,305.8680953000003,305.86820029999944,305.88261910000074,308.0657038999998,308.05018650000056,308.054317600001,308.0657038999998,308.0657038999998,308.0657038999998,308.0657038999998,310.06570210000064,310.06570210000064,310.06570210000064,310.06570210000064,310.0502345999994,3,1.1511863000014273,0.27459559999988414,None,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
7,0,7,,,,,,space,2.3383916999991925,None,None,3,0.939410200000566,0.2792967999994289,None,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,310.06570210000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brief,2.8269,310.0507008000004,310.05142590000105,310.0515417000006,310.06570210000064,312.8986681999995,312.88294809999934,312.8869706000005,312.8986681999995,312.8986681999995,312.8986681999995,312.8986681999995,314.89880129999983,314.89880129999983,314.89880129999983,314.89880129999983,314.8833314000003,3,0.939410200000566,0.2792967999994289,None,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
8,0,8,,,,,,space,2.3383916999991925,None,None,None,,,None,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,314.89880129999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Komödie,2.3346,314.8838314000004,314.8843314000005,314.88443689999986,314.89880129999983,317.2482443000008,317.2329705000011,317.23652220000076,317.2482443000008,317.2482443000008,317.2482443000008,317.2482443000008,319.2486649000002,319.2486649000002,319.2486649000002,319.2486649000002,319.2329116000001,None,,,None,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
9,0,9,,,,,,space,2.3383916999991925,None,None,3,1.517985000000408,0.24810909999905562,None,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,319.2486649000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Service,2.1773,319.2333655000002,319.23385770000095,319.2339654999996,319.2486649000002,321.43156350000027,321.41618220000055,321.4204253000007,321.43156350000027,321.43156350000027,321.43156350000027,321.43156350000027,323.43177509999987,323.43177509999987,323.43177509999987,323.43177509999987,323.41617340000084,3,1.517985000000408,0.24810909999905562,None,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
10,0,10,,,,,,space,2.3383916999991925,None,None,2,1.0392609000009543,0.19247030000042287,None,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,323.43177509999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eule,3.4871,323.41670200000044,323.41720590000114,323.41731249999975,323.43177509999987,326.9311761000008,326.91527210000095,326.9182645000001,326.9311761000008,326.9311761000008,326.9311761000008,326.9311761000008,328.9314381000004,328.9314381000004,328.9314381000004,328.9314381000004,328.9157866000005,2,1.0392609000009543,0.19247030000042287,None,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
11,0,11,,,,,,space,2.3383916999991925,None,None,2,0.7588582999997016,0.215417500001422,None,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,328.9314381000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hand,2.3958,328.91629470000044,328.9169135000011,328.9170911000001,328.9314381000004,331.33073200000035,331.3153416999994,331.3207495000006,331.33073200000035,331.33073200000035,331.33073200000035,331.33073200000035,333.3311857000008,333.3311857000008,333.3311857000008,333.3311857000008,333.31528720000097,2,0.7588582999997016,0.215417500001422,None,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
12,0,12,,,,,,space,2.3383916999991925,None,None,2,1.1191051000005245,0.2597042999987025,None,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,333.3311857000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theater,2.7056,333.31569350000063,333.31613370000014,333.31621690000065,333.3311857000008,336.04749600000105,336.0317465999997,336.03579900000113,336.04749600000105,336.04749600000105,336.04749600000105,336.04749600000105,338.0474931000008,338.0474931000008,338.0474931000008,338.0474931000008,338.0318079999997,2,1.1191051000005245,0.2597042999987025,None,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
13,0,13,,,,,,space,2.3383916999991925,None,None,2,1.9195251000001008,None,None,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,338.0474931000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sprache,2.4418,338.032306000001,338.0329466000003,338.0330515000005,338.0474931000008,340.4971303000002,340.4813405999994,340.4851447000001,340.4971303000002,340.4971303000002,340.4971303000002,340.4971303000002,342.49707599999965,342.49707599999965,342.49707599999965,342.49707599999965,342.48174780000045,2,1.9195251000001008,None,None,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
14,0,14,,,,,,space,2.3383916999991925,None,None,3,1.0544289999998,0.2911865999994916,None,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,342.49707599999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marmor,3.2175,342.4822511000002,342.4827931,342.4828995000007,342.49707599999965,345.7135130000006,345.6979553000001,345.70210960000077,345.7135130000006,345.7135130000006,345.7135130000006,345.7135130000006,347.7139695999995,347.7139695999995,347.7139695999995,347.7139695999995,347.6978245999999,3,1.0544289999998,0.2911865999994916,None,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
15,0,15,,,,,,space,2.3383916999991925,None,None,3,0.911589899998944,0.2449551000008796,None,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,347.7139695999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tür,2.91,347.69833180000023,347.6988478000003,347.69896060000065,347.7139695999995,350.6298523000005,350.61411709999993,350.6171448999994,350.6298523000005,350.6298523000005,350.6298523000005,350.6298523000005,352.63013580000006,352.63013580000006,352.63013580000006,352.63013580000006,352.614323400001,3,0.911589899998944,0.2449551000008796,None,,,,,,,,,,,,,,,,,,,,,,4215,1,2025-10-17_18h33.54.486,sm,2024.2.4,59.971813248267196,2025-10-17 18h34.03.712370 +0200,
