thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004030199999760953,0.012953299999935552,0.012953299999935552,3.1901551999999356,space,3.0762680000007094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311,1,2025-10-10_14h41.06.143,sm,2024.2.4,60.0047043690617,2025-10-10 14h41.15.423138 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1902730999991036,3.201164299998709,3.201164299998709,91.72695219999878,space,88.51277879999907,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311,1,2025-10-10_14h41.06.143,sm,2024.2.4,60.0047043690617,2025-10-10 14h41.15.423138 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.72707989999981,91.74148329999844,91.74148329999844,101.15746349999972,2,9.402401800000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311,1,2025-10-10_14h41.06.143,sm,2024.2.4,60.0047043690617,2025-10-10 14h41.15.423138 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.1575744999991,101.17262449999907,101.17262449999907,113.5400187999985,2,12.358050799999546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311,1,2025-10-10_14h41.06.143,sm,2024.2.4,60.0047043690617,2025-10-10 14h41.15.423138 +0200,
0,0,0,Vergangenheit,Zeit,Gegenwart,Geschichte,2.6407,space,2.1568664999995235,None,None,2,1.5140681000011682,0.16454439999870374,None,0,0,0,0,0,79,79,7,0,0,0,0,0,79,79,8,0,0,0,0,174.16958619999969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.54087609999988,113.54156749999856,113.6072949999998,113.60752719999982,113.61195329999828,113.61222329999873,113.6414836999993,113.64167149999957,113.64816989999963,113.65206959999887,113.65206959999887,115.82366000000002,space,2.1568664999995235,None,115.8238222,115.84030569999959,115.84030569999959,162.13882789999843,None,162.2064776999996,162.2151763999991,162.22086373333272,163.43113379999886,172.15345926666512,173.1618725999997,174.15352319999874,Apfel,2.6407,174.1548232999994,174.15548419999868,174.15845789999912,174.16958619999969,176.81991689999995,176.80404329999874,176.80764219999946,176.81991689999995,176.81991689999995,176.81991689999995,176.81991689999995,178.81966699999975,178.81966699999975,178.81966699999975,178.81966699999975,178.80402829999912,2,1.5140681000011682,0.16454439999870374,None,,,,,,,,,,,,,,,,,,,,,,1311,1,2025-10-10_14h41.06.143,sm,2024.2.4,60.0047043690617,2025-10-10 14h41.15.423138 +0200,
1,0,1,,,,,,space,2.1568664999995235,None,None,3,1.2473373000011634,0.16220140000041283,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,178.81966699999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weltraum,2.0913,178.80456589999994,178.8050637999986,178.80517469999904,178.81966699999975,180.9195155999987,180.90393529999892,180.9080791999986,180.9195155999987,180.9195155999987,180.9195155999987,180.9195155999987,182.91971639999974,182.91971639999974,182.91971639999974,182.91971639999974,182.9035512999999,3,1.2473373000011634,0.16220140000041283,None,,,,,,,,,,,,,,,,,,,,,,1311,1,2025-10-10_14h41.06.143,sm,2024.2.4,60.0047043690617,2025-10-10 14h41.15.423138 +0200,
2,0,2,,,,,,space,2.1568664999995235,None,None,3,0.8730624999989232,0.18848410000100557,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,182.91971639999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bildung,2.2315,182.9039757999999,182.9044518999999,182.90454169999975,182.91971639999974,185.15246079999997,185.1369438999991,185.1418608999993,185.15246079999997,185.15246079999997,185.15246079999997,185.15246079999997,187.15261869999995,187.15261869999995,187.15261869999995,187.15261869999995,187.1370042999988,3,0.8730624999989232,0.18848410000100557,None,,,,,,,,,,,,,,,,,,,,,,1311,1,2025-10-10_14h41.06.143,sm,2024.2.4,60.0047043690617,2025-10-10 14h41.15.423138 +0200,
3,0,3,,,,,,space,2.1568664999995235,None,None,3,0.815753400000176,0.16948559999946156,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,187.15261869999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamera,3.0599,187.1375169999992,187.13806759999898,187.13817389999895,187.15261869999995,190.21881609999946,190.20348009999907,190.21020809999936,190.21881609999946,190.21881609999946,190.21881609999946,190.21881609999946,192.2192075999992,192.2192075999992,192.2192075999992,192.2192075999992,192.20345909999924,3,0.815753400000176,0.16948559999946156,None,,,,,,,,,,,,,,,,,,,,,,1311,1,2025-10-10_14h41.06.143,sm,2024.2.4,60.0047043690617,2025-10-10 14h41.15.423138 +0200,
4,0,4,,,,,,space,2.1568664999995235,None,None,3,0.7845926999998483,0.15994129999853612,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,192.2192075999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schutz,2.4765,192.20398019999993,192.2045120999992,192.20461729999988,192.2192075999992,194.70227319999867,194.68623219999972,194.68964089999827,194.70227319999867,194.70227319999867,194.70227319999867,194.70227319999867,196.7020182999986,196.7020182999986,196.7020182999986,196.7020182999986,196.68624309999905,3,0.7845926999998483,0.15994129999853612,None,,,,,,,,,,,,,,,,,,,,,,1311,1,2025-10-10_14h41.06.143,sm,2024.2.4,60.0047043690617,2025-10-10 14h41.15.423138 +0200,
5,0,5,,,,,,space,2.1568664999995235,None,None,3,1.6783622000002651,0.1940587000008236,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,196.7020182999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schwimmen,3.8693,196.6867592999988,196.68750739999996,196.68761059999997,196.7020182999986,200.58476459999838,200.56929039999886,200.57349969999996,200.58476459999838,200.58476459999838,200.58476459999838,200.58476459999838,202.58495169999878,202.58495169999878,202.58495169999878,202.58495169999878,202.56935169999997,3,1.6783622000002651,0.1940587000008236,None,,,,,,,,,,,,,,,,,,,,,,1311,1,2025-10-10_14h41.06.143,sm,2024.2.4,60.0047043690617,2025-10-10 14h41.15.423138 +0200,
