thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,begin_end_run_cross.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
6,0,6,,,,,,space,7.682770299999902,None,None,3,1.1782714000000851,0.20146440000007715,None,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,710.0684364000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kartoffel,2.047,710.0529705000008,710.0534746000003,710.0535734000005,710.0684364000008,712.1178102000003,712.102202,712.1080731000002,712.1178102000003,712.1178102000003,712.1178102000003,712.1178102000003,714.1025303000006,3,1.1782714000000851,0.20146440000007715,None,714.1180691,714.1180691,714.1180691,714.1180691,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
7,0,7,,,,,,space,7.682770299999902,None,None,2,0.6337974999996732,0.21836549999989074,None,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,714.1180691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spinne,2.2701,714.1030432000007,714.1035674000004,714.1036736000005,714.1180691,716.4010193000004,716.3856678000002,716.3899052000006,716.4010193000004,716.4010193000004,716.4010193000004,716.4010193000004,718.3854846000004,2,0.6337974999996732,0.21836549999989074,None,718.4011976000002,718.4011976000002,718.4011976000002,718.4011976000002,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
8,0,8,,,,,,space,7.682770299999902,None,None,3,0.9195692000002964,0.21246119999977964,None,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,718.4011976000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luft,2.5739,718.3859968000006,718.3865078000008,718.3866194000002,718.4011976000002,720.9841905000003,720.9685288000001,720.9729205000003,720.9841905000003,720.9841905000003,720.9841905000003,720.9841905000003,722.9686716000006,3,0.9195692000002964,0.21246119999977964,None,722.9842088000005,722.9842088000005,722.9842088000005,722.9842088000005,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
9,0,9,,,,,,space,7.682770299999902,None,None,3,0.7281558999993649,0.2094680000000153,None,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,722.9842088000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad,2.6669,722.9691777000007,722.9697112000003,722.9698161000006,722.9842088000005,725.6504958000005,725.6353884,725.6392300000007,725.6504958000005,725.6504958000005,725.6504958000005,725.6504958000005,727.6350951000004,3,0.7281558999993649,0.2094680000000153,None,727.6508091000005,727.6508091000005,727.6508091000005,727.6508091000005,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
10,0,10,,,,,,space,7.682770299999902,None,None,3,0.6679861000002347,0.22145309999996243,None,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,727.6508091000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klinge,5.5316,727.6355939000005,727.6362210000007,727.6363292000005,727.6508091000005,733.1834689000007,733.1677978000007,733.1709096000004,733.1834689000007,733.1834689000007,733.1834689000007,733.1834689000007,735.1678490000004,3,0.6679861000002347,0.22145309999996243,None,735.1835630000005,735.1835630000005,735.1835630000005,735.1835630000005,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
11,0,11,,,,,,space,7.682770299999902,None,None,2,1.5843794000002163,0.19575689999965107,None,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,735.1835630000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baum,2.8374,735.1683913000006,735.1689041,735.1690117000007,735.1835630000005,738.0331974000001,738.0177817000003,738.0207856000006,738.0331974000001,738.0331974000001,738.0331974000001,738.0331974000001,740.0178803000008,2,1.5843794000002163,0.19575689999965107,None,740.0331970000007,740.0331970000007,740.0331970000007,740.0331970000007,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
12,0,12,,,,,,space,7.682770299999902,None,None,3,0.7156314000003476,0.2287903999995251,None,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,740.0331970000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Statue,2.6391,740.0184014000006,740.018932,740.0190385000005,740.0331970000007,742.6826439000006,742.6675340000002,742.6705185000001,742.6826439000006,742.6826439000006,742.6826439000006,742.6826439000006,744.6677731,3,0.7156314000003476,0.2287903999995251,None,744.6834518000005,744.6834518000005,744.6834518000005,744.6834518000005,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
13,0,13,,,,,,space,7.682770299999902,None,None,2,0.6370622000004005,0.17846519999966404,None,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,744.6834518000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fledermaus,2.0414,744.6683237000007,744.6688770000001,744.6689913,744.6834518000005,746.7326638000004,746.7169215000004,746.7227010000006,746.7326638000004,746.7326638000004,746.7326638000004,746.7326638000004,748.7170946000006,2,0.6370622000004005,0.17846519999966404,None,748.7326743000003,748.7326743000003,748.7326743000003,748.7326743000003,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
14,0,14,,,,,,space,7.682770299999902,None,None,2,0.6564933999998175,0.1875489000003654,None,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,748.7326743000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaf,2.0608,748.7176078000002,748.7181210000008,748.7182276000003,748.7326743000003,750.7991681000003,750.7835739000002,750.7873016000003,750.7991681000003,750.7991681000003,750.7991681000003,750.7991681000003,752.7835792000005,2,0.6564933999998175,0.1875489000003654,None,752.7992286000008,752.7992286000008,752.7992286000008,752.7992286000008,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
15,0,15,,,,,,space,7.682770299999902,None,None,2,0.731689400000505,0.18508269999983895,None,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,752.7992286000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koch,2.3125,752.7840898000004,752.7845921000007,752.7847010000005,752.7992286000008,755.1155321000006,755.1000236,755.1030414000006,755.1155321000006,755.1155321000006,755.1155321000006,755.1155321000006,757.1000233000004,2,0.731689400000505,0.18508269999983895,None,757.1157702,757.1157702,757.1157702,757.1157702,,,,,,,,,,,,,,,,,,,,,5848,1,2025-10-08_17h06.22.151,sm,2024.2.4,59.91292255845215,2025-10-08 17h06.39.724420 +0200,
