this_button,correct_button,thisN,thisTrialN,thisRepN,button_practice_key.keys,button_practice_key.rt,button_practice_key.duration,button_practice_loop.thisRepN,button_practice_loop.thisTrialN,button_practice_loop.thisN,button_practice_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,hand_intro.started,hand_image.started,hand_intro_key.started,hand_intro_text.started,hand_intro.stopped,hand_intro_key.keys,hand_intro_key.rt,hand_intro_key.duration,button_practice.started,instruction.started,button_text.started,button_practice_key.started,button_practice.stopped,button_practice_loop.button_practice_key.keys,button_practice_loop.button_practice_key.rt,button_practice_loop.button_practice_key.duration,select_video.started,select_video_text.started,select_video_keys.started,select_video.stopped,select_video_keys.keys,select_video_keys.rt,select_video_keys.duration,play_video.started,video_text.started,end_video.started,movie.started,video_text.stopped,play_video.stopped,end_video.keys,end_video.rt,end_video.duration,end.started,end_text.started,key_resp_2.started,PID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.003217499999664142,0.018604400000185706,0.018604400000185706,247.17216369999915,space,247.15049949999957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172,2025-06-23_15h31.44.862,part0,2024.2.4,59.963182606068266,2025-06-23 15h32.03.586662 +0200,
,,,,,,,,,,,,,,,,,,,,,247.17231269999866,247.18663600000036,247.18663600000036,247.18663600000036,251.2551210999991,2,4.066821700000219,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172,2025-06-23_15h31.44.862,part0,2024.2.4,59.963182606068266,2025-06-23 15h32.03.586662 +0200,
4,5,0,0,0,5,1.0165818000004947,None,0,0,0,3,251.28928429999905,,,,,,,,,,,,,,,,,251.28213399999913,251.28928429999905,251.28928429999905,251.28928429999905,252.321261699999,5,1.0165818000004947,None,,,,,,,,,,,,,,,,,,,,2172,2025-06-23_15h31.44.862,part0,2024.2.4,59.963182606068266,2025-06-23 15h32.03.586662 +0200,
3,4,1,1,0,4,0.9653304000003118,None,0,1,1,2,252.3380374999997,,,,,,,,,,,,,,,,,252.32459609999933,252.3380374999997,252.3380374999997,252.3380374999997,253.30685719999929,4,0.9653304000003118,None,,,,,,,,,,,,,,,,,,,,2172,2025-06-23_15h31.44.862,part0,2024.2.4,59.963182606068266,2025-06-23 15h32.03.586662 +0200,
1,2,2,2,0,2,0.6126625999986572,None,0,2,2,0,253.31962799999928,,,,,,,,,,,,,,,,,253.3105341999999,253.31962799999928,253.31962799999928,253.31962799999928,253.94014199999947,2,0.6126625999986572,None,,,,,,,,,,,,,,,,,,,,2172,2025-06-23_15h31.44.862,part0,2024.2.4,59.963182606068266,2025-06-23 15h32.03.586662 +0200,
2,3,3,3,0,3,0.44035190000067814,None,0,3,3,1,253.9547462999999,,,,,,,,,,,,,,,,,253.94428639999933,253.9547462999999,253.9547462999999,253.9547462999999,254.40630839999903,3,0.44035190000067814,None,,,,,,,,,,,,,,,,,,,,2172,2025-06-23_15h31.44.862,part0,2024.2.4,59.963182606068266,2025-06-23 15h32.03.586662 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.40653930000008,254.42131179999888,254.42131179999888,260.2874694000002,4,5.856047500001296,None,,,,,,,,,,,,,2172,2025-06-23_15h31.44.862,part0,2024.2.4,59.963182606068266,2025-06-23 15h32.03.586662 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.51527050000004,260.52047440000024,260.52047440000024,265.29197139999997,265.53748989999985,822.3586084999988,space,561.8314843999997,None,,,,2172,2025-06-23_15h31.44.862,part0,2024.2.4,59.963182606068266,2025-06-23 15h32.03.586662 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822.4632509999992,822.4742905999992,822.4742905999992,,,,,,,
