thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025401000002602814,0.014624800000092364,0.014624800000092364,4.57175929999994,space,4.548739400000159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3141,1,2025-09-18_14h33.56.945,sm,2024.2.4,60.01748909630444,2025-09-18 14h34.07.626329 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.571841400000267,4.581416800000625,4.581416800000625,93.21257779999996,space,88.62290649999977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3141,1,2025-09-18_14h33.56.945,sm,2024.2.4,60.01748909630444,2025-09-18 14h34.07.626329 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.21269550000034,93.22749199999998,93.22749199999998,106.94265110000015,1,13.703749799999969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3141,1,2025-09-18_14h33.56.945,sm,2024.2.4,60.01748909630444,2025-09-18 14h34.07.626329 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.94278200000008,106.95792930000061,106.95792930000061,128.80827690000024,1,21.848155800000313,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3141,1,2025-09-18_14h33.56.945,sm,2024.2.4,60.01748909630444,2025-09-18 14h34.07.626329 +0200,
0,0,0,Rebe,Herbst,Trauben,Wein,3.9614,space,2.3345570999999836,None,None,2,1.8036540000002788,0.13187370000014198,None,0,0,0,0,0,79,79,78,0,0,0,0,0,79,79,76,0,0,0,0,189.2546213000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.80918400000064,128.81001730000025,128.88515290000032,128.88543190000019,128.8899489000005,128.89026400000057,128.92195660000016,128.92215750000014,128.928672,128.93267640000067,128.93267640000067,131.27654690000054,space,2.3345570999999836,None,131.27670219999982,131.29171760000008,131.29171760000008,177.22339199999988,None,177.23221680000006,177.24087289999989,177.2388544666667,178.44667160000063,187.23822196666723,188.24671470000067,189.23837270000058,Hai,3.9614,189.23983970000063,189.24052829999982,189.24410890000036,189.2546213000005,193.2217055000001,193.2054880000005,193.21170950000032,193.2217055000001,193.2217055000001,193.2217055000001,193.2217055000001,195.22110239999984,195.22110239999984,195.22110239999984,195.22110239999984,195.20542999999998,2,1.8036540000002788,0.13187370000014198,None,,,,,,,,,,,,,,,,,,,,,,3141,1,2025-09-18_14h33.56.945,sm,2024.2.4,60.01748909630444,2025-09-18 14h34.07.626329 +0200,
1,0,1,,,,,,space,2.3345570999999836,None,None,3,1.4783121999998912,0.18558910000047035,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,195.22110239999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hügel,2.1741,195.20595180000055,195.20659440000054,195.20670020000034,195.22110239999984,197.40414670000064,197.3887080000004,197.3938502000001,197.40414670000064,197.40414670000064,197.40414670000064,197.40414670000064,199.4041526000001,199.4041526000001,199.4041526000001,199.4041526000001,199.3886121000005,3,1.4783121999998912,0.18558910000047035,None,,,,,,,,,,,,,,,,,,,,,,3141,1,2025-09-18_14h33.56.945,sm,2024.2.4,60.01748909630444,2025-09-18 14h34.07.626329 +0200,
2,0,2,,,,,,space,2.3345570999999836,None,None,2,1.2122727999994822,0.11516949999986537,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,199.4041526000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agent,2.1702,199.3891196000004,199.38964620000024,199.3897519000002,199.4041526000001,201.58719100000053,201.57151909999993,201.5748854000003,201.58719100000053,201.58719100000053,201.58719100000053,201.58719100000053,203.58726680000018,203.58726680000018,203.58726680000018,203.58726680000018,203.5714895000001,2,1.2122727999994822,0.11516949999986537,None,,,,,,,,,,,,,,,,,,,,,,3141,1,2025-09-18_14h33.56.945,sm,2024.2.4,60.01748909630444,2025-09-18 14h34.07.626329 +0200,
3,0,3,,,,,,space,2.3345570999999836,None,None,None,,,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,203.58726680000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Film,2.5314,203.57199649999984,203.57250569999997,203.57261110000036,203.58726680000018,206.12015530000008,206.10470429999987,206.10988520000046,206.12015530000008,206.12015530000008,206.12015530000008,206.12015530000008,208.1203116000006,208.1203116000006,208.1203116000006,208.1203116000006,208.1048983999999,None,,,None,,,,,,,,,,,,,,,,,,,,,,3141,1,2025-09-18_14h33.56.945,sm,2024.2.4,60.01748909630444,2025-09-18 14h34.07.626329 +0200,
4,0,4,,,,,,space,2.3345570999999836,None,None,3,1.1438153999997667,0.17359169999963342,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,208.1203116000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hammer,2.4505,208.10537160000058,208.10602319999998,208.10612870000023,208.1203116000006,210.5700913999999,210.5547800000004,210.55883379999977,210.5700913999999,210.5700913999999,210.5700913999999,210.5700913999999,212.57008620000033,212.57008620000033,212.57008620000033,212.57008620000033,212.55491900000015,3,1.1438153999997667,0.17359169999963342,None,,,,,,,,,,,,,,,,,,,,,,3141,1,2025-09-18_14h33.56.945,sm,2024.2.4,60.01748909630444,2025-09-18 14h34.07.626329 +0200,
5,0,5,,,,,,space,2.3345570999999836,None,None,3,0.9500158000000738,0.1545839000000342,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,212.57008620000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sitzgurt,2.5494,212.5554431999999,212.55595350000021,212.5560632000006,212.57008620000033,215.1200170000002,215.10443960000066,215.10862890000044,215.1200170000002,215.1200170000002,215.1200170000002,215.1200170000002,217.1197299000005,217.1197299000005,217.1197299000005,217.1197299000005,217.1043696000006,3,0.9500158000000738,0.1545839000000342,None,,,,,,,,,,,,,,,,,,,,,,3141,1,2025-09-18_14h33.56.945,sm,2024.2.4,60.01748909630444,2025-09-18 14h34.07.626329 +0200,
