thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,end_mapping.keys,living_nonliving.rt,living_nonliving.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.end_mapping.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
6,0,6,,,,,,space,2.3801977000002807,None,None,2,None,1.016764900000453,0.30853990000014164,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,274.28439849999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeigen,2.184,274.26919590000034,274.2698360000004,274.26993760000005,274.28439849999995,276.46752019999985,276.4524032999998,276.4580329999999,276.46752019999985,276.46752019999985,276.46752019999985,276.46752019999985,278.4679493000003,278.4679493000003,278.4679493000003,278.4679493000003,278.4520586999997,2,None,1.016764900000453,0.30853990000014164,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
7,0,7,,,,,,space,2.3801977000002807,None,None,2,None,0.7664656000006289,0.32106799999928626,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,278.4679493000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Film,2.1385,278.45256979999976,278.4530923000002,278.453211,278.4679493000003,280.61796400000003,280.6014686999997,280.60529790000055,280.61796400000003,280.61796400000003,280.61796400000003,280.61796400000003,282.61755919999996,282.61755919999996,282.61755919999996,282.61755919999996,282.60167790000014,2,None,0.7664656000006289,0.32106799999928626,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
8,0,8,,,,,,space,2.3801977000002807,None,None,2,None,0.783019499999682,0.32704850000027363,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,282.61755919999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weihnachten,2.0689,282.6021903999999,282.60270949999995,282.6028186000003,282.61755919999996,284.7019814000005,284.68483650000053,284.68887540000014,284.7019814000005,284.7019814000005,284.7019814000005,284.7019814000005,,,,,286.7008361999997,2,None,0.783019499999682,0.32704850000027363,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
9,0,9,,,,,,space,2.3801977000002807,None,None,2,None,0.7267162999996799,0.32785580000017944,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,286.7171030999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Präsident,5.1098,286.7013533999998,286.7020207000005,286.7021371999999,286.7171030999998,291.8333182000006,291.8177373999997,291.82161540000016,291.8333182000006,291.8333182000006,291.8333182000006,291.8333182000006,293.83341519999976,293.83341519999976,293.83341519999976,293.83341519999976,293.8177086000005,2,None,0.7267162999996799,0.32785580000017944,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
10,0,10,,,,,,space,2.3801977000002807,None,None,2,None,1.2985453999999663,0.29116180000073655,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,293.83341519999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bus,2.1391,293.8182314000005,293.8187300999998,293.8188435000002,293.83341519999976,295.98298239999986,295.96733289999975,295.97054600000047,295.98298239999986,295.98298239999986,295.98298239999986,295.98298239999986,297.98310519999995,297.98310519999995,297.98310519999995,297.98310519999995,297.9676193000005,2,None,1.2985453999999663,0.29116180000073655,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
11,0,11,,,,,,space,2.3801977000002807,None,None,3,None,1.3546588999997766,0.4241963000004034,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,297.98310519999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tasche,2.2678,297.96813440000005,297.96865549999984,297.9687620000004,297.98310519999995,300.26613869999983,300.2505670999999,300.2543691000001,300.26613869999983,300.26613869999983,300.26613869999983,300.26613869999983,302.2660999999998,302.2660999999998,302.2660999999998,302.2660999999998,302.25047040000027,3,None,1.3546588999997766,0.4241963000004034,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
12,0,12,,,,,,space,2.3801977000002807,None,None,2,None,0.9483212999994066,0.30131770000025426,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,302.2660999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eule,4.8284,302.25098460000027,302.25149000000056,302.25160080000023,302.2660999999998,307.09911250000005,307.08354770000005,307.0870537999999,307.09911250000005,307.09911250000005,307.09911250000005,307.09911250000005,309.09914149999986,309.09914149999986,309.09914149999986,309.09914149999986,309.08380000000034,2,None,0.9483212999994066,0.30131770000025426,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
13,0,13,,,,,,space,2.3801977000002807,None,None,2,None,0.9297646999993958,0.2853772000007666,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,309.09914149999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anwalt,2.9399,309.08430990000033,309.08481740000025,309.0849231000002,309.09914149999986,312.04893790000006,312.0332937000003,312.03719770000043,312.04893790000006,312.04893790000006,312.04893790000006,312.04893790000006,314.0487473000003,314.0487473000003,314.0487473000003,314.0487473000003,314.0331777000001,2,None,0.9297646999993958,0.2853772000007666,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
14,0,14,,,,,,space,2.3801977000002807,None,None,3,None,1.4346310999999332,0.397639299999355,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,314.0487473000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kante,3.3366,314.03369029999976,314.03418560000046,314.0342910999998,314.0487473000003,317.39832110000043,317.38303540000015,317.3895435000004,317.39832110000043,317.39832110000043,317.39832110000043,317.39832110000043,319.39844170000015,319.39844170000015,319.39844170000015,319.39844170000015,319.3832213000005,3,None,1.4346310999999332,0.397639299999355,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
15,0,15,,,,,,space,2.3801977000002807,None,None,2,None,1.5658278000000792,0.25513630000023113,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,319.39844170000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moor,2.4315,319.3837357000002,319.3842429000006,319.3843512000003,319.39844170000015,321.8313592000004,321.81628249999994,321.8194132999997,321.8313592000004,321.8313592000004,321.8313592000004,321.8313592000004,323.8316031000004,323.8316031000004,323.8316031000004,323.8316031000004,323.8160011,2,None,1.5658278000000792,0.25513630000023113,,,,,,,,,,,,,,,,,,,,,,8752,1,2025-06-25_19h05.37.345,sm,2024.2.4,59.97375548450806,2025-06-25 19h05.45.898143 +0200,
