thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,begin_end_run_cross.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks_text.stopped,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003665200000796176,0.01457600000048842,0.01457600000048842,587.7163679000005,space,587.6857884000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771,1,2025-10-28_13h59.04.988,sm,2024.2.4,59.91906133210517,2025-10-28 13h59.15.069785 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.7165068000004,587.7311774,587.7311774,655.3792289000003,space,67.6339410999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771,1,2025-10-28_13h59.04.988,sm,2024.2.4,59.91906133210517,2025-10-28 13h59.15.069785 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.3793443000004,655.3940398000004,655.3940398000004,663.8099416000005,2,8.407454199999847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771,1,2025-10-28_13h59.04.988,sm,2024.2.4,59.91906133210517,2025-10-28 13h59.15.069785 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.8100474000003,663.8250506000004,663.8250506000004,674.4592915000003,2,10.62057249999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771,1,2025-10-28_13h59.04.988,sm,2024.2.4,59.91906133210517,2025-10-28 13h59.15.069785 +0100,
0,0,0,Wurm,Schleim,Loch,Erde,3.4199,space,16.725851000000148,None,None,2,1.347521499999857,0.2622852000004059,None,0,0,0,0,0,79,79,17,0,0,0,0,0,79,79,27,0,0,0,0,750.0048855000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.4603089000002,674.4612616000004,674.5286946000006,674.5289534000003,674.5335392000006,674.5338125000007,674.5634712000001,674.5636572000003,674.5701820000004,674.5740571000006,674.5740571000006,691.3103663000002,space,16.725851000000148,None,691.3105229000003,691.3252635000008,691.3252635000008,737.9888157000005,None,737.9976165000007,738.0057917000004,738.0041531666668,739.2071184000006,747.9886154666667,748.9972299000001,750.0048855000005,749.9893753000006,Atem,3.4199,749.9906881000006,749.9913914000008,749.9943853000004,750.0048855000005,753.4379950000002,753.4224703,753.425921,753.4379950000002,753.4379950000002,753.4379950000002,753.4379950000002,755.4382340000002,755.4382340000002,755.4382340000002,755.4382340000002,755.4226882000003,2,1.347521499999857,0.2622852000004059,None,,,,,,,,,,,,,,,,,,,,,1771,1,2025-10-28_13h59.04.988,sm,2024.2.4,59.91906133210517,2025-10-28 13h59.15.069785 +0100,
1,0,1,,,,,,space,16.725851000000148,None,None,3,1.1502692999993087,0.23343430000022636,None,0,0,0,0,,,,,0,0,0,0,,,,,1,0,1,0,755.4382340000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rebe,2.1825,755.4232083000006,755.4237412000002,755.4238446000008,755.4382340000002,757.6213023,757.6058182000006,757.6092921000009,757.6213023,757.6213023,757.6213023,757.6213023,759.6211918000008,759.6211918000008,759.6211918000008,759.6211918000008,759.6057556000005,3,1.1502692999993087,0.23343430000022636,None,,,,,,,,,,,,,,,,,,,,,1771,1,2025-10-28_13h59.04.988,sm,2024.2.4,59.91906133210517,2025-10-28 13h59.15.069785 +0100,
2,0,2,,,,,,space,16.725851000000148,None,None,3,1.2023394999996526,0.2541711000003488,None,0,0,0,0,,,,,0,0,0,0,,,,,2,0,2,0,759.6211918000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorn,2.0863,759.6062663000002,759.6067812000001,759.6068918000001,759.6211918000008,761.7209604,761.7051124000009,761.7089591000004,761.7209604,761.7209604,761.7209604,761.7209604,763.7211224000002,763.7211224000002,763.7211224000002,763.7211224000002,763.7054069000005,3,1.2023394999996526,0.2541711000003488,None,,,,,,,,,,,,,,,,,,,,,1771,1,2025-10-28_13h59.04.988,sm,2024.2.4,59.91906133210517,2025-10-28 13h59.15.069785 +0100,
3,0,3,,,,,,space,16.725851000000148,None,None,3,1.2418877999998585,0.28471129999979894,None,0,0,0,0,,,,,0,0,0,0,,,,,3,0,3,0,763.7211224000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asche,2.1274,763.7058550000002,763.7063960000005,763.7064912000005,763.7211224000002,765.8538663000008,765.8386707,765.8427619000004,765.8538663000008,765.8538663000008,765.8538663000008,765.8538663000008,767.8540496000005,767.8540496000005,767.8540496000005,767.8540496000005,767.8388501000009,3,1.2418877999998585,0.28471129999979894,None,,,,,,,,,,,,,,,,,,,,,1771,1,2025-10-28_13h59.04.988,sm,2024.2.4,59.91906133210517,2025-10-28 13h59.15.069785 +0100,
4,0,4,,,,,,space,16.725851000000148,None,None,3,1.0455484000003707,0.25508819999959087,None,0,0,0,0,,,,,0,0,0,0,,,,,4,0,4,0,767.8540496000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anruf,3.5964,767.8393798000006,767.8400632000003,767.8401757000001,767.8540496000005,771.4537556000005,771.4381045,771.4417355000005,771.4537556000005,771.4537556000005,771.4537556000005,771.4537556000005,773.4538944000005,773.4538944000005,773.4538944000005,773.4538944000005,773.4382995000005,3,1.0455484000003707,0.25508819999959087,None,,,,,,,,,,,,,,,,,,,,,1771,1,2025-10-28_13h59.04.988,sm,2024.2.4,59.91906133210517,2025-10-28 13h59.15.069785 +0100,
5,0,5,,,,,,space,16.725851000000148,None,None,3,1.53448280000066,0.24632609999935084,None,0,0,0,0,,,,,0,0,0,0,,,,,5,0,5,0,773.4538944000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Krieg,2.5282,773.4388088000005,773.4393228000008,773.439429,773.4538944000005,775.9866446000005,775.9713324000004,775.9773196000006,775.9866446000005,775.9866446000005,775.9866446000005,775.9866446000005,777.9868409000001,777.9868409000001,777.9868409000001,777.9868409000001,777.9711976000008,3,1.53448280000066,0.24632609999935084,None,,,,,,,,,,,,,,,,,,,,,1771,1,2025-10-28_13h59.04.988,sm,2024.2.4,59.91906133210517,2025-10-28 13h59.15.069785 +0100,
