thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,thanks.started,thanks_text.started,thanks.stopped,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
6,0,6,,,,,,space,3.999568900000668,None,None,3,1.5795414000003802,0.2509597999996913,None,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,362.9094272000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gruppe,2.5294,362.8944523000009,362.8949891000011,362.8950954000011,362.9094272000002,365.4423934000006,365.42699100000027,365.430830700001,365.4423934000006,365.4423934000006,365.4423934000006,365.4423934000006,367.4267649000012,3,1.5795414000003802,0.2509597999996913,None,367.44256060000043,367.44256060000043,367.44256060000043,367.44256060000043,,,,,,,,,,,,,,,,,,,,,4954,1,2025-07-09_19h00.19.535,sm,2024.2.4,59.98908198687408,2025-07-09 19h00.47.156572 +0200,
7,0,7,,,,,,space,3.999568900000668,None,None,3,0.918136999998751,0.2961293000007572,None,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,367.44256060000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hammer,3.4135,367.4272830000009,367.4277888000015,367.42789750000156,367.44256060000043,370.85875170000145,370.84347620000153,370.8506150000012,370.85875170000145,370.85875170000145,370.85875170000145,370.85875170000145,372.84337790000063,3,0.918136999998751,0.2961293000007572,None,372.8589821000005,372.8589821000005,372.8589821000005,372.8589821000005,,,,,,,,,,,,,,,,,,,,,4954,1,2025-07-09_19h00.19.535,sm,2024.2.4,59.98908198687408,2025-07-09 19h00.47.156572 +0200,
8,0,8,,,,,,space,3.999568900000668,None,None,3,0.8428313000003982,0.3574087999986659,None,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,372.8589821000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tisch,2.5507,372.8438909000015,372.84440710000126,372.84451320000153,372.8589821000005,375.40852890000133,375.3930728000014,375.3967240000002,375.40852890000133,375.40852890000133,375.40852890000133,375.40852890000133,377.3929094000014,3,0.8428313000003982,0.3574087999986659,None,377.4084793000002,377.4084793000002,377.4084793000002,377.4084793000002,,,,,,,,,,,,,,,,,,,,,4954,1,2025-07-09_19h00.19.535,sm,2024.2.4,59.98908198687408,2025-07-09 19h00.47.156572 +0200,
9,0,9,,,,,,space,3.999568900000668,None,None,3,0.8379531000009592,0.34108759999980975,None,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,377.4084793000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wohnung,2.2934,377.3934201000011,377.39407350000147,377.3941770000001,377.4084793000002,379.70821220000107,379.6924987000002,379.6962205,379.70821220000107,379.70821220000107,379.70821220000107,379.70821220000107,381.69268830000146,3,0.8379531000009592,0.34108759999980975,None,381.7081491000008,381.7081491000008,381.7081491000008,381.7081491000008,,,,,,,,,,,,,,,,,,,,,4954,1,2025-07-09_19h00.19.535,sm,2024.2.4,59.98908198687408,2025-07-09 19h00.47.156572 +0200,
10,0,10,,,,,,space,3.999568900000668,None,None,3,1.816811400000006,None,None,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,381.7081491000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blätter,3.6257,381.6931949000009,381.6938435000011,381.6939478000004,381.7081491000008,385.3411165000016,385.32558970000173,385.3294349000007,385.3411165000016,385.3411165000016,385.3411165000016,385.3411165000016,387.32581050000044,3,1.816811400000006,None,None,387.34131290000005,387.34131290000005,387.34131290000005,387.34131290000005,,,,,,,,,,,,,,,,,,,,,4954,1,2025-07-09_19h00.19.535,sm,2024.2.4,59.98908198687408,2025-07-09 19h00.47.156572 +0200,
11,0,11,,,,,,space,3.999568900000668,None,None,3,1.4437520999999833,0.29090550000000803,None,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,387.34131290000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garten,2.405,387.3263235000013,387.3268723000001,387.32698380000147,387.34131290000005,389.7575383000003,389.7420989000002,389.7459043000017,389.7575383000003,389.7575383000003,389.7575383000003,389.7575383000003,391.7421178000004,3,1.4437520999999833,0.29090550000000803,None,391.7576243000003,391.7576243000003,391.7576243000003,391.7576243000003,,,,,,,,,,,,,,,,,,,,,4954,1,2025-07-09_19h00.19.535,sm,2024.2.4,59.98908198687408,2025-07-09 19h00.47.156572 +0200,
12,0,12,,,,,,space,3.999568900000668,None,None,3,1.1147294999991573,0.29844430000048305,None,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,391.7576243000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knöchel,3.3688,391.74264010000115,391.7432949000013,391.74340100000154,391.7576243000003,395.1405190000005,395.1251649000005,395.1292203000012,395.1405190000005,395.1405190000005,395.1405190000005,395.1405190000005,397.1252661000017,3,1.1147294999991573,0.29844430000048305,None,397.1406866000016,397.1406866000016,397.1406866000016,397.1406866000016,,,,,,,,,,,,,,,,,,,,,4954,1,2025-07-09_19h00.19.535,sm,2024.2.4,59.98908198687408,2025-07-09 19h00.47.156572 +0200,
13,0,13,,,,,,space,3.999568900000668,None,None,3,0.9515419999988808,0.3141648000000714,None,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,397.1406866000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shampoo,3.0866,397.1257723000017,397.12644190000174,397.12655020000057,397.1406866000016,400.2402641000008,400.2248072000002,400.22865600000114,400.2402641000008,400.2402641000008,400.2402641000008,400.2402641000008,402.22490710000056,3,0.9515419999988808,0.3141648000000714,None,402.2404509000007,402.2404509000007,402.2404509000007,402.2404509000007,,,,,,,,,,,,,,,,,,,,,4954,1,2025-07-09_19h00.19.535,sm,2024.2.4,59.98908198687408,2025-07-09 19h00.47.156572 +0200,
14,0,14,,,,,,space,3.999568900000668,None,None,3,0.8276210999993054,0.33595750000131375,None,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,402.2404509000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fakt,3.8041,402.22541420000016,402.22591850000026,402.2260244000008,402.2404509000007,406.0574467000006,406.0412354,406.0482210000009,406.0574467000006,406.0574467000006,406.0574467000006,406.0574467000006,408.04090590000123,3,0.8276210999993054,0.33595750000131375,None,408.0565534000016,408.0565534000016,408.0565534000016,408.0565534000016,,,,,,,,,,,,,,,,,,,,,4954,1,2025-07-09_19h00.19.535,sm,2024.2.4,59.98908198687408,2025-07-09 19h00.47.156572 +0200,
15,0,15,,,,,,space,3.999568900000668,None,None,3,1.3690224999991187,0.2881130000005214,None,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,408.0565534000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ostern,3.4054,408.0413328000013,408.04179640000075,408.04188630000135,408.0565534000016,411.47286540000096,411.45791720000125,411.4631442000009,411.47286540000096,411.47286540000096,411.47286540000096,411.47286540000096,413.4574894000016,3,1.3690224999991187,0.2881130000005214,None,413.4729068000015,413.4729068000015,413.4729068000015,413.4729068000015,,,,,,,,,,,,,,,,,,,,,4954,1,2025-07-09_19h00.19.535,sm,2024.2.4,59.98908198687408,2025-07-09 19h00.47.156572 +0200,
