thisN,thisTrialN,thisRepN,Cue,Target,Mediator1,Mediator2,iti,scanner_ready_press.keys,scanner_ready_press.rt,scanner_ready_press.duration,skip_trigger.keys,living_nonliving.keys,living_nonliving.rt,living_nonliving.duration,end_mapping.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,load_and_shuffle.thisRepN,load_and_shuffle.thisTrialN,load_and_shuffle.thisN,load_and_shuffle.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,iti_loading_loop.thisRepN,iti_loading_loop.thisTrialN,iti_loading_loop.thisN,iti_loading_loop.thisIndex,semantic_mapping_run.thisRepN,semantic_mapping_run.thisTrialN,semantic_mapping_run.thisN,semantic_mapping_run.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,key_resp__welcome.started,welcome.stopped,key_resp__welcome.keys,key_resp__welcome.rt,key_resp__welcome.duration,scout.started,scout_text.started,key_resp.started,scout.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions_semantic_mapping1.started,sm_instructions1_text.started,sm_instructions1_key.started,instructions_semantic_mapping1.stopped,sm_instructions1_key.keys,sm_instructions1_key.rt,sm_instructions1_key.duration,instructions_semantic_mapping2.started,sm_instructions2_text.started,sm_instructions2_key.started,instructions_semantic_mapping2.stopped,sm_instructions2_key.keys,sm_instructions2_key.rt,sm_instructions2_key.duration,reset_run.started,reset_run.stopped,shuffle_items.started,shuffle_items.stopped,set_up_runs.started,set_up_runs.stopped,load_iti.started,load_iti.stopped,prep_scanner.started,scanner_ready_press.started,ready_set_text.started,prep_scanner.stopped,runs.scanner_ready_press.keys,runs.scanner_ready_press.rt,runs.scanner_ready_press.duration,wait_for_trigger.started,starting_soon.started,skip_trigger.started,wait_for_trigger.stopped,runs.skip_trigger.keys,blank.started,begin_end_run_cross.started,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,blank.stopped,CurrentItem,CurrentITI,set_up_trial.started,set_up_trial.stopped,sm_iti.started,iti_cross.started,iti_cross.stopped,sm_iti.stopped,item.started,living_nonliving.started,end_mapping.started,living_nonliving_text.started,semantic_map_item.started,living_nonliving.stopped,end_mapping.stopped,living_nonliving_text.stopped,semantic_map_item.stopped,item.stopped,semantic_mapping_run.living_nonliving.keys,semantic_mapping_run.living_nonliving.rt,semantic_mapping_run.living_nonliving.duration,semantic_mapping_run.end_mapping.keys,fieldmap.started,fieldmap.stopped,runs.fm_key.keys,task_break.started,feeback_text.started,task_break_text.started,task_break_resp.started,feeback_text.stopped,task_break.stopped,runs.task_break_resp.keys,runs.task_break_resp.rt,runs.task_break_resp.duration,begin_end_run_cross.stopped,fm_text.started,fm_key.started,runs.fm_key.rt,runs.fm_key.duration,PID,MRI,date,expName,psychopyVersion,frameRate,expStart,
6,0,6,,,,,,space,3.7270582999999533,None,None,3,0.9067903999994087,0.3045962000005602,None,0,0,0,0,,,,,0,0,0,0,,,,,6,0,6,0,210.47589080000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Album,2.016,210.46103360000052,210.4616728000001,210.4617814000003,210.47589080000034,212.4925447000005,212.47648389999995,212.47961440000017,212.4925447000005,212.4925447000005,212.4925447000005,212.4925447000005,214.49248739999985,214.49248739999985,214.49248739999985,214.49248739999985,214.47675340000023,3,0.9067903999994087,0.3045962000005602,None,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
7,0,7,,,,,,space,3.7270582999999533,None,None,3,0.7629086999995707,0.287554700000328,None,0,0,0,0,,,,,0,0,0,0,,,,,7,0,7,0,214.49248739999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ring,4.931,214.47726969999985,214.47777990000031,214.47788730000048,214.49248739999985,219.42514740000024,219.4099696000003,219.41367580000042,219.42514740000024,219.42514740000024,219.42514740000024,219.42514740000024,221.42506460000004,221.42506460000004,221.42506460000004,221.42506460000004,221.40935720000016,3,0.7629086999995707,0.287554700000328,None,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
8,0,8,,,,,,space,3.7270582999999533,None,None,3,0.6973596000007092,0.2965651999993497,None,0,0,0,0,,,,,0,0,0,0,,,,,8,0,8,0,221.42506460000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamant,2.1015,221.40973440000016,221.41016510000009,221.41024950000065,221.42506460000004,223.54183850000027,223.5262483000006,223.5301571,223.54183850000027,223.54183850000027,223.54183850000027,223.54183850000027,225.54183720000037,225.54183720000037,225.54183720000037,225.54183720000037,225.52599079999982,3,0.6973596000007092,0.2965651999993497,None,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
9,0,9,,,,,,space,3.7270582999999533,None,None,3,0.6988442000001669,0.2742035000001124,None,0,0,0,0,,,,,0,0,0,0,,,,,9,0,9,0,225.54183720000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loch,3.611,225.52644250000048,225.52703780000047,225.52713310000036,225.54183720000037,229.15804780000053,229.1424275999998,229.14645550000023,229.15804780000053,229.15804780000053,229.15804780000053,229.15804780000053,231.15803730000061,231.15803730000061,231.15803730000061,231.15803730000061,231.14297700000043,3,0.6988442000001669,0.2742035000001124,None,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
10,0,10,,,,,,space,3.7270582999999533,None,None,2,0.7825417000003654,0.23726879999958328,None,0,0,0,0,,,,,0,0,0,0,,,,,10,0,10,0,231.15803730000061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tischler,2.2633,231.1434817999998,231.14414140000008,231.14425480000045,231.15803730000061,233.42433249999976,233.40900890000012,233.41307200000028,233.42433249999976,233.42433249999976,233.42433249999976,233.42433249999976,235.42456140000013,235.42456140000013,235.42456140000013,235.42456140000013,235.40873809999994,2,0.7825417000003654,0.23726879999958328,None,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
11,0,11,,,,,,space,3.7270582999999533,None,None,3,0.7406381000000692,0.27032360000066546,None,0,0,0,0,,,,,0,0,0,0,,,,,11,0,11,0,235.42456140000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuchen ,2.2996,235.4092236000006,235.40972090000014,235.40981929999998,235.42456140000013,237.7240866000002,237.70873440000014,237.71500879999985,237.7240866000002,237.7240866000002,237.7240866000002,237.7240866000002,239.72432329999992,239.72432329999992,239.72432329999992,239.72432329999992,239.70851540000058,3,0.7406381000000692,0.27032360000066546,None,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
12,0,12,,,,,,space,3.7270582999999533,None,None,2,0.7256511999994473,0.24791390000063984,None,0,0,0,0,,,,,0,0,0,0,,,,,12,0,12,0,239.72432329999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kopf,4.6883,239.70902639999986,239.7095386000001,239.70964840000033,239.72432329999992,244.4236152000003,244.40806390000034,244.4115026999998,244.4236152000003,244.4236152000003,244.4236152000003,244.4236152000003,246.42370459999984,246.42370459999984,246.42370459999984,246.42370459999984,246.4083430999999,2,0.7256511999994473,0.24791390000063984,None,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
13,0,13,,,,,,space,3.7270582999999533,None,None,2,0.7279569000002084,0.2283436999996411,None,0,0,0,0,,,,,0,0,0,0,,,,,13,0,13,0,246.42370459999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kunde,2.1236,246.40884360000018,246.40948490000028,246.4095913000001,246.42370459999984,248.55697969999983,248.54136730000027,248.54476250000062,248.55697969999983,248.55697969999983,248.55697969999983,248.55697969999983,250.55695990000004,250.55695990000004,250.55695990000004,250.55695990000004,250.54111790000024,2,0.7279569000002084,0.2283436999996411,None,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
14,0,14,,,,,,space,3.7270582999999533,None,None,2,0.5704451000001427,0.2513152999999875,None,0,0,0,0,,,,,0,0,0,0,,,,,14,0,14,0,250.55695990000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Känguru,3.4631,250.54162309999992,250.5421366999999,250.5422441999999,250.55695990000004,254.0233592000004,254.00767970000015,254.01207070000055,254.0233592000004,254.0233592000004,254.0233592000004,254.0233592000004,256.0233036999998,256.0233036999998,256.0233036999998,256.0233036999998,256.0082357000001,2,0.5704451000001427,0.2513152999999875,None,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
15,0,15,,,,,,space,3.7270582999999533,None,None,3,0.7933667000006608,0.2574466999994911,None,0,0,0,0,,,,,0,0,0,0,,,,,15,0,15,0,256.0233036999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wüste,3.7299,256.0087454000004,256.0093797999998,256.0094929000006,256.0233036999998,259.7559166000001,259.7406697000006,259.74464739999985,259.7559166000001,259.7559166000001,259.7559166000001,259.7559166000001,261.7566459999998,261.7566459999998,261.7566459999998,261.7566459999998,261.74063149999984,3,0.7933667000006608,0.2574466999994911,None,,,,,,,,,,,,,,,,,,5720,1,2025-10-17_16h12.03.769,sm,2024.2.4,59.967138008263554,2025-10-17 16h12.15.988986 +0200,
